x,y,z,tau1_x,tau1_y,tau1_z,tau2_x,tau2_y,tau2_z,normal_x,normal_y,normal_z
-0.35,-0.35,1.03422,0.755953,0,0.654626,-0.241577,0.929417,0.27897,-0.60842,-0.369031,0.702596
-0.35,-0.286364,1.05637,0.884245,0,0.467023,-0.0755511,0.986828,0.143046,-0.460872,-0.161772,0.872598
-0.35,-0.222727,1.05962,0.931672,0,0.363299,0.0233989,0.997924,-0.0600058,-0.362545,0.0644066,0.929738
-0.35,-0.159091,1.04937,0.926869,0,0.375384,0.0811083,0.976378,-0.200266,-0.366517,0.216068,0.904975
-0.35,-0.0954545,1.03104,0.884658,0,0.466241,0.128118,0.961504,-0.243095,-0.448293,0.27479,0.850602
-0.35,-0.0318182,1.01006,0.815491,0,0.57877,0.147067,0.967177,-0.207218,-0.559774,0.254102,0.788724
-0.35,0.0318182,0.991841,0.740796,0,0.67173,0.11573,0.985047,-0.127629,-0.661685,0.172287,0.729719
-0.35,0.0954545,0.981814,0.68217,0,0.731194,0.0323147,0.999023,-0.0301481,-0.730479,0.0441945,0.681503
-0.35,0.159091,0.985395,0.653358,0,0.757049,-0.0940294,0.992257,0.0811504,-0.751187,-0.124205,0.648299
-0.35,0.222727,1.008,0.665691,0,0.746227,-0.249615,0.942395,0.222675,-0.703241,-0.334502,0.627344
-0.35,0.286364,1.05506,0.738726,0,0.674006,-0.389897,0.815698,0.427337,-0.549785,-0.578478,0.602578
-0.35,0.35,1.13199,0.899188,0,0.437562,-0.349123,0.602814,0.717446,-0.263769,-0.797882,0.542043
-0.286364,-0.35,1.08647,0.79153,0,0.61113,-0.0446322,0.99733,0.0578071,-0.609498,-0.0730322,0.789416
-0.286364,-0.286364,1.08788,0.908471,0,0.417949,0.0155779,0.999305,-0.0338607,-0.417658,0.0372722,0.907839
-0.286364,-0.222727,1.08214,0.953029,0,0.302879,0.0378671,0.992154,-0.119151,-0.300502,0.125024,0.945551
-0.286364,-0.159091,1.07195,0.956194,0,0.292734,0.0499183,0.985353,-0.163054,-0.288447,0.170524,0.942189
-0.286364,-0.0954545,1.06,0.932948,0,0.360011,0.0619854,0.985066,-0.160632,-0.354635,0.172176,0.919016
-0.286364,-0.0318182,1.049,0.888002,0,0.45984,0.0612343,0.991094,-0.11825,-0.455745,0.133164,0.880093
