x,y,z,tau1_x,tau1_y,tau1_z,tau2_x,tau2_y,tau2_z,normal_x,normal_y,normal_z
-0.264821,-0.298336,0.935852,0.755953,0,0.654626,-0.241577,0.929417,0.27897,-0.60842,-0.369031,0.702596
-0.294965,-0.246212,0.931523,0.919431,0,0.393251,-0.0106397,0.999634,0.024876,-0.393107,-0.0270559,0.919095
-0.297565,-0.182195,0.921361,0.922979,0,0.38485,0.0885009,0.9732,-0.21225,-0.374536,0.229962,0.898243
-0.276153,-0.0873863,0.903095,0.836898,0,0.547359,0.146169,0.963684,-0.223489,-0.527481,0.267045,0.806505
-0.25404,0.030406,0.887865,0.721667,0,0.69224,0.0968837,0.990158,-0.101002,-0.685427,0.139957,0.714564
-0.244748,0.163671,0.892547,0.655255,0,0.755408,-0.0737635,0.995221,0.0639839,-0.751798,-0.0976473,0.652124
-0.258584,0.311136,0.938229,0.687864,0,0.725839,-0.316965,0.899613,0.300382,-0.652975,-0.436688,0.618811
-0.313072,0.461703,1.05611,0.899188,0,0.437562,-0.349123,0.602814,0.717446,-0.263769,-0.797882,0.542043
-0.169622,-0.365122,0.999765,0.816384,0,0.577509,0.0623781,0.99415,-0.0881795,-0.574131,0.108012,0.811608
-0.207909,-0.27269,0.966097,0.952455,0,0.30468,0.0493789,0.98678,-0.154363,-0.300652,0.162068,0.939863
-0.215496,-0.171359,0.946659,0.968407,0,0.249375,0.038045,0.988294,-0.147741,-0.246456,0.152561,0.957071
-0.199931,-0.0622334,0.937376,0.933334,0,0.359008,0.0313708,0.996175,-0.0815564,-0.357635,0.0873818,0.929764
-0.181083,0.0529028,0.941771,0.870384,0,0.492373,-0.0102088,0.999785,0.0180465,-0.492267,-0.0207339,0.870197
-0.173466,0.172329,0.958972,0.832678,0,0.553757,-0.0883195,0.987199,0.132805,-0.546669,-0.159491,0.822019
-0.186893,0.29806,0.98879,0.877309,0,0.479926,-0.164751,0.939232,0.301166,-0.450762,-0.343284,0.823996
-0.241252,0.429477,1.0442,0.997115,0,0.0758997,-0.0430879,0.823239,0.566057,-0.0624836,-0.567695,0.820864
-0.0969012,-0.420321,1.06488,0.89867,0,0.438625,0.22032,0.864696,-0.451398,-0.379277,0.502296,0.777076
-0.124124,-0.296778,0.99438,0.980585,0,0.196097,0.0655222,0.942526,-0.327644,-0.184827,0.334132,0.924227
-0.133353,-0.168772,0.961644,0.992775,0,0.119994,0.0160897,0.990969,-0.13312,-0.11891,0.134088,0.983809
-0.127496,-0.0459532,0.956404,0.986985,0,0.160809,-0.00464828,0.999582,0.0285293,-0.160742,-0.0289055,0.986573
-0.117817,0.0682625,0.968228,0.972749,0,0.231859,-0.0302453,0.991455,0.126892,-0.229878,-0.130446,0.964437
-0.115387,0.174235,0.986117,0.967981,0,0.251024,-0.0434548,0.984902,0.167567,-0.247234,-0.17311,0.953367
-0.131117,0.273018,1.00078,0.990607,0,0.136738,-0.0224816,0.986391,0.16287,-0.134877,-0.164414,0.977127
-0.179084,0.362994,1.01492,0.977992,0,-0.208644,0.0193645,0.995684,0.0907686,0.207743,-0.0928112,0.97377
-0.0292034,-0.445769,1.109,0.979044,0,0.20365,0.13931,0.729422,-0.669729,-0.148547,0.684064,0.714136
-0.0414916,-0.31216,1.01212,0.997697,0,0.0678263,0.0301147,0.896028,-0.442975,-0.0607742,0.443998,0.893965
-0.0490273,-0.171772,0.967289,0.999975,0,0.00703311,0.00109374,0.987834,-0.155509,-0.00694755,0.155512,0.98781
-0.0515554,-0.0416436,0.961976,0.999938,0,-0.01113,0.000664332,0.998217,0.059685,0.0111101,-0.0596887,0.998155
-0.0531536,0.0714426,0.975163,0.99974,0,-0.0227943,0.00349121,0.988201,0.153122,0.0225254,-0.153161,0.987944
-0.0589062,0.167775,0.990076,0.997941,0,-0.0641344,0.00814268,0.991907,0.126701,0.0636154,-0.126963,0.989865
-0.0737027,0.247171,0.997111,0.985558,0,-0.16934,-0.00342139,0.999796,-0.0199125,0.169305,0.0202043,0.985357
-0.0981791,0.31324,0.994285,0.934238,0,-0.35665,-0.0936452,0.964913,-0.245302,0.344137,0.262569,0.901459
0.0369789,-0.449093,1.11521,0.991294,0,-0.131664,-0.0931925,0.706405,-0.701646,0.0930079,0.707808,0.700256
0.0406333,-0.316056,1.01388,0.997117,0,-0.0758822,-0.0358032,0.881692,-0.470465,0.0669048,0.471825,0.87915
0.0384947,-0.176515,0.96456,0.996491,0,-0.0836953,-0.0158511,0.981902,-0.188726,0.0821805,0.18939,0.978457
0.0309285,-0.0474228,0.955216,0.990675,0,-0.136248,0.00250813,0.999831,0.0182369,0.136225,-0.0184086,0.990507
0.020351,0.0635811,0.964747,0.9771,0,-0.212782,0.0206416,0.995284,0.0947867,0.211778,-0.0970082,0.972491
0.00911204,0.156679,0.975742,0.956299,0,-0.29239,0.0139484,0.998861,0.04562,0.292057,-0.0477047,0.95521
0.000350745,0.233017,0.976724,0.933999,0,-0.357276,-0.0433406,0.992615,-0.113302,0.354638,0.121308,0.927101
