x,y,z,tau1_x,tau1_y,tau1_z,tau2_x,tau2_y,tau2_z,normal_x,normal_y,normal_z
-0.435179,-0.401664,1.13258,0.755953,0,0.654626,-0.241577,0.929417,0.27897,-0.60842,-0.369031,0.702596
-0.405035,-0.253788,1.18887,0.919431,0,0.393251,-0.0106397,0.999634,0.024876,-0.393107,-0.0270559,0.919095
-0.402435,-0.117805,1.17287,0.922979,0,0.38485,0.0885009,0.9732,-0.21225,-0.374536,0.229962,0.898243
-0.423847,-0.0126137,1.12892,0.836898,0,0.547359,0.146169,0.963684,-0.223489,-0.527481,0.267045,0.806505
-0.44596,0.069594,1.08794,0.721667,0,0.69224,0.0968837,0.990158,-0.101002,-0.685427,0.139957,0.714564
-0.455252,0.136329,1.07514,0.655255,0,0.755408,-0.0737635,0.995221,0.0639839,-0.751798,-0.0976473,0.652124
-0.441416,0.188864,1.1115,0.687864,0,0.725839,-0.316965,0.899613,0.300382,-0.652975,-0.436688,0.618811
-0.386928,0.238297,1.20788,0.899188,0,0.437562,-0.349123,0.602814,0.717446,-0.263769,-0.797882,0.542043
-0.330378,-0.334878,1.22702,0.816384,0,0.577509,0.0623781,0.99415,-0.0881795,-0.574131,0.108012,0.811608
-0.292091,-0.22731,1.22926,0.952455,0,0.30468,0.0493789,0.98678,-0.154363,-0.300652,0.162068,0.939863
-0.284504,-0.128641,1.21464,0.968407,0,0.249375,0.038045,0.988294,-0.147741,-0.246456,0.152561,0.957071
-0.300069,-0.0377666,1.19771,0.933334,0,0.359008,0.0313708,0.996175,-0.0815564,-0.357635,0.0873818,0.929764
-0.318917,0.0470972,1.18543,0.870384,0,0.492373,-0.0102088,0.999785,0.0180465,-0.492267,-0.0207339,0.870197
-0.326534,0.127671,1.18914,0.832678,0,0.553757,-0.0883195,0.987199,0.132805,-0.546669,-0.159491,0.822019
-0.313107,0.20194,1.21951,0.877309,0,0.479926,-0.164751,0.939232,0.301166,-0.450762,-0.343284,0.823996
-0.258748,0.270523,1.27404,0.997115,0,0.0758997,-0.0430879,0.823239,0.566057,-0.0624836,-0.567695,0.820864
-0.203099,-0.279679,1.28246,0.89867,0,0.438625,0.22032,0.864696,-0.451398,-0.379277,0.502296,0.777076
-0.175876,-0.203222,1.25316,0.980585,0,0.196097,0.0655222,0.942526,-0.327644,-0.184827,0.334132,0.924227
-0.166647,-0.131228,1.23711,0.992775,0,0.119994,0.0160897,0.990969,-0.13312,-0.11891,0.134088,0.983809
-0.172504,-0.0540468,1.23264,0.986985,0,0.160809,-0.00464828,0.999582,0.0285293,-0.160742,-0.0289055,0.986573
-0.182183,0.0317375,1.23827,0.972749,0,0.231859,-0.0302453,0.991455,0.126892,-0.229878,-0.130446,0.964437
-0.184613,0.125765,1.25306,0.967981,0,0.251024,-0.0434548,0.984902,0.167567,-0.247234,-0.17311,0.953367
-0.168883,0.226982,1.27437,0.990607,0,0.136738,-0.0224816,0.986391,0.16287,-0.134877,-0.164414,0.977127
-0.120916,0.337006,1.28758,0.977992,0,-0.208644,0.0193645,0.995684,0.0907686,0.207743,-0.0928112,0.97377
-0.0707966,-0.254231,1.30896,0.979044,0,0.20365,0.13931,0.729422,-0.669729,-0.148547,0.684064,0.714136
-0.0585084,-0.18784,1.26243,0.997697,0,0.0678263,0.0301147,0.896028,-0.442975,-0.0607742,0.443998,0.893965
-0.0509727,-0.128228,1.24388,0.999975,0,0.00703311,0.00109374,0.987834,-0.155509,-0.00694755,0.155512,0.98781
-0.0484446,-0.0583564,1.24146,0.999938,0,-0.01113,0.000664332,0.998217,0.059685,0.0111101,-0.0596887,0.998155
-0.0468464,0.0285574,1.25179,0.99974,0,-0.0227943,0.00349121,0.988201,0.153122,0.0225254,-0.153161,0.987944
-0.0410938,0.132225,1.26724,0.997941,0,-0.0641344,0.00814268,0.991907,0.126701,0.0636154,-0.126963,0.989865
-0.0262973,0.252829,1.27301,0.985558,0,-0.16934,-0.00342139,0.999796,-0.0199125,0.169305,0.0202043,0.985357
-0.00182086,0.38676,1.24669,0.934238,0,-0.35665,-0.0936452,0.964913,-0.245302,0.344137,0.262569,0.901459
0.0630211,-0.250907,1.31128,0.991294,0,-0.131664,-0.0931925,0.706405,-0.701646,0.0930079,0.707808,0.700256
0.0593667,-0.183944,1.26005,0.997117,0,-0.0758822,-0.0358032,0.881692,-0.470465,0.0669048,0.471825,0.87915
0.0615053,-0.123485,1.23853,0.996491,0,-0.0836953,-0.0158511,0.981902,-0.188726,0.0821805,0.18939,0.978457
0.0690715,-0.0525772,1.23256,0.990675,0,-0.136248,0.00250813,0.999831,0.0182369,0.136225,-0.0184086,0.990507
0.079649,0.0364189,1.23704,0.9771,0,-0.212782,0.0206416,0.995284,0.0947867,0.211778,-0.0970082,0.972491
0.090888,0.143321,1.2432,0.956299,0,-0.29239,0.0139484,0.998861,0.04562,0.292057,-0.0477047,0.95521
0.0996493,0.266983,1.23631,0.933999,0,-0.357276,-0.0433406,0.992615,-0.113302,0.354638,0.121308,0.927101
0.101141,0.402748,1.19811,0.918959,0,-0.394353,-0.14858,0.926307,-0.346236,0.365292,0.37677,0.851238
0.205073,-0.272886,1.28345,0.88196,0,-0.471324,-0.259612,0.834627,-0.485797,0.39338,0.550815,0.736108
0.179109,-0.194804,1.24697,0.974069,0,-0.226251,-0.0892012,0.919,-0.384035,0.207924,0.394258,0.895169
0.170604,-0.120838,1.22491,0.988615,0,-0.15047,-0.0313433,0.978064,-0.205931,0.147169,0.208303,0.966929
0.179518,-0.0399988,1.21229,0.977403,0,-0.211383,-0.0151005,0.997445,-0.0698227,0.210843,0.0714369,0.974906
0.195838,0.0518483,1.2044,0.94487,0,-0.327446,-0.00432304,0.999913,-0.0124745,0.327418,0.0132023,0.944787
0.209009,0.15476,1.19711,0.906718,0,-0.421738,-0.0143399,0.999422,-0.0308302,0.421494,0.034002,0.906193
0.211504,0.267916,1.18635,0.896543,0,-0.442956,-0.0566847,0.991778,-0.11473,0.439314,0.127969,0.889172
0.194738,0.391932,1.16456,0.942242,0,-0.334932,-0.100316,0.954092,-0.282213,0.319556,0.299512,0.898986
0.348515,-0.338774,1.20318,0.708258,0,-0.705954,-0.0566077,0.99678,-0.0567925,0.70368,0.0801862,0.705977
0.301442,-0.228586,1.21854,0.928306,0,-0.371818,-0.0568729,0.988232,-0.141993,0.367442,0.152959,0.917382
0.276662,-0.123854,1.20679,0.98103,0,-0.193857,-0.0362044,0.982406,-0.183216,0.190446,0.186758,0.963769
0.283031,-0.0239978,1.18576,0.970745,0,-0.240112,-0.0445961,0.982601,-0.180297,0.235934,0.18573,0.953855
0.302374,0.0717029,1.1618,0.925528,0,-0.378678,-0.0587029,0.987911,-0.143476,0.3741,0.155021,0.91434
0.316391,0.164476,1.14159,0.879025,0,-0.476776,-0.0492985,0.99464,-0.090891,0.47422,0.1034,0.874313
0.313213,0.255102,1.13582,0.892109,0,-0.451821,-0.0164651,0.999336,-0.0325098,0.451521,0.0364416,0.891516
0.272178,0.341361,1.14984,0.987324,0,-0.158716,0.00979413,0.998094,0.0609264,0.158413,-0.0617086,0.985443
0.453669,-0.414807,1.04723,0.549656,0,-0.835391,0.386709,0.886406,0.25444,0.740496,-0.462908,0.487219
0.417689,-0.287937,1.15767,0.8647,0,-0.502288,0.13611,0.962585,0.234317,0.483495,-0.270981,0.832348
0.379966,-0.136478,1.18687,0.976604,0,-0.215046,-0.0207699,0.995325,-0.0943239,0.21404,0.0965836,0.972038
0.380014,-0.00777322,1.15798,0.974392,0,-0.224856,-0.0678211,0.953428,-0.293896,0.214384,0.30162,0.929013
0.400044,0.0932322,1.1159,0.92669,0,-0.375827,-0.116056,0.951127,-0.286163,0.357459,0.308801,0.881399
0.4155,0.171497,1.08635,0.880807,0,-0.473475,-0.0727024,0.988141,-0.135248,0.46786,0.153551,0.870362
0.403307,0.224963,1.09088,0.92208,0,-0.387,0.0692105,0.983879,0.164903,0.380761,-0.178838,0.907214
0.332937,0.265203,1.12067,0.9882,0,0.153169,-0.0927731,0.795699,0.598546,-0.121876,-0.605693,0.786309
