x,y,z,tau1_x,tau1_y,tau1_z,tau2_x,tau2_y,tau2_z,normal_x,normal_y,normal_z
-0.988876,-0.988303,0.138791,0.996816,0,-0.0797327,-0.0066618,0.996503,-0.0832857,0.0794539,0.0835517,0.993331
-0.978291,-0.866238,0.140234,0.987852,0,-0.155395,0.0100958,0.997887,0.0641792,0.155067,-0.0649684,0.985765
-0.922141,-0.715964,0.124198,0.831064,0,-0.556177,0.00666799,0.999928,0.00996361,0.556137,-0.011989,0.831004
-0.937068,-0.569656,0.132709,0.893255,0,-0.449549,-0.00569222,0.99992,-0.0113105,0.449513,0.0126621,0.893184
-0.967996,-0.42485,0.140777,0.973502,0,-0.228681,-0.00607846,0.999647,-0.0258762,0.2286,0.0265805,0.973158
-0.998555,-0.28199,0.140461,0.999947,0,-0.0103218,-0.000274554,0.999646,-0.0265979,0.0103182,0.0265993,0.999593
-1.01692,-0.14118,0.136554,0.992667,0,0.120882,0.00144783,0.999928,-0.0118894,-0.120873,0.0119772,0.992596
-1.01851,-0.000596204,0.135922,0.991221,0,0.132212,-0.000563039,0.999991,0.00422122,-0.132211,-0.0042586,0.991212
-1.01074,0.141335,0.137933,0.997051,0,0.0767361,-0.0008342,0.999941,0.010839,-0.0767316,-0.010871,0.996993
-1.00333,0.28455,0.139765,0.999717,0,0.0237911,-0.00019781,0.999965,0.00831206,-0.0237903,-0.00831442,0.999682
-0.99557,0.427498,0.140804,0.999499,0,-0.0316443,0.000242635,0.999971,0.00766372,0.0316434,-0.00766756,0.99947
-0.988835,0.574933,0.13986,0.996813,0,-0.0797774,-0.00199687,0.999687,-0.0249507,0.0797524,0.0250305,0.9965
-1.0495,0.709897,0.12953,0.935347,0,0.353733,-0.0110886,0.999509,0.0293208,-0.353559,-0.0313475,0.934887
-1.1195,0.843996,0.0890285,0.514741,0,0.857346,-0.0805101,0.995581,0.0483374,-0.853557,-0.0939062,0.512467
-1.08864,1.05634,0.0938617,0.72228,0,0.691601,0.278325,0.915449,-0.290671,-0.633125,0.402435,0.66121
-0.866739,-1.00224,0.141011,0.997648,0,0.0685508,-0.00109458,0.999873,0.0159299,-0.068542,-0.0159675,0.99752
-0.868738,-0.866432,0.139205,0.996549,0,0.083008,-0.00550777,0.997796,0.0661233,-0.0828251,-0.0663523,0.994353
-0.928822,-0.719061,0.143065,0.85881,0,0.512293,-0.0174722,0.999418,0.0292905,-0.511995,-0.0341059,0.858311
-0.899138,-0.554129,0.139503,0.953219,0,0.302281,0.0373526,0.992336,-0.117788,-0.299964,0.123569,0.945913
-0.866839,-0.42588,0.136759,0.997598,0,0.0692685,0.00133172,0.999815,-0.0191792,-0.0692557,0.0192254,0.997414
-0.854912,-0.289744,0.138479,0.999873,0,-0.0159442,0.000458918,0.999586,0.0287791,0.0159376,-0.0287828,0.999459
-0.853385,-0.144759,0.142272,0.99964,0,-0.0268432,0.000364652,0.999908,0.0135797,0.0268407,-0.0135845,0.999547
-0.852537,0.00214472,0.141714,0.999459,0,-0.0329032,-0.000504057,0.999883,-0.0153111,0.0328993,0.0153194,0.999341
-0.852514,0.144289,0.139492,0.999453,0,-0.0330632,-0.000338061,0.999948,-0.0102191,0.0330614,0.0102247,0.999401
-0.855825,0.282507,0.140385,0.999956,0,-0.00941697,0.000215765,0.999737,0.0229113,0.0094145,-0.0229123,0.999693
-0.86007,0.433378,0.141118,0.999781,0,0.0209212,0.000718335,0.99941,-0.0343278,-0.0209088,0.0343354,0.999192
-0.857394,0.571204,0.135277,0.999998,0,0.00179361,-2.87316e-06,0.999999,0.00160188,-0.00179361,-0.00160188,0.999997
-0.848322,0.670187,0.148286,0.997794,0,-0.0663855,0.0209109,0.949094,0.314297,0.0630061,-0.314992,0.947001
-0.828636,0.781888,0.21326,0.970407,0,-0.241477,0.129801,0.843244,0.521624,0.203624,-0.537531,0.818289
-0.847896,1.12503,0.109325,0.989163,0,-0.146824,-0.131129,0.449852,-0.883424,0.066049,0.893103,0.444977
-0.715684,-0.915861,0.121485,0.999922,0,0.0124991,0.0075119,0.799254,-0.600946,-0.00998998,0.600993,0.799192
-0.72235,-0.929034,0.133665,0.997744,0,0.0671303,-0.0344722,0.858083,0.512353,-0.0576034,-0.513512,0.856147
-0.736625,-0.726929,0.234964,0.987081,0,0.160224,-0.01447,0.995914,0.0891444,-0.15957,-0.0903112,0.983047
-0.723256,-0.515944,0.175653,0.997562,0,0.0697866,0.0276575,0.918114,-0.39535,-0.0640721,0.396316,0.915876
-0.714799,-0.406742,0.145037,0.999993,0,0.00370956,0.000578423,0.987768,-0.155927,-0.00366419,0.155928,0.987762
-0.712291,-0.284405,0.13629,0.999899,0,-0.0142455,-0.000133266,0.999956,-0.00935397,0.0142449,0.00935492,0.999855
-0.713655,-0.144649,0.138048,0.99999,0,-0.00450476,5.76527e-05,0.999918,0.0127981,0.00450439,-0.0127982,0.999908
-0.716046,0.00148926,0.137813,0.999921,0,0.0125742,0.000133759,0.999943,-0.0106367,-0.0125735,0.0106376,0.999864
-0.71674,0.143125,0.136531,0.999846,0,0.0175292,3.3495e-05,0.999998,-0.00191052,-0.0175291,0.00191082,0.999845
-0.713127,0.280955,0.138669,0.999966,0,-0.00827961,0.000281449,0.999422,0.0339919,0.00827483,-0.033993,0.999388
-0.711413,0.42879,0.142349,0.999789,0,-0.0205228,-3.21055e-05,0.999999,-0.00156405,0.0205227,0.00156438,0.999788
-0.719918,0.575491,0.138627,0.99919,0,0.0402473,0.0011679,0.999579,-0.0289945,-0.0402303,0.029018,0.998769
-0.703932,0.703728,0.139658,0.997246,0,-0.0741662,0.00559281,0.997153,0.0752015,0.073955,-0.0754092,0.994406
-0.652631,0.830619,0.148166,0.893776,0,-0.448515,0.0849749,0.981889,0.169333,0.440391,-0.189459,0.877588
-0.687001,1.07814,0.120025,0.972024,0,-0.234883,-0.131098,0.829746,-0.542526,0.194894,0.558141,0.806533
-0.561489,-0.959122,0.137045,0.997241,0,-0.0742334,-0.0216751,0.956423,-0.29118,0.0709985,0.291985,0.953784
-0.592787,-0.910035,0.152688,0.986331,0,0.164774,-0.0622521,0.925886,0.372638,-0.152562,-0.377802,0.913231
-0.522179,-0.7055,0.19549,0.93582,0,-0.352479,-0.0221189,0.998029,-0.058725,0.351784,0.0627525,0.933975
-0.53369,-0.531573,0.150605,0.959651,0,-0.281193,-0.0800501,0.958623,-0.273193,0.269558,0.28468,0.919943
-0.556153,-0.418707,0.134798,0.994,0,-0.109381,-0.00770687,0.997515,-0.0700359,0.10911,0.0704587,0.991529
-0.574425,-0.293252,0.135875,0.99977,0,0.0214342,-0.00115397,0.99855,0.0538256,-0.0214031,-0.0538379,0.99832
-0.588353,-0.151943,0.144668,0.992635,0,0.121141,-0.00786192,0.997892,0.0644212,-0.120885,-0.0648991,0.990543
-0.598649,-0.00251628,0.149359,0.980911,0,0.19446,-0.00349511,0.999838,0.0176303,-0.194428,-0.0179734,0.980752
-0.599081,0.147666,0.14809,0.980275,0,0.197637,0.00678804,0.99941,-0.0336686,-0.19752,0.034346,0.979697
-0.581455,0.29773,0.14097,0.997413,0,0.0718848,0.00616941,0.99631,-0.0856015,-0.0716196,0.0858236,0.993733
-0.561594,0.424584,0.134584,0.997528,0,-0.0702726,0.00200142,0.999594,0.0284104,0.0702441,-0.0284808,0.997123
-0.574537,0.567253,0.143993,0.999753,0,0.0222098,-0.000662483,0.999555,0.029821,-0.0221999,-0.0298284,0.999308
-0.576537,0.723761,0.139612,0.999331,0,0.0365716,0.00247521,0.997707,-0.067636,-0.0364877,0.0676813,0.99704
-0.569012,0.863694,0.130011,0.999851,0,-0.0172768,-0.00080843,0.998905,-0.0467857,0.0172579,0.0467927,0.998756
-0.575777,0.979328,0.133646,0.999507,0,0.0314017,-0.0046367,0.989039,0.147585,-0.0310574,-0.147658,0.988551
-0.426222,-1.06404,0.119468,0.999822,0,-0.018868,0.0086312,0.889234,0.45737,0.0167781,-0.457452,0.889076
-0.497037,-0.900259,0.19715,0.857778,0,0.51402,-0.158302,0.951396,0.26417,-0.489036,-0.30797,0.816087
-0.472976,-0.658868,0.177868,0.93846,0,0.345389,0.136719,0.918319,-0.371481,-0.317177,0.395841,0.861805
-0.440735,-0.537351,0.137018,0.99598,0,0.0895796,0.021805,0.969922,-0.242436,-0.0868852,0.243414,0.966023
-0.431835,-0.433314,0.127686,0.999728,0,0.023322,-0.000790016,0.999426,0.0338651,-0.0233086,-0.0338743,0.999154
-0.441099,-0.311063,0.142152,0.995852,0,0.0909875,-0.0164741,0.983472,0.180308,-0.0894837,-0.181059,0.979393
-0.459225,-0.169766,0.168126,0.974792,0,0.223116,-0.042884,0.981355,0.18736,-0.218956,-0.192206,0.956617
-0.476189,-0.0131852,0.187904,0.939829,0,0.341645,-0.0321762,0.995555,0.0885133,-0.340126,-0.0941802,0.935652
-0.479783,0.155568,0.187948,0.930097,0,0.367314,0.0333498,0.99587,-0.084447,-0.365797,0.0907938,0.926255
-0.456695,0.332435,0.153575,0.97703,0,0.213102,0.0711162,0.942672,-0.326054,-0.200885,0.33372,0.921019
-0.422401,0.434348,0.125583,0.999026,0,-0.0441146,-0.00182011,0.999149,-0.0412184,0.0440771,0.0412586,0.998176
-0.420033,0.560118,0.14116,0.998126,0,-0.0611887,0.00494355,0.996731,0.0806404,0.0609887,-0.0807917,0.994863
-0.425167,0.716712,0.141901,0.999704,0,-0.0243195,-0.000421409,0.99985,-0.0173229,0.0243159,0.017328,0.999554
-0.473462,0.836793,0.143963,0.946028,0,0.324086,-0.0471087,0.989379,0.137513,-0.320644,-0.145359,0.93598
-0.439655,1.05807,0.130853,0.996208,0,0.0870078,0.0360876,0.90993,-0.41319,-0.079171,0.414763,0.906479
-0.286578,-1.02409,0.139098,0.99998,0,0.00626157,-0.00107747,0.985083,0.172074,-0.00616817,-0.172078,0.985064
-0.212227,-0.889543,0.171923,0.841948,0,-0.539559,0.124871,0.972851,0.194853,0.524911,-0.231432,0.81909
-0.232007,-0.674088,0.159144,0.916302,0,-0.400488,-0.114989,0.957894,-0.263092,0.383624,0.287123,0.87772
-0.279013,-0.550069,0.139115,0.998826,0,-0.0484333,-0.00738927,0.988293,-0.152387,0.0478663,0.152566,0.987133
-0.292856,-0.42967,0.131102,0.998698,0,0.0510141,-0.000400369,0.999969,0.00783798,-0.0510126,-0.0078482,0.998667
-0.276869,-0.299459,0.138804,0.997983,0,-0.0634873,0.00623297,0.995169,0.0979786,0.0631806,-0.0981766,0.993161
-0.251149,-0.158812,0.150856,0.968629,0,-0.248513,0.0283217,0.993485,0.11039,0.246894,-0.113965,0.962318
-0.233604,-0.00868849,0.159867,0.927858,0,-0.372933,0.0231445,0.998072,0.0575835,0.372214,-0.0620607,0.92607
-0.232286,0.14996,0.161127,0.924112,0,-0.382122,-0.0193856,0.998712,-0.0468815,0.38163,0.0507314,0.922922
-0.256878,0.315675,0.145128,0.977517,0,-0.210855,-0.0451248,0.976832,-0.209197,0.20597,0.214008,0.95487
-0.307817,0.425229,0.128265,0.987452,0,0.157919,-0.00377024,0.999715,0.023575,-0.157874,-0.0238746,0.987171
-0.337054,0.566539,0.135919,0.930246,0,0.366938,-0.0128164,0.99939,0.0324917,-0.366714,-0.0349281,0.929678
-0.311751,0.688608,0.146788,0.981941,0,0.189186,-0.0346994,0.983036,0.180102,-0.185977,-0.183414,0.965283
-0.307562,0.770599,0.201905,0.980095,0,0.19853,-0.122726,0.786043,0.605868,-0.156053,-0.618172,0.770396
-0.294181,1.12785,0.102532,0.988929,0,0.148392,0.135509,0.407543,-0.903076,-0.0604759,0.913186,0.403031
-0.140027,-0.967533,0.131036,0.999784,0,-0.0207813,-0.00481939,0.972737,-0.23186,0.0202148,0.23191,0.972527
-0.114701,-0.866792,0.127345,0.979469,0,-0.201597,0.0138942,0.997622,0.0675059,0.201117,-0.068921,0.97714
-0.125148,-0.718262,0.134446,0.991961,0,-0.126545,0.0035939,0.999597,0.0281719,0.126494,-0.0284002,0.991561
