x,y,z,tau1_x,tau1_y,tau1_z,tau2_x,tau2_y,tau2_z,normal_x,normal_y,normal_z
-0.995816,-0.993656,2.40025,0.999996,0,-0.00298872,-1.35424e-05,0.99999,-0.00453115,0.00298869,0.00453117,0.999985
-1.00508,-0.749194,2.39966,0.999993,0,0.00362635,2.08752e-06,1,-0.00057565,-0.00362635,0.000575654,0.999993
-1.00266,-0.502126,2.39982,0.999998,0,0.00189802,-2.88252e-06,0.999999,0.0015187,-0.00189802,-0.0015187,0.999997
-0.995744,-0.252453,2.40027,0.999995,0,-0.00304017,5.32587e-06,0.999998,0.00175183,0.00304016,-0.00175183,0.999994
-0.991524,-0.000173275,2.40052,0.999982,0,-0.00605453,7.49355e-07,1,0.000123765,0.00605453,-0.000123768,0.999982
-0.997184,0.254712,2.40017,0.999998,0,-0.00201174,-6.77051e-06,0.999994,-0.00336549,0.00201173,0.0033655,0.999992
-1.01991,0.512201,2.39852,0.999899,0,0.0142207,0.000123931,0.999962,-0.00871394,-0.0142201,0.00871482,0.999861
-1.06681,0.772271,2.3939,0.99886,0,0.047726,0.000759207,0.999873,-0.0158895,-0.04772,0.0159076,0.998734
-1.14449,1.0348,2.38268,0.994656,0,0.103242,0.00256655,0.999691,-0.0247266,-0.10321,0.0248594,0.994349
-0.747826,-1.00679,2.39969,0.999999,0,-0.00155308,7.53003e-06,0.999988,0.00484844,0.00155306,-0.00484844,0.999987
-0.752638,-0.750862,2.40035,0.999998,0,0.00188443,-1.16074e-06,1,0.000615962,-0.00188443,-0.000615964,0.999998
-0.751381,-0.497725,2.40018,1,0,0.000986299,1.60277e-06,0.999999,-0.00162504,-0.000986298,0.00162504,0.999998
-0.747788,-0.247376,2.3997,0.999999,0,-0.00157982,-2.96137e-06,0.999998,-0.0018745,0.00157981,0.0018745,0.999997
-0.745595,0.00018541,2.39941,0.999995,0,-0.00314625,-4.16676e-07,1,-0.000132435,0.00314625,0.000132436,0.999995
-0.748536,0.244958,2.3998,0.999999,0,-0.00104539,3.76462e-06,0.999994,0.00360115,0.00104539,-0.00360115,0.999993
-0.760346,0.486944,2.40128,0.999973,0,0.00739026,-6.8919e-05,0.999957,0.0093254,-0.00738993,-0.00932566,0.999929
-0.784745,0.726151,2.404,0.999692,0,0.0248213,-0.000422838,0.999855,0.01703,-0.0248177,-0.0170353,0.999547
-0.825376,0.962616,2.40754,0.998549,0,0.0538594,-0.0014382,0.999643,0.0266641,-0.0538402,-0.0267029,0.998192
-0.499367,-1.01249,2.39941,1,0,-0.000451888,4.03252e-06,0.99996,0.00892371,0.00045187,-0.00892371,0.99996
-0.500768,-0.751587,2.40065,1,0,0.000548298,-6.21623e-07,0.999999,0.00113373,-0.000548298,-0.00113373,0.999999
-0.500402,-0.495813,2.40033,1,0,0.000286976,8.58347e-07,0.999996,-0.002991,-0.000286975,0.002991,0.999995
-0.499356,-0.24517,2.39945,1,0,-0.000459668,-1.58593e-06,0.999994,-0.00345016,0.000459665,0.00345016,0.999994
-0.498718,0.000341263,2.39892,1,0,-0.000915445,-2.23148e-07,1,-0.000243759,0.000915445,0.000243759,1
-0.499574,0.240721,2.39961,1,0,-0.000304171,2.01607e-06,0.999978,0.0066281,0.000304164,-0.0066281,0.999978
-0.50301,0.475971,2.40233,0.999998,0,0.00215034,-3.69069e-05,0.999853,0.0171632,-0.00215002,-0.0171633,0.99985
-0.510109,0.706106,2.4078,0.999974,0,0.0072241,-0.000226496,0.999508,0.031352,-0.00722055,-0.0313528,0.999482
-0.521942,0.931159,2.41666,0.999877,0,0.0156919,-0.000771605,0.99879,0.0491661,-0.0156729,-0.0491722,0.998667
-0.250441,-1.01273,2.3994,1,0,0.00031485,-2.86315e-06,0.999959,0.00909367,-0.000314837,-0.00909367,0.999959
-0.249465,-0.751617,2.40066,1,0,-0.000382023,4.41361e-07,0.999999,0.00115533,0.000382023,-0.00115533,0.999999
-0.24972,-0.495733,2.40034,1,0,-0.000199949,-6.09438e-07,0.999995,-0.00304797,0.000199948,0.00304797,0.999995
-0.250448,-0.245078,2.39944,1,0,0.00032027,1.12603e-06,0.999994,-0.00351588,-0.000320268,0.00351588,0.999994
-0.250893,0.000347763,2.3989,1,0,0.000637831,1.58439e-07,1,-0.000248402,-0.000637831,0.000248402,1
-0.250297,0.240544,2.3996,1,0,0.000211929,-1.43144e-06,0.999977,0.00675434,-0.000211924,-0.00675434,0.999977
-0.247903,0.475514,2.40237,0.999999,0,-0.00149824,2.62043e-05,0.999847,0.0174901,0.00149801,-0.0174901,0.999846
-0.242957,0.70527,2.40796,0.999987,0,-0.00503341,0.000160816,0.999489,0.0319494,0.00503084,-0.0319498,0.999477
-0.234712,0.929847,2.41704,0.99994,0,-0.0109339,0.000547895,0.998744,0.0501066,0.0109202,-0.0501096,0.998684
-0.00104596,-1.00946,2.39956,1,0,0.000747134,-5.0483e-06,0.999977,0.00675688,-0.000747117,-0.00675688,0.999977
0.00126915,-0.751202,2.40049,1,0,-0.000906534,7.78194e-07,1,0.000858428,0.000906533,-0.000858428,0.999999
0.000664263,-0.496829,2.40025,1,0,-0.000474475,-1.07454e-06,0.999997,-0.0022647,0.000474473,0.0022647,0.999997
-0.00106399,-0.246343,2.39958,1,0,0.000759996,1.98539e-06,0.999997,-0.00261236,-0.000759993,0.00261236,0.999996
-0.00211898,0.000258394,2.39918,0.999999,0,0.00151356,2.79353e-07,1,-0.000184567,-0.00151356,0.000184567,0.999999
-0.000704056,0.242974,2.39971,1,0,0.000502903,-2.52389e-06,0.999987,0.00501865,-0.000502897,-0.00501865,0.999987
0.00497696,0.481805,2.4018,0.999994,0,-0.00355527,4.62053e-05,0.999916,0.0129962,0.00355497,-0.0129963,0.999909
0.0167162,0.716759,2.40596,0.999929,0,-0.0119435,0.000283578,0.999718,0.0237416,0.0119401,-0.0237433,0.999647
0.0362892,0.94786,2.41259,0.999664,0,-0.0259388,0.000966039,0.999306,0.0372304,0.0259208,-0.037243,0.99897
0.248817,-1.00464,2.39979,1,0,0.000844963,-2.79819e-06,0.999995,0.00331162,-0.000844958,-0.00331162,0.999994
0.251435,-0.750589,2.40024,0.999999,0,-0.00102523,4.31334e-07,1,0.000420717,0.00102523,-0.000420717,0.999999
0.250751,-0.498446,2.40012,1,0,-0.000536602,-5.95594e-07,0.999999,-0.00110994,0.000536601,0.00110994,0.999999
0.248797,-0.248208,2.3998,1,0,0.000859508,1.10045e-06,0.999999,-0.00128033,-0.000859507,0.00128033,0.999999
0.247604,0.000126639,2.3996,0.999999,0,0.00171174,1.54839e-07,1,-9.04566e-05,-0.00171174,9.04567e-05,0.999999
0.249204,0.246556,2.39986,1,0,0.000568753,-1.39895e-06,0.999997,0.00245967,-0.000568751,-0.00245967,0.999997
0.255629,0.491082,2.4009,0.999992,0,-0.00402079,2.5612e-05,0.99998,0.00636985,0.0040207,-0.0063699,0.999972
0.268909,0.733706,2.40294,0.999909,0,-0.0135071,0.000157208,0.999932,0.0116378,0.0135062,-0.0116389,0.999841
0.291059,0.974435,2.40604,0.99957,0,-0.0293325,0.000535634,0.999833,0.0182529,0.0293276,-0.0182608,0.999403
0.499148,-1.00022,2.39999,1,0,0.000608336,-9.51707e-08,1,0.000156444,-0.000608336,-0.000156444,1
0.501033,-0.750028,2.40001,1,0,-0.000738124,1.46702e-08,1,1.9875e-05,0.000738124,-1.9875e-05,1
0.500541,-0.499927,2.40001,1,0,-0.00038633,-2.02569e-08,1,-5.24343e-05,0.00038633,5.24343e-05,1
