x,y,z,tau1_x,tau1_y,tau1_z,tau2_x,tau2_y,tau2_z,normal_x,normal_y,normal_z
-1.01748,-1.01748,-1.39742,0.999922,0,-0.0124833,-0.000155822,0.999922,-0.0124814,0.0124824,0.0124824,0.999844
-1.0052,-0.872123,-1.39921,0.999993,0,-0.00371489,-3.97499e-05,0.999943,-0.0107001,0.00371468,0.0107002,0.999936
-0.994813,-0.726769,-1.40063,0.999993,0,0.00370532,3.30402e-05,0.99996,-0.00891689,-0.00370517,0.00891696,0.999953
-0.986314,-0.581415,-1.40174,0.999952,0,0.00977601,6.97359e-05,0.999975,-0.00713303,-0.00977576,0.00713337,0.999927
-0.979705,-0.436061,-1.40257,0.999895,0,0.0144969,7.75555e-05,0.999986,-0.00534922,-0.0144967,0.00534978,0.999881
-0.974984,-0.290707,-1.40314,0.99984,0,0.0178685,6.37253e-05,0.999994,-0.00356579,-0.0178683,0.00356636,0.999834
-0.972153,-0.145354,-1.40348,0.999802,0,0.0198911,3.54681e-05,0.999998,-0.00178277,-0.019891,0.00178312,0.999801
-0.971209,6.19772e-16,-1.40359,0.999789,0,0.0205652,-9.10412e-18,1,4.42601e-16,-0.0205652,-4.42695e-16,0.999789
-0.972153,0.145354,-1.40348,0.999802,0,0.0198911,-3.54681e-05,0.999998,0.00178277,-0.019891,-0.00178312,0.999801
-0.974984,0.290707,-1.40314,0.99984,0,0.0178685,-6.37253e-05,0.999994,0.00356579,-0.0178683,-0.00356636,0.999834
-0.979705,0.436061,-1.40257,0.999895,0,0.0144969,-7.75555e-05,0.999986,0.00534922,-0.0144967,-0.00534978,0.999881
-0.986314,0.581415,-1.40174,0.999952,0,0.00977601,-6.97359e-05,0.999975,0.00713303,-0.00977576,-0.00713337,0.999927
-0.994813,0.726769,-1.40063,0.999993,0,0.00370532,-3.30402e-05,0.99996,0.00891689,-0.00370517,-0.00891696,0.999953
-1.0052,0.872123,-1.39921,0.999993,0,-0.00371489,3.97499e-05,0.999943,0.0107001,0.00371468,-0.0107002,0.999936
-1.01748,1.01748,-1.39742,0.999922,0,-0.0124833,0.000155822,0.999922,0.0124814,0.0124824,-0.0124824,0.999844
-0.872123,-1.0052,-1.39921,0.999943,0,-0.0107002,-3.97479e-05,0.999993,-0.00371447,0.0107002,0.00371468,0.999936
-0.861601,-0.861601,-1.39978,0.999995,0,-0.0031842,-1.01391e-05,0.999995,-0.00318417,0.00318418,0.00318418,0.99999
-0.852696,-0.718001,-1.4002,0.999995,0,0.003176,8.42747e-06,0.999996,-0.00265348,-0.00317598,0.00265349,0.999991
-0.845412,-0.5744,-1.4005,0.999965,0,0.00837954,1.77875e-05,0.999998,-0.00212266,-0.00837952,0.00212273,0.999963
-0.839746,-0.4308,-1.4007,0.999923,0,0.0124263,1.97824e-05,0.999999,-0.00159186,-0.0124263,0.00159198,0.999922
-0.8357,-0.2872,-1.40084,0.999883,0,0.0153165,1.62551e-05,0.999999,-0.00106116,-0.0153165,0.00106128,0.999882
-0.833272,-0.1436,-1.40091,0.999855,0,0.0170504,9.04737e-06,1,-0.000530548,-0.0170504,0.000530625,0.999854
-0.832463,5.07493e-18,-1.40094,0.999845,0,0.0176283,-6.39018e-20,1,3.62439e-18,-0.0176283,-3.62495e-18,0.999845
-0.833272,0.1436,-1.40091,0.999855,0,0.0170504,-9.04737e-06,1,0.000530548,-0.0170504,-0.000530625,0.999854
-0.8357,0.2872,-1.40084,0.999883,0,0.0153165,-1.62551e-05,0.999999,0.00106116,-0.0153165,-0.00106128,0.999882
-0.839746,0.4308,-1.4007,0.999923,0,0.0124263,-1.97824e-05,0.999999,0.00159186,-0.0124263,-0.00159198,0.999922
-0.845412,0.5744,-1.4005,0.999965,0,0.00837954,-1.77875e-05,0.999998,0.00212266,-0.00837952,-0.00212273,0.999963
-0.852696,0.718001,-1.4002,0.999995,0,0.003176,-8.42747e-06,0.999996,0.00265348,-0.00317598,-0.00265349,0.999991
-0.861601,0.861601,-1.39978,0.999995,0,-0.0031842,1.01391e-05,0.999995,0.00318417,0.00318418,-0.00318418,0.99999
-0.872123,1.0052,-1.39921,0.999943,0,-0.0107002,3.97479e-05,0.999993,0.00371447,0.0107002,-0.00371468,0.999936
-0.726769,-0.994813,-1.40063,0.99996,0,-0.00891702,3.30391e-05,0.999993,0.00370503,0.00891696,-0.00370517,0.999953
-0.718001,-0.852696,-1.4002,0.999996,0,-0.0026535,8.42748e-06,0.999995,0.00317597,0.00265349,-0.00317598,0.999991
-0.71058,-0.71058,-1.39978,0.999996,0,0.00264667,-7.00482e-06,0.999996,0.00264665,-0.00264666,-0.00264666,0.999993
-0.70451,-0.568464,-1.39941,0.999976,0,0.00698302,-1.47851e-05,0.999998,0.00211723,-0.00698301,-0.00211729,0.999973
-0.699788,-0.426348,-1.39911,0.999946,0,0.0103555,-1.64437e-05,0.999999,0.00158783,-0.0103555,-0.00158792,0.999945
-0.696416,-0.284232,-1.39888,0.999919,0,0.0127642,-1.3512e-05,0.999999,0.0010585,-0.0127642,-0.00105858,0.999918
-0.694393,-0.142116,-1.39874,0.999899,0,0.0142093,-7.52072e-06,1,0.000529228,-0.0142093,-0.000529282,0.999899
-0.693718,-3.68497e-16,-1.3987,0.999892,0,0.014691,3.86685e-18,1,-2.63184e-16,-0.014691,2.63212e-16,0.999892
-0.694393,0.142116,-1.39874,0.999899,0,0.0142093,7.52072e-06,1,-0.000529228,-0.0142093,0.000529282,0.999899
-0.696416,0.284232,-1.39888,0.999919,0,0.0127642,1.3512e-05,0.999999,-0.0010585,-0.0127642,0.00105858,0.999918
-0.699788,0.426348,-1.39911,0.999946,0,0.0103555,1.64437e-05,0.999999,-0.00158783,-0.0103555,0.00158792,0.999945
-0.70451,0.568464,-1.39941,0.999976,0,0.00698302,1.47851e-05,0.999998,-0.00211723,-0.00698301,0.00211729,0.999973
-0.71058,0.71058,-1.39978,0.999996,0,0.00264667,7.00482e-06,0.999996,-0.00264665,-0.00264666,0.00264666,0.999993
-0.718001,0.852696,-1.4002,0.999996,0,-0.0026535,-8.42748e-06,0.999995,-0.00317597,0.00265349,0.00317598,0.999991
-0.726769,0.994813,-1.40063,0.99996,0,-0.00891702,-3.30391e-05,0.999993,-0.00370503,0.00891696,0.00370517,0.999953
-0.581415,-0.986314,-1.40174,0.999975,0,-0.00713372,6.97375e-05,0.999952,0.00977551,0.00713337,-0.00977576,0.999927
-0.5744,-0.845412,-1.4005,0.999998,0,-0.0021228,1.77881e-05,0.999965,0.0083795,0.00212273,-0.00837952,0.999963
-0.568464,-0.70451,-1.39941,0.999998,0,0.00211734,-1.47854e-05,0.999976,0.00698299,-0.00211729,-0.00698301,0.999973
-0.563608,-0.563608,-1.39851,0.999984,0,0.00558647,-3.12081e-05,0.999984,0.00558629,-0.00558638,-0.00558638,0.999969
-0.55983,-0.422706,-1.3978,0.999966,0,0.00828455,-3.47101e-05,0.999991,0.00418959,-0.00828448,-0.00418974,0.999957
-0.557132,-0.281804,-1.39728,0.999948,0,0.0102116,-2.85224e-05,0.999996,0.00279298,-0.0102116,-0.00279312,0.999944
-0.555514,-0.140902,-1.39697,0.999935,0,0.0113678,-1.58757e-05,0.999999,0.00139646,-0.0113678,-0.00139655,0.999934
-0.554974,-5.41591e-16,-1.39686,0.999931,0,0.0117532,4.54675e-18,1,-3.86824e-16,-0.0117532,3.8685e-16,0.999931
-0.555514,0.140902,-1.39697,0.999935,0,0.0113678,1.58757e-05,0.999999,-0.00139646,-0.0113678,0.00139655,0.999934
-0.557132,0.281804,-1.39728,0.999948,0,0.0102116,2.85224e-05,0.999996,-0.00279298,-0.0102116,0.00279312,0.999944
-0.55983,0.422706,-1.3978,0.999966,0,0.00828455,3.47101e-05,0.999991,-0.00418959,-0.00828448,0.00418974,0.999957
-0.563608,0.563608,-1.39851,0.999984,0,0.00558647,3.12081e-05,0.999984,-0.00558629,-0.00558638,0.00558638,0.999969
-0.568464,0.70451,-1.39941,0.999998,0,0.00211734,1.47854e-05,0.999976,-0.00698299,-0.00211729,0.00698301,0.999973
-0.5744,0.845412,-1.4005,0.999998,0,-0.0021228,-1.77881e-05,0.999965,-0.0083795,0.00212273,0.00837952,0.999963
-0.581415,0.986314,-1.40174,0.999975,0,-0.00713372,-6.97375e-05,0.999952,-0.00977551,0.00713337,0.00977576,0.999927
-0.436061,-0.979705,-1.40257,0.999986,0,-0.00535035,7.75625e-05,0.999895,0.0144965,0.00534978,-0.0144967,0.999881
-0.4308,-0.839746,-1.4007,0.999999,0,-0.00159211,1.97839e-05,0.999923,0.0124263,0.00159198,-0.0124263,0.999922
-0.426348,-0.699788,-1.39911,0.999999,0,0.001588,-1.64445e-05,0.999946,0.0103555,-0.00158792,-0.0103555,0.999945
-0.422706,-0.55983,-1.3978,0.999991,0,0.00418988,-3.4711e-05,0.999966,0.0082844,-0.00418974,-0.00828448,0.999957
-0.419873,-0.419873,-1.39677,0.999981,0,0.00621351,-3.86069e-05,0.999981,0.00621327,-0.00621339,-0.00621339,0.999961
-0.417849,-0.279915,-1.39603,0.999971,0,0.00765891,-3.17252e-05,0.999991,0.00414214,-0.00765884,-0.00414226,0.999962
-0.416635,-0.139958,-1.39558,0.999964,0,0.00852612,-1.76587e-05,0.999998,0.00207105,-0.00852611,-0.00207113,0.999962
-0.41623,-5.52754e-16,-1.39543,0.999961,0,0.00881519,3.48045e-18,1,-3.94809e-16,-0.00881519,3.94824e-16,0.999961
-0.416635,0.139958,-1.39558,0.999964,0,0.00852612,1.76587e-05,0.999998,-0.00207105,-0.00852611,0.00207113,0.999962
-0.417849,0.279915,-1.39603,0.999971,0,0.00765891,3.17252e-05,0.999991,-0.00414214,-0.00765884,0.00414226,0.999962
-0.419873,0.419873,-1.39677,0.999981,0,0.00621351,3.86069e-05,0.999981,-0.00621327,-0.00621339,0.00621339,0.999961
-0.422706,0.55983,-1.3978,0.999991,0,0.00418988,3.4711e-05,0.999966,-0.0082844,-0.00418974,0.00828448,0.999957
-0.426348,0.699788,-1.39911,0.999999,0,0.001588,1.64445e-05,0.999946,-0.0103555,-0.00158792,0.0103555,0.999945
-0.4308,0.839746,-1.4007,0.999999,0,-0.00159211,-1.97839e-05,0.999923,-0.0124263,0.00159198,0.0124263,0.999922
-0.436061,0.979705,-1.40257,0.999986,0,-0.00535035,-7.75625e-05,0.999895,-0.0144965,0.00534978,0.0144967,0.999881
-0.290707,-0.974984,-1.40314,0.999994,0,-0.00356693,6.3735e-05,0.99984,0.0178682,0.00356636,-0.0178683,0.999834
-0.2872,-0.8357,-1.40084,0.999999,0,-0.0010614,1.6257e-05,0.999883,0.0153164,0.00106128,-0.0153165,0.999882
-0.284232,-0.696416,-1.39888,0.999999,0,0.00105867,-1.3513e-05,0.999919,0.0127642,-0.00105858,-0.0127642,0.999918
-0.281804,-0.557132,-1.39728,0.999996,0,0.00279327,-2.85237e-05,0.999948,0.0102116,-0.00279312,-0.0102116,0.999944
-0.279915,-0.417849,-1.39603,0.999991,0,0.00414238,-3.17258e-05,0.999971,0.00765878,-0.00414226,-0.00765884,0.999962
-0.278566,-0.278566,-1.39513,0.999987,0,0.00510602,-2.60711e-05,0.999987,0.00510589,-0.00510595,-0.00510595,0.999974
-0.277756,-0.139283,-1.39459,0.999984,0,0.0056842,-1.45117e-05,0.999997,0.00255295,-0.00568418,-0.00255299,0.999981
-0.277487,-4.44125e-16,-1.39442,0.999983,0,0.00587692,1.86435e-18,1,-3.17227e-16,-0.00587692,3.17232e-16,0.999983
-0.277756,0.139283,-1.39459,0.999984,0,0.0056842,1.45117e-05,0.999997,-0.00255295,-0.00568418,0.00255299,0.999981
-0.278566,0.278566,-1.39513,0.999987,0,0.00510602,2.60711e-05,0.999987,-0.00510589,-0.00510595,0.00510595,0.999974
-0.279915,0.417849,-1.39603,0.999991,0,0.00414238,3.17258e-05,0.999971,-0.00765878,-0.00414226,0.00765884,0.999962
-0.281804,0.557132,-1.39728,0.999996,0,0.00279327,2.85237e-05,0.999948,-0.0102116,-0.00279312,0.0102116,0.999944
-0.284232,0.696416,-1.39888,0.999999,0,0.00105867,1.3513e-05,0.999919,-0.0127642,-0.00105858,0.0127642,0.999918
-0.2872,0.8357,-1.40084,0.999999,0,-0.0010614,-1.6257e-05,0.999883,-0.0153164,0.00106128,0.0153165,0.999882
-0.290707,0.974984,-1.40314,0.999994,0,-0.00356693,-6.3735e-05,0.99984,-0.0178682,0.00356636,0.0178683,0.999834
-0.145354,-0.972153,-1.40348,0.999998,0,-0.00178347,3.54751e-05,0.999802,0.019891,0.00178312,-0.019891,0.999801
-0.1436,-0.833272,-1.40091,1,0,-0.000530702,9.04868e-06,0.999855,0.0170504,0.000530625,-0.0170504,0.999854
-0.142116,-0.694393,-1.39874,1,0,0.000529335,-7.52148e-06,0.999899,0.0142093,-0.000529282,-0.0142093,0.999899
-0.140902,-0.555514,-1.39697,0.999999,0,0.00139664,-1.58767e-05,0.999935,0.0113678,-0.00139655,-0.0113678,0.999934
-0.139958,-0.416635,-1.39558,0.999998,0,0.0020712,-1.76593e-05,0.999964,0.00852609,-0.00207113,-0.00852611,0.999962
-0.139283,-0.277756,-1.39459,0.999997,0,0.00255304,-1.45119e-05,0.999984,0.00568416,-0.00255299,-0.00568418,0.999981
-0.138878,-0.138878,-1.394,0.999996,0,0.00284213,-8.07769e-06,0.999996,0.00284211,-0.00284212,-0.00284212,0.999992
-0.138743,-2.57735e-16,-1.3938,0.999996,0,0.0029385,5.40968e-19,1,-1.84096e-16,-0.0029385,1.84097e-16,0.999996
-0.138878,0.138878,-1.394,0.999996,0,0.00284213,8.07769e-06,0.999996,-0.00284211,-0.00284212,0.00284212,0.999992
-0.139283,0.277756,-1.39459,0.999997,0,0.00255304,1.45119e-05,0.999984,-0.00568416,-0.00255299,0.00568418,0.999981
-0.139958,0.416635,-1.39558,0.999998,0,0.0020712,1.76593e-05,0.999964,-0.00852609,-0.00207113,0.00852611,0.999962
-0.140902,0.555514,-1.39697,0.999999,0,0.00139664,1.58767e-05,0.999935,-0.0113678,-0.00139655,0.0113678,0.999934
-0.142116,0.694393,-1.39874,1,0,0.000529335,7.52148e-06,0.999899,-0.0142093,-0.000529282,0.0142093,0.999899
-0.1436,0.833272,-1.40091,1,0,-0.000530702,-9.04868e-06,0.999855,-0.0170504,0.000530625,0.0170504,0.999854
-0.145354,0.972153,-1.40348,0.999998,0,-0.00178347,-3.54751e-05,0.999802,-0.019891,0.00178312,0.019891,0.999801
7.90346e-16,-0.971209,-1.40359,1,0,5.64652e-16,-1.16122e-17,0.999789,0.0205652,-5.64533e-16,-0.0205652,0.999789
1.74553e-16,-0.832463,-1.40094,1,0,1.247e-16,-2.19826e-18,0.999845,0.0176283,-1.24681e-16,-0.0176283,0.999845
-1.89736e-16,-0.693718,-1.3987,1,0,-1.35541e-16,1.99122e-18,0.999892,0.014691,1.35526e-16,-0.014691,0.999892
-3.46215e-16,-0.554974,-1.39686,1,0,-2.47313e-16,2.90673e-18,0.999931,0.0117532,2.47296e-16,-0.0117532,0.999931
-3.41378e-16,-0.41623,-1.39543,1,0,-2.43851e-16,2.14959e-18,0.999961,0.00881519,2.43841e-16,-0.00881519,0.999961
-2.15877e-16,-0.277487,-1.39442,1,0,-1.54201e-16,9.06225e-19,0.999983,0.00587692,1.54198e-16,-0.00587692,0.999983
-1.59377e-17,-0.138743,-1.3938,1,0,-1.13841e-17,3.34522e-20,0.999996,0.0029385,1.13841e-17,-0.0029385,0.999996
2.14173e-16,-3.21032e-17,-1.3936,1,0,1.52981e-16,3.50799e-33,1,-2.29309e-17,-1.52981e-16,2.29309e-17,1
4.32139e-16,0.138743,-1.3938,1,0,3.08672e-16,9.07034e-19,0.999996,-0.0029385,-3.08671e-16,0.0029385,0.999996
5.90446e-16,0.277487,-1.39442,1,0,4.21755e-16,2.47862e-18,0.999983,-0.00587692,-4.21747e-16,0.00587692,0.999983
6.48111e-16,0.41623,-1.39543,1,0,4.62954e-16,4.08103e-18,0.999961,-0.00881519,-4.62936e-16,0.00881519,0.999961
5.59757e-16,0.554974,-1.39686,1,0,3.99854e-16,4.69958e-18,0.999931,-0.0117532,-3.99826e-16,0.0117532,0.999931
2.79867e-16,0.693718,-1.3987,1,0,1.99927e-16,2.93712e-18,0.999892,-0.014691,-1.99905e-16,0.014691,0.999892
-2.33718e-16,0.832463,-1.40094,1,0,-1.66967e-16,-2.94335e-18,0.999845,-0.0176283,1.66941e-16,0.0176283,0.999845
-1.02587e-15,0.971209,-1.40359,1,0,-7.32921e-16,-1.50727e-17,0.999789,-0.0205652,7.32766e-16,0.0205652,0.999789
0.145354,-0.972153,-1.40348,0.999998,0,0.00178347,-3.54751e-05,0.999802,0.019891,-0.00178312,-0.019891,0.999801
0.1436,-0.833272,-1.40091,1,0,0.000530702,-9.04868e-06,0.999855,0.0170504,-0.000530625,-0.0170504,0.999854
0.142116,-0.694393,-1.39874,1,0,-0.000529335,7.52148e-06,0.999899,0.0142093,0.000529282,-0.0142093,0.999899
0.140902,-0.555514,-1.39697,0.999999,0,-0.00139664,1.58767e-05,0.999935,0.0113678,0.00139655,-0.0113678,0.999934
0.139958,-0.416635,-1.39558,0.999998,0,-0.0020712,1.76593e-05,0.999964,0.00852609,0.00207113,-0.00852611,0.999962
0.139283,-0.277756,-1.39459,0.999997,0,-0.00255304,1.45119e-05,0.999984,0.00568416,0.00255299,-0.00568418,0.999981
0.138878,-0.138878,-1.394,0.999996,0,-0.00284213,8.07769e-06,0.999996,0.00284211,0.00284212,-0.00284212,0.999992
0.138743,1.90949e-16,-1.3938,0.999996,0,-0.0029385,4.00788e-19,1,1.36391e-16,0.0029385,-1.36392e-16,0.999996
0.138878,0.138878,-1.394,0.999996,0,-0.00284213,-8.07769e-06,0.999996,-0.00284211,0.00284212,0.00284212,0.999992
0.139283,0.277756,-1.39459,0.999997,0,-0.00255304,-1.45119e-05,0.999984,-0.00568416,0.00255299,0.00568418,0.999981
0.139958,0.416635,-1.39558,0.999998,0,-0.0020712,-1.76593e-05,0.999964,-0.00852609,0.00207113,0.00852611,0.999962
0.140902,0.555514,-1.39697,0.999999,0,-0.00139664,-1.58767e-05,0.999935,-0.0113678,0.00139655,0.0113678,0.999934
0.142116,0.694393,-1.39874,1,0,-0.000529335,-7.52148e-06,0.999899,-0.0142093,0.000529282,0.0142093,0.999899
0.1436,0.833272,-1.40091,1,0,0.000530702,9.04868e-06,0.999855,-0.0170504,-0.000530625,0.0170504,0.999854
0.145354,0.972153,-1.40348,0.999998,0,0.00178347,3.54751e-05,0.999802,-0.019891,-0.00178312,0.019891,0.999801
0.290707,-0.974984,-1.40314,0.999994,0,0.00356693,-6.3735e-05,0.99984,0.0178682,-0.00356636,-0.0178683,0.999834
0.2872,-0.8357,-1.40084,0.999999,0,0.0010614,-1.6257e-05,0.999883,0.0153164,-0.00106128,-0.0153165,0.999882
0.284232,-0.696416,-1.39888,0.999999,0,-0.00105867,1.3513e-05,0.999919,0.0127642,0.00105858,-0.0127642,0.999918
0.281804,-0.557132,-1.39728,0.999996,0,-0.00279327,2.85237e-05,0.999948,0.0102116,0.00279312,-0.0102116,0.999944
0.279915,-0.417849,-1.39603,0.999991,0,-0.00414238,3.17258e-05,0.999971,0.00765878,0.00414226,-0.00765884,0.999962
0.278566,-0.278566,-1.39513,0.999987,0,-0.00510602,2.60711e-05,0.999987,0.00510589,0.00510595,-0.00510595,0.999974
0.277756,-0.139283,-1.39459,0.999984,0,-0.0056842,1.45117e-05,0.999997,0.00255295,0.00568418,-0.00255299,0.999981
0.277487,3.69902e-16,-1.39442,0.999983,0,-0.00587692,1.55277e-18,1,2.64211e-16,0.00587692,-2.64216e-16,0.999983
0.277756,0.139283,-1.39459,0.999984,0,-0.0056842,-1.45117e-05,0.999997,-0.00255295,0.00568418,0.00255299,0.999981
0.278566,0.278566,-1.39513,0.999987,0,-0.00510602,-2.60711e-05,0.999987,-0.00510589,0.00510595,0.00510595,0.999974
0.279915,0.417849,-1.39603,0.999991,0,-0.00414238,-3.17258e-05,0.999971,-0.00765878,0.00414226,0.00765884,0.999962
0.281804,0.557132,-1.39728,0.999996,0,-0.00279327,-2.85237e-05,0.999948,-0.0102116,0.00279312,0.0102116,0.999944
0.284232,0.696416,-1.39888,0.999999,0,-0.00105867,-1.3513e-05,0.999919,-0.0127642,0.00105858,0.0127642,0.999918
0.2872,0.8357,-1.40084,0.999999,0,0.0010614,1.6257e-05,0.999883,-0.0153164,-0.00106128,0.0153165,0.999882
0.290707,0.974984,-1.40314,0.999994,0,0.00356693,6.3735e-05,0.99984,-0.0178682,-0.00356636,0.0178683,0.999834
0.436061,-0.979705,-1.40257,0.999986,0,0.00535035,-7.75625e-05,0.999895,0.0144965,-0.00534978,-0.0144967,0.999881
0.4308,-0.839746,-1.4007,0.999999,0,0.00159211,-1.97839e-05,0.999923,0.0124263,-0.00159198,-0.0124263,0.999922
0.426348,-0.699788,-1.39911,0.999999,0,-0.001588,1.64445e-05,0.999946,0.0103555,0.00158792,-0.0103555,0.999945
0.422706,-0.55983,-1.3978,0.999991,0,-0.00418988,3.4711e-05,0.999966,0.0082844,0.00418974,-0.00828448,0.999957
0.419873,-0.419873,-1.39677,0.999981,0,-0.00621351,3.86069e-05,0.999981,0.00621327,0.00621339,-0.00621339,0.999961
0.417849,-0.279915,-1.39603,0.999971,0,-0.00765891,3.17252e-05,0.999991,0.00414214,0.00765884,-0.00414226,0.999962
0.416635,-0.139958,-1.39558,0.999964,0,-0.00852612,1.76587e-05,0.999998,0.00207105,0.00852611,-0.00207113,0.999962
0.41623,4.65668e-16,-1.39543,0.999961,0,-0.00881519,2.93211e-18,1,3.32607e-16,0.00881519,-3.3262e-16,0.999961
0.416635,0.139958,-1.39558,0.999964,0,-0.00852612,-1.76587e-05,0.999998,-0.00207105,0.00852611,0.00207113,0.999962
0.417849,0.279915,-1.39603,0.999971,0,-0.00765891,-3.17252e-05,0.999991,-0.00414214,0.00765884,0.00414226,0.999962
