x,y,z,tau1_x,tau1_y,tau1_z,tau2_x,tau2_y,tau2_z,normal_x,normal_y,normal_z
-0.982525,-0.982525,1.40214,0.999922,0,-0.0124833,-0.000155822,0.999922,-0.0124814,0.0124824,0.0124824,0.999844
-0.994799,-0.842163,1.40061,0.999993,0,-0.00371489,-3.97499e-05,0.999943,-0.0107001,0.00371468,0.0107002,0.999936
-1.00519,-0.701802,1.39923,0.999993,0,0.00370532,3.30402e-05,0.99996,-0.00891689,-0.00370517,0.00891696,0.999953
-1.01369,-0.561442,1.39805,0.999952,0,0.00977601,6.97359e-05,0.999975,-0.00713303,-0.00977576,0.00713337,0.999927
-1.0203,-0.421082,1.39709,0.999895,0,0.0144969,7.75555e-05,0.999986,-0.00534922,-0.0144967,0.00534978,0.999881
-1.02502,-0.280721,1.39639,0.99984,0,0.0178685,6.37253e-05,0.999994,-0.00356579,-0.0178683,0.00356636,0.999834
-1.02785,-0.140361,1.39596,0.999802,0,0.0198911,3.54681e-05,0.999998,-0.00178277,-0.019891,0.00178312,0.999801
-1.02879,-6.19772e-16,1.39582,0.999789,0,0.0205652,-9.10412e-18,1,4.42601e-16,-0.0205652,-4.42695e-16,0.999789
-1.02785,0.140361,1.39596,0.999802,0,0.0198911,-3.54681e-05,0.999998,0.00178277,-0.019891,-0.00178312,0.999801
-1.02502,0.280721,1.39639,0.99984,0,0.0178685,-6.37253e-05,0.999994,0.00356579,-0.0178683,-0.00356636,0.999834
-1.0203,0.421082,1.39709,0.999895,0,0.0144969,-7.75555e-05,0.999986,0.00534922,-0.0144967,-0.00534978,0.999881
-1.01369,0.561442,1.39805,0.999952,0,0.00977601,-6.97359e-05,0.999975,0.00713303,-0.00977576,-0.00713337,0.999927
-1.00519,0.701802,1.39923,0.999993,0,0.00370532,-3.30402e-05,0.99996,0.00891689,-0.00370517,-0.00891696,0.999953
-0.994799,0.842163,1.40061,0.999993,0,-0.00371489,3.97499e-05,0.999943,0.0107001,0.00371468,-0.0107002,0.999936
-0.982525,0.982525,1.40214,0.999922,0,-0.0124833,0.000155822,0.999922,0.0124814,0.0124824,-0.0124824,0.999844
-0.842163,-0.994799,1.40061,0.999943,0,-0.0107002,-3.97479e-05,0.999993,-0.00371447,0.0107002,0.00371468,0.999936
-0.852685,-0.852685,1.40019,0.999995,0,-0.0031842,-1.01391e-05,0.999995,-0.00318417,0.00318418,0.00318418,0.99999
-0.861589,-0.710571,1.39978,0.999995,0,0.003176,8.42747e-06,0.999996,-0.00265348,-0.00317598,0.00265349,0.999991
-0.868874,-0.568457,1.3994,0.999965,0,0.00837954,1.77875e-05,0.999998,-0.00212266,-0.00837952,0.00212273,0.999963
-0.87454,-0.426343,1.39908,0.999923,0,0.0124263,1.97824e-05,0.999999,-0.00159186,-0.0124263,0.00159198,0.999922
-0.878586,-0.284228,1.39883,0.999883,0,0.0153165,1.62551e-05,0.999999,-0.00106116,-0.0153165,0.00106128,0.999882
-0.881013,-0.142114,1.39868,0.999855,0,0.0170504,9.04737e-06,1,-0.000530548,-0.0170504,0.000530625,0.999854
-0.881823,-5.07493e-18,1.39863,0.999845,0,0.0176283,-6.39018e-20,1,3.62439e-18,-0.0176283,-3.62495e-18,0.999845
-0.881013,0.142114,1.39868,0.999855,0,0.0170504,-9.04737e-06,1,0.000530548,-0.0170504,-0.000530625,0.999854
-0.878586,0.284228,1.39883,0.999883,0,0.0153165,-1.62551e-05,0.999999,0.00106116,-0.0153165,-0.00106128,0.999882
-0.87454,0.426343,1.39908,0.999923,0,0.0124263,-1.97824e-05,0.999999,0.00159186,-0.0124263,-0.00159198,0.999922
-0.868874,0.568457,1.3994,0.999965,0,0.00837954,-1.77875e-05,0.999998,0.00212266,-0.00837952,-0.00212273,0.999963
-0.861589,0.710571,1.39978,0.999995,0,0.003176,-8.42747e-06,0.999996,0.00265348,-0.00317598,-0.00265349,0.999991
-0.852685,0.852685,1.40019,0.999995,0,-0.0031842,1.01391e-05,0.999995,0.00318417,0.00318418,-0.00318418,0.99999
-0.842163,0.994799,1.40061,0.999943,0,-0.0107002,3.97479e-05,0.999993,0.00371447,0.0107002,-0.00371468,0.999936
-0.701802,-1.00519,1.39923,0.99996,0,-0.00891702,3.30391e-05,0.999993,0.00370503,0.00891696,-0.00370517,0.999953
-0.710571,-0.861589,1.39978,0.999996,0,-0.0026535,8.42748e-06,0.999995,0.00317597,0.00265349,-0.00317598,0.999991
-0.717991,-0.717991,1.4002,0.999996,0,0.00264667,-7.00482e-06,0.999996,0.00264665,-0.00264666,-0.00264666,0.999993
-0.724062,-0.574393,1.40051,0.999976,0,0.00698302,-1.47851e-05,0.999998,0.00211723,-0.00698301,-0.00211729,0.999973
-0.728783,-0.430795,1.40074,0.999946,0,0.0103555,-1.64437e-05,0.999999,0.00158783,-0.0103555,-0.00158792,0.999945
-0.732156,-0.287196,1.40089,0.999919,0,0.0127642,-1.3512e-05,0.999999,0.0010585,-0.0127642,-0.00105858,0.999918
-0.734179,-0.143598,1.40097,0.999899,0,0.0142093,-7.52072e-06,1,0.000529228,-0.0142093,-0.000529282,0.999899
-0.734853,3.68497e-16,1.401,0.999892,0,0.014691,3.86685e-18,1,-2.63184e-16,-0.014691,2.63212e-16,0.999892
-0.734179,0.143598,1.40097,0.999899,0,0.0142093,7.52072e-06,1,-0.000529228,-0.0142093,0.000529282,0.999899
-0.732156,0.287196,1.40089,0.999919,0,0.0127642,1.3512e-05,0.999999,-0.0010585,-0.0127642,0.00105858,0.999918
-0.728783,0.430795,1.40074,0.999946,0,0.0103555,1.64437e-05,0.999999,-0.00158783,-0.0103555,0.00158792,0.999945
-0.724062,0.574393,1.40051,0.999976,0,0.00698302,1.47851e-05,0.999998,-0.00211723,-0.00698301,0.00211729,0.999973
-0.717991,0.717991,1.4002,0.999996,0,0.00264667,7.00482e-06,0.999996,-0.00264665,-0.00264666,0.00264666,0.999993
-0.710571,0.861589,1.39978,0.999996,0,-0.0026535,-8.42748e-06,0.999995,-0.00317597,0.00265349,0.00317598,0.999991
-0.701802,1.00519,1.39923,0.99996,0,-0.00891702,-3.30391e-05,0.999993,-0.00370503,0.00891696,0.00370517,0.999953
-0.561442,-1.01369,1.39805,0.999975,0,-0.00713372,6.97375e-05,0.999952,0.00977551,0.00713337,-0.00977576,0.999927
-0.568457,-0.868874,1.3994,0.999998,0,-0.0021228,1.77881e-05,0.999965,0.0083795,0.00212273,-0.00837952,0.999963
-0.574393,-0.724062,1.40051,0.999998,0,0.00211734,-1.47854e-05,0.999976,0.00698299,-0.00211729,-0.00698301,0.999973
-0.57925,-0.57925,1.4014,0.999984,0,0.00558647,-3.12081e-05,0.999984,0.00558629,-0.00558638,-0.00558638,0.999969
-0.583027,-0.434437,1.40208,0.999966,0,0.00828455,-3.47101e-05,0.999991,0.00418959,-0.00828448,-0.00418974,0.999957
-0.585725,-0.289625,1.40256,0.999948,0,0.0102116,-2.85224e-05,0.999996,0.00279298,-0.0102116,-0.00279312,0.999944
-0.587344,-0.144812,1.40285,0.999935,0,0.0113678,-1.58757e-05,0.999999,0.00139646,-0.0113678,-0.00139655,0.999934
-0.587883,5.41591e-16,1.40295,0.999931,0,0.0117532,4.54675e-18,1,-3.86824e-16,-0.0117532,3.8685e-16,0.999931
-0.587344,0.144812,1.40285,0.999935,0,0.0113678,1.58757e-05,0.999999,-0.00139646,-0.0113678,0.00139655,0.999934
-0.585725,0.289625,1.40256,0.999948,0,0.0102116,2.85224e-05,0.999996,-0.00279298,-0.0102116,0.00279312,0.999944
-0.583027,0.434437,1.40208,0.999966,0,0.00828455,3.47101e-05,0.999991,-0.00418959,-0.00828448,0.00418974,0.999957
-0.57925,0.57925,1.4014,0.999984,0,0.00558647,3.12081e-05,0.999984,-0.00558629,-0.00558638,0.00558638,0.999969
-0.574393,0.724062,1.40051,0.999998,0,0.00211734,1.47854e-05,0.999976,-0.00698299,-0.00211729,0.00698301,0.999973
-0.568457,0.868874,1.3994,0.999998,0,-0.0021228,-1.77881e-05,0.999965,-0.0083795,0.00212273,0.00837952,0.999963
-0.561442,1.01369,1.39805,0.999975,0,-0.00713372,-6.97375e-05,0.999952,-0.00977551,0.00713337,0.00977576,0.999927
-0.421082,-1.0203,1.39709,0.999986,0,-0.00535035,7.75625e-05,0.999895,0.0144965,0.00534978,-0.0144967,0.999881
-0.426343,-0.87454,1.39908,0.999999,0,-0.00159211,1.97839e-05,0.999923,0.0124263,0.00159198,-0.0124263,0.999922
-0.430795,-0.728783,1.40074,0.999999,0,0.001588,-1.64445e-05,0.999946,0.0103555,-0.00158792,-0.0103555,0.999945
-0.434437,-0.583027,1.40208,0.999991,0,0.00418988,-3.4711e-05,0.999966,0.0082844,-0.00418974,-0.00828448,0.999957
-0.43727,-0.43727,1.40313,0.999981,0,0.00621351,-3.86069e-05,0.999981,0.00621327,-0.00621339,-0.00621339,0.999961
-0.439294,-0.291513,1.40387,0.999971,0,0.00765891,-3.17252e-05,0.999991,0.00414214,-0.00765884,-0.00414226,0.999962
-0.440508,-0.145757,1.40431,0.999964,0,0.00852612,-1.76587e-05,0.999998,0.00207105,-0.00852611,-0.00207113,0.999962
