x,y,z,tau1_x,tau1_y,tau1_z,tau2_x,tau2_y,tau2_z,normal_x,normal_y,normal_z
-0.35,-0.35,0.999662,0.999904,0,0.0138737,6.32078e-05,0.99999,-0.00455551,-0.0138735,0.00455595,0.999893
-0.35,-0.286364,0.999705,0.999927,0,0.0121203,-6.05062e-05,0.999988,0.00499176,-0.0121202,-0.00499213,0.999914
-0.35,-0.222727,1.00018,0.999972,0,-0.00749032,6.82097e-05,0.999959,0.00910612,0.00749001,-0.00910638,0.99993
-0.35,-0.159091,1.00075,0.999527,0,-0.0307399,0.000239249,0.99997,0.00777932,0.030739,-0.007783,0.999497
-0.35,-0.0954545,1.00106,0.999057,0,-0.0434238,4.47831e-05,0.999999,0.00103033,0.0434238,-0.0010313,0.999056
-0.35,-0.0318182,1.00076,0.999507,0,-0.0314004,-0.000350137,0.999938,-0.0111452,0.0313984,0.0111507,0.999445
-0.35,0.0318182,0.999523,0.999808,0,0.0195943,0.000563595,0.999586,-0.0287577,-0.0195862,0.0287632,0.999394
-0.35,0.0954545,0.996987,0.992426,0,0.122845,0.00631158,0.998679,-0.0509892,-0.122683,0.0513783,0.991115
-0.35,0.159091,0.99281,0.959047,0,0.283249,0.0217575,0.997045,-0.0736684,-0.282412,0.0768143,0.956213
-0.35,0.222727,0.986647,0.876775,0,0.4809,0.0479364,0.995019,-0.0873975,-0.478505,0.0996806,0.872409
-0.35,0.286364,0.978153,0.744249,0,0.667903,0.0758685,0.993527,-0.0845408,-0.66358,0.113592,0.739431
-0.35,0.35,0.96698,0.593425,0,0.804889,0.0941222,0.993139,-0.0693941,-0.799367,0.116938,0.589354
-0.286364,-0.35,1.00038,0.99996,0,0.00889323,-4.5872e-05,0.999987,0.00515787,-0.00889311,-0.00515808,0.999947
-0.286364,-0.286364,1.00033,0.99997,0,0.00776919,4.39101e-05,0.999984,-0.00565165,-0.00776907,0.00565182,0.999954
-0.286364,-0.222727,0.999794,0.999988,0,-0.00480121,-4.94976e-05,0.999947,-0.0103093,0.00480096,0.0103094,0.999935
-0.286364,-0.159091,0.999152,0.999806,0,-0.0197091,-0.000173707,0.999961,-0.00881181,0.0197083,0.00881352,0.999767
-0.286364,-0.0954545,0.998802,0.999612,0,-0.0278492,-3.25331e-05,0.999999,-0.00116774,0.0278492,0.00116819,0.999611
-0.286364,-0.0318182,0.999134,0.999797,0,-0.0201328,0.000254221,0.99992,0.0126246,0.0201312,-0.0126272,0.999718
-0.286364,0.0318182,1.00054,0.999921,0,0.0125609,-0.000409019,0.99947,0.0325602,-0.0125543,-0.0325627,0.999391
-0.286364,0.0954545,1.00341,0.996867,0,0.0790935,-0.00461931,0.998293,0.0582202,-0.0789585,-0.0584032,0.995166
-0.286364,0.159091,1.00814,0.982549,0,0.186005,-0.0165548,0.996031,0.0874487,-0.185267,-0.0890019,0.978649
-0.286364,0.222727,1.01512,0.943396,0,0.331668,-0.0401758,0.992636,0.114276,-0.329226,-0.121132,0.936449
-0.286364,0.286364,1.02473,0.866822,0,0.498618,-0.0743283,0.988827,0.129216,-0.493047,-0.149068,0.857137
-0.286364,0.35,1.03738,0.754672,0,0.656102,-0.109659,0.985934,0.126133,-0.646873,-0.167136,0.744057
-0.222727,-0.35,1.00081,0.999989,0,0.00471675,-5.16089e-05,0.99994,0.0109415,-0.00471647,-0.0109416,0.999929
-0.222727,-0.286364,1.00071,0.999992,0,0.00412056,4.94006e-05,0.999928,-0.0119887,-0.00412026,0.0119888,0.99992
-0.222727,-0.222727,0.999562,0.999997,0,-0.00254639,-5.5678e-05,0.999761,-0.0218654,0.00254579,0.0218654,0.999758
-0.222727,-0.159091,0.998202,0.999945,0,-0.0104544,-0.000195457,0.999825,-0.0186952,0.0104526,0.0186962,0.999771
-0.222727,-0.0954545,0.997459,0.999891,0,-0.0147742,-3.66218e-05,0.999997,-0.00247849,0.0147742,0.00247876,0.999888
-0.222727,-0.0318182,0.998163,0.999943,0,-0.0106792,0.000286015,0.999641,0.0267809,0.0106754,-0.0267825,0.999584
-0.222727,0.0318182,1.00115,0.999978,0,0.0066622,-0.000459368,0.99762,0.0689499,-0.00664635,-0.0689514,0.997598
-0.222727,0.0954545,1.00724,0.999116,0,0.0420427,-0.00518938,0.992353,0.123322,-0.0417212,-0.123431,0.991476
-0.222727,0.159091,1.01727,0.994998,0,0.0998998,-0.0188323,0.982071,0.187569,-0.0981087,-0.188512,0.977158
-0.222727,0.222727,1.03207,0.983057,0,0.183299,-0.0477381,0.96549,0.256026,-0.176973,-0.260438,0.949132
-0.222727,0.286364,1.05247,0.956479,0,0.2918,-0.0970992,0.943012,0.318278,-0.275171,-0.33276,0.901971
-0.222727,0.35,1.0793,0.908115,0,0.418721,-0.166289,0.917761,0.360643,-0.384286,-0.397134,0.833432
-0.159091,-0.35,1.001,0.999999,0,0.00134468,-1.81333e-05,0.999909,0.0134852,-0.00134456,-0.0134852,0.999908
-0.159091,-0.286364,1.00087,0.999999,0,0.00117471,1.73571e-05,0.999891,-0.0147757,-0.00117458,0.0147757,0.99989
-0.159091,-0.222727,0.99946,1,0,-0.000725935,-1.95609e-05,0.999637,-0.0269457,0.000725672,0.0269457,0.999637
-0.159091,-0.159091,0.997784,0.999996,0,-0.00298052,-6.86771e-05,0.999734,-0.0230419,0.00297972,0.023042,0.99973
-0.159091,-0.0954545,0.996868,0.999991,0,-0.0042123,-1.28701e-05,0.999995,-0.00305534,0.00421228,0.00305536,0.999986
-0.159091,-0.0318182,0.997736,0.999995,0,-0.00304462,0.000100487,0.999455,0.0330047,0.00304296,-0.0330048,0.999451
-0.159091,0.0318182,1.00141,0.999998,0,0.00189932,-0.000161213,0.996391,0.0848791,-0.00189246,-0.0848793,0.996389
-0.159091,0.0954545,1.00892,0.999928,0,0.0119954,-0.00181911,0.988434,0.15164,-0.0118567,-0.151651,0.988363
-0.159091,0.159091,1.02128,0.999591,0,0.0286112,-0.00661583,0.972899,0.231138,-0.0278358,-0.231233,0.9725
-0.159091,0.222727,1.03952,0.99859,0,0.053081,-0.0169839,0.947431,0.31951,-0.0502906,-0.319961,0.946095
-0.159091,0.286364,1.06467,0.996239,0,0.0866451,-0.0357521,0.9109,0.411075,-0.0789251,-0.412627,0.907475
-0.159091,0.35,1.09773,0.991471,0,0.130327,-0.0655796,0.864175,0.4989,-0.112625,-0.503192,0.856804
-0.0954545,-0.35,1.001,0.999999,0,-0.00122279,1.64832e-05,0.999909,0.01348,0.00122268,-0.01348,0.999908
-0.0954545,-0.286364,1.00087,0.999999,0,-0.00106823,-1.57777e-05,0.999891,-0.0147699,0.00106811,0.0147699,0.99989
-0.0954545,-0.222727,0.99946,1,0,0.000660133,1.77809e-05,0.999637,-0.0269353,-0.000659894,0.0269353,0.999637
-0.0954545,-0.159091,0.997785,0.999996,0,0.00271035,6.24277e-05,0.999735,-0.023033,-0.00270963,0.0230331,0.999731
-0.0954545,-0.0954545,0.996869,0.999993,0,0.00383048,1.1699e-05,0.999995,-0.00305416,-0.00383047,0.00305418,0.999988
-0.0954545,-0.0318182,0.997737,0.999996,0,0.00276864,-9.13431e-05,0.999456,0.0329919,-0.00276713,-0.032992,0.999452
-0.0954545,0.0318182,1.00141,0.999999,0,-0.00172716,0.000146543,0.996394,0.0848464,0.00172093,-0.0848465,0.996393
-0.0954545,0.0954545,1.00892,0.999941,0,-0.0109082,0.00165363,0.988443,0.151586,0.0107821,-0.151595,0.988384
-0.0954545,0.159091,1.02127,0.999661,0,-0.0260196,0.00601476,0.972915,0.231085,0.0253148,-0.231163,0.972586
-0.0954545,0.222727,1.03951,0.998834,0,-0.0482813,0.0154461,0.947445,0.319547,0.0457438,-0.31992,0.94634
-0.0954545,0.286364,1.06464,0.996887,0,-0.0788424,0.0325395,0.91086,0.411431,0.0718144,-0.412716,0.908024
-0.0954545,0.35,1.0977,0.992932,0,-0.118688,0.0597713,0.863938,0.500039,0.102539,-0.503599,0.857831
-0.0318182,-0.35,1.00086,0.999996,0,-0.0029856,3.46823e-05,0.999933,0.0116165,0.00298539,-0.0116166,0.999928
-0.0318182,-0.286364,1.00075,0.999997,0,-0.00260822,-3.31981e-05,0.999919,-0.0127282,0.002608,0.0127283,0.999916
-0.0318182,-0.222727,0.999535,0.999999,0,0.0016118,3.74156e-05,0.999731,-0.0232135,-0.00161137,0.0232135,0.999729
-0.0318182,-0.159091,0.998091,0.999978,0,0.00661756,0.000131356,0.999803,-0.0198492,-0.00661626,0.0198497,0.999781
-0.0318182,-0.0954545,0.997302,0.999956,0,0.0093523,2.46137e-05,0.999997,-0.00263172,-0.00935226,0.00263184,0.999953
-0.0318182,-0.0318182,0.99805,0.999977,0,0.00675988,-0.000192212,0.999596,0.0284336,-0.00675714,-0.0284342,0.999573
-0.0318182,0.0318182,1.00122,0.999991,0,-0.00421705,0.000308619,0.997318,0.0731829,0.00420574,-0.0731835,0.99731
-0.0318182,0.0954545,1.00768,0.999645,0,-0.026626,0.00348765,0.991384,0.13094,0.0263966,-0.130987,0.991033
-0.0318182,0.159091,1.01833,0.997987,0,-0.0634238,0.0127016,0.979742,0.199862,0.0621389,-0.200266,0.977769
-0.0318182,0.222727,1.03405,0.993107,0,-0.117209,0.0325744,0.960605,0.276001,0.112592,-0.277917,0.953984
-0.0318182,0.286364,1.0557,0.981861,0,-0.189603,0.0680575,0.933358,0.352437,0.176967,-0.358948,0.916427
-0.0318182,0.35,1.08419,0.959951,0,-0.280168,0.122391,0.899535,0.419353,0.252021,-0.436848,0.86351
0.0318182,-0.35,1.00064,0.999992,0,-0.00394374,3.38583e-05,0.999963,0.00858527,0.0039436,-0.00858534,0.999955
0.0318182,-0.286364,1.00056,0.999994,0,-0.00344525,-3.24096e-05,0.999956,-0.00940697,0.0034451,0.00940703,0.99995
0.0318182,-0.222727,0.999656,0.999998,0,0.00212907,3.65302e-05,0.999853,-0.0171578,-0.00212876,0.0171578,0.999851
0.0318182,-0.159091,0.998589,0.999962,0,0.00874117,0.00012824,0.999892,-0.0146702,-0.00874023,0.0146708,0.999854
0.0318182,-0.0954545,0.998006,0.999924,0,0.0123533,2.40268e-05,0.999998,-0.00194483,-0.0123533,0.00194497,0.999922
0.0318182,-0.0318182,0.998559,0.99996,0,0.00892915,-0.000187669,0.999779,0.0210167,-0.00892718,-0.0210175,0.999739
0.0318182,0.0318182,1.0009,0.999984,0,-0.00557038,0.000301642,0.998533,0.0541502,0.0055622,-0.0541511,0.998517
0.0318182,0.0954545,1.00568,0.999382,0,-0.0351617,0.00341624,0.995269,0.097098,0.0349954,-0.0971581,0.994654
0.0318182,0.159091,1.01355,0.996495,0,-0.083653,0.012477,0.988814,0.148629,0.0827173,-0.149152,0.985348
0.0318182,0.222727,1.02516,0.988065,0,-0.154039,0.0320514,0.978113,0.20559,0.150667,-0.208073,0.966439
0.0318182,0.286364,1.04117,0.968974,0,-0.247164,0.0667505,0.962842,0.261686,0.23798,-0.270065,0.932969
0.0318182,0.35,1.06222,0.933062,0,-0.359715,0.118485,0.944196,0.307337,0.339642,-0.329385,0.880993
0.0954545,-0.35,1.00038,0.999992,0,-0.00409725,2.08009e-05,0.999987,0.00507677,0.00409719,-0.00507681,0.999979
0.0954545,-0.286364,1.00033,0.999994,0,-0.00357936,-1.9911e-05,0.999985,-0.0055627,0.0035793,0.00556273,0.999978
0.0954545,-0.222727,0.999797,0.999998,0,0.00221194,2.2444e-05,0.999949,-0.0101467,-0.00221183,0.0101467,0.999946
0.0954545,-0.159091,0.999166,0.999959,0,0.00908139,7.87876e-05,0.999962,-0.00867537,-0.00908105,0.00867572,0.999921
0.0954545,-0.0954545,0.998821,0.999918,0,0.0128341,1.47604e-05,0.999999,-0.00115,-0.0128341,0.0011501,0.999917
0.0954545,-0.0318182,0.999148,0.999957,0,0.00927669,-0.000115308,0.999923,0.0124293,-0.00927597,-0.0124299,0.99988
0.0954545,0.0318182,1.00053,0.999983,0,-0.0057872,0.000185487,0.999486,0.0320507,0.00578422,-0.0320512,0.999469
0.0954545,0.0954545,1.00336,0.999333,0,-0.0365286,0.00210499,0.998338,0.0575875,0.0364679,-0.057626,0.997672
