x,y,z,tau1_x,tau1_y,tau1_z,tau2_x,tau2_y,tau2_z,normal_x,normal_y,normal_z
-0.349153,-0.350278,0.938622,0.999904,0,0.0138737,6.32078e-05,0.99999,-0.00455551,-0.0138735,0.00455595,0.999893
-0.349866,-0.249511,0.938902,0.999998,0,0.00219002,-1.75395e-05,0.999968,0.00800883,-0.00218995,-0.00800885,0.999966
-0.352047,-0.149563,0.939806,0.999438,0,-0.0335288,0.000239748,0.999974,0.00714647,0.033528,-0.00715049,0.999412
-0.352331,-0.0504343,0.93993,0.999271,0,-0.0381854,-0.000271665,0.999975,-0.00710918,0.0381844,0.00711437,0.999245
-0.34736,0.047878,0.937993,0.999063,0,0.0432777,0.00150436,0.999396,-0.034728,-0.0432516,0.0347605,0.998459
-0.33434,0.145533,0.934686,0.966354,0,0.257216,0.0188224,0.997319,-0.0707151,-0.256526,0.0731772,0.963763
-0.315683,0.243469,0.933249,0.824822,0,0.565392,0.060492,0.99426,-0.0882486,-0.562147,0.106991,0.820088
-0.301201,0.342861,0.931002,0.593425,0,0.804889,0.0941222,0.993139,-0.0693941,-0.799367,0.116938,0.589354
-0.249609,-0.349457,0.939617,0.999979,0,0.00640819,-5.70329e-05,0.99996,0.00889982,-0.00640794,-0.0089,0.99994
-0.249938,-0.250955,0.939065,0.999999,0,0.00101149,1.58228e-05,0.999878,-0.0156431,-0.00101136,0.0156431,0.999877
-0.250946,-0.150853,0.937371,0.99988,0,-0.0154925,-0.000216475,0.999902,-0.0139712,0.015491,0.0139729,0.999782
-0.251077,-0.0491512,0.937152,0.999844,0,-0.0176464,0.000245359,0.999903,0.013902,0.0176447,-0.0139042,0.999748
-0.248782,0.0541411,0.941166,0.9998,0,0.020003,-0.00135692,0.997697,0.0678221,-0.0199569,-0.0678357,0.997497
-0.242631,0.158891,0.952713,0.992528,0,0.122016,-0.0177705,0.989338,0.144553,-0.120715,-0.145641,0.981945
-0.232095,0.264413,0.976043,0.953363,0,0.301827,-0.0712592,0.971731,0.225082,-0.293295,-0.236092,0.926412
-0.21921,0.36905,1.01535,0.847449,0,0.530877,-0.165665,0.950063,0.264454,-0.504367,-0.312059,0.805129
-0.149943,-0.349168,0.939969,1,0,0.000928633,-1.26521e-05,0.999907,0.0136244,-0.000928547,-0.0136244,0.999907
-0.149991,-0.251462,0.93913,1,0,0.000146575,3.50956e-06,0.999713,-0.0239438,-0.000146533,0.0239438,0.999713
-0.150137,-0.151306,0.936525,0.999997,0,-0.00224529,-4.80281e-05,0.999771,-0.0213906,0.00224478,0.0213906,0.999769
