x,y,z,tau1_x,tau1_y,tau1_z,tau2_x,tau2_y,tau2_z,normal_x,normal_y,normal_z
-1,-1,-0.000275799,0.996816,0,-0.0797327,-0.0066618,0.996503,-0.0832857,0.0794539,0.0835517,0.993331
-1,-0.9,-0.000455,0.996872,0,0.0790272,-0.00428259,0.998531,0.0540219,-0.078911,-0.0541914,0.995408
-1,-0.8,0.00546811,0.907477,0,-0.420101,0.0167702,0.999203,0.036226,0.419766,-0.0399194,0.906754
-1,-0.7,0.00803703,0.829264,0,-0.558857,0.00498656,0.99996,0.00739935,0.558835,-0.00892279,0.829231
-1,-0.6,0.00800799,0.873315,0,-0.487155,-0.00420004,0.999963,-0.00752935,0.487137,0.00862156,0.873283
-1,-0.5,0.00633339,0.938879,0,-0.344248,-0.00726252,0.999777,-0.0198073,0.344172,0.0210967,0.93867
-1,-0.4,0.0037391,0.983327,0,-0.181844,-0.00505491,0.999614,-0.0273346,0.181774,0.027798,0.982947
-1,-0.3,0.0009034,0.999567,0,-0.0294097,-0.000802336,0.999628,-0.0272695,0.0293988,0.0272813,0.999195
-1,-0.2,-0.0014955,0.996561,0,0.0828653,0.00161367,0.99981,-0.0194064,-0.0828496,0.0194734,0.996372
-1,-0.1,-0.00279604,0.990787,0,0.135426,0.000822951,0.999982,-0.00602078,-0.135423,0.00607676,0.990769
-1,0,-0.00284806,0.991221,0,0.132212,-0.000563039,0.999991,0.00422122,-0.132211,-0.0042586,0.991212
-1,0.1,-0.00209611,0.995353,0,0.0962976,-0.000953269,0.999951,0.00985319,-0.0962929,-0.00989919,0.995304
-1,0.2,-0.00101822,0.998678,0,0.0514097,-0.000555242,0.999942,0.010786,-0.0514067,-0.0108003,0.998619
-1,0.3,-7.39002e-05,0.999793,0,0.020362,-0.000162259,0.999968,0.00796708,-0.0203614,-0.00796873,0.999761
-1,0.4,0.000664454,0.999906,0,-0.0137351,0.000100411,0.999973,0.00730989,0.0137347,-0.00731058,0.999879
-1,0.5,0.00122896,0.996432,0,-0.0844015,-6.82228e-05,1,-0.000805429,0.0844015,0.000808313,0.996432
-1,0.6,-0.000439476,0.999052,0,-0.0435227,-0.00125515,0.999584,-0.0288117,0.0435046,0.028839,0.998637
-1,0.7,-0.00172638,0.95845,0,0.285262,-0.00518103,0.999835,0.0174077,-0.285215,-0.0181624,0.958292
-1,0.8,0.0065136,0.685177,0,0.728376,-0.0801884,0.993921,0.0754325,-0.723949,-0.110092,0.681012
-1,0.9,0.023155,0.453469,0,0.891272,-0.0293415,0.999458,0.0149286,-0.890789,-0.032921,0.453223
-1,1,0.00129236,0.72228,0,0.691601,0.278325,0.915449,-0.290671,-0.633125,0.402435,0.66121
-0.9,-1,-0.00115747,0.998961,0,0.0455715,-0.00917114,0.97954,0.201038,-0.0446391,-0.201247,0.978523
-0.9,-0.9,0.000985285,0.999407,0,-0.034424,-0.00295936,0.996298,-0.085917,0.0342965,0.0859679,0.995707
-0.9,-0.8,-0.00348794,0.9802,0,0.19801,-0.00845268,0.999088,0.0418428,-0.19783,-0.0426881,0.979306
-0.9,-0.7,0.00118824,0.929439,0,0.368977,0.00117192,0.999995,-0.00295203,-0.368975,0.00317614,0.929434
-0.9,-0.6,-0.00276476,0.972404,0,0.233304,0.0111583,0.998856,-0.0465077,-0.233037,0.0478275,0.971291
-0.9,-0.5,-0.00536341,0.996985,0,0.0775947,0.000348995,0.99999,-0.0044841,-0.077594,0.00449766,0.996975
-0.9,-0.4,-0.00426237,0.999996,0,0.00265279,-6.23976e-05,0.999723,0.0235214,-0.00265206,-0.0235215,0.99972
-0.9,-0.3,-0.00125861,0.999882,0,-0.0153712,0.000515247,0.999438,0.0335163,0.0153626,-0.0335203,0.99932
-0.9,-0.2,0.00184544,0.999981,0,-0.00617658,0.000157657,0.999674,0.0255244,0.00617457,-0.0255249,0.999655
-0.9,-0.1,0.00329194,1,0,0.000905746,-2.28904e-06,0.999997,0.00252725,-0.000905743,-0.00252725,0.999996
-0.9,0,0.00269278,0.999986,0,-0.00526902,-6.5083e-05,0.999924,-0.0123518,0.00526862,0.012352,0.99991
-0.9,0.1,0.00125281,0.999892,0,-0.0146842,-0.000209776,0.999898,-0.0142843,0.0146827,0.0142858,0.99979
-0.9,0.2,0.000266508,0.99987,0,-0.0161368,-5.29178e-05,0.999995,-0.0032789,0.0161367,0.00327932,0.999864
-0.9,0.3,0.000879256,1,0,0.000248093,-2.99706e-06,0.999927,0.0120804,-0.000248075,-0.0120804,0.999927
-0.9,0.4,0.00111651,0.999863,0,0.0165377,0.0002604,0.999876,-0.0157437,-0.0165356,0.0157459,0.999739
-0.9,0.5,-0.00272234,0.999996,0,-0.00278873,-0.000124126,0.999009,-0.0445095,0.00278597,0.0445097,0.999005
-0.9,0.6,-0.0035597,0.999833,0,-0.0182525,0.000922974,0.998721,0.0505587,0.0182291,-0.0505671,0.998554
-0.9,0.7,0.0123226,0.99992,0,0.0126682,-0.00354921,0.959951,0.280144,-0.0121609,-0.280167,0.959874
-0.9,0.8,0.0597904,0.995846,0,0.0910556,-0.0511764,0.827113,0.5597,-0.0753133,-0.562035,0.823677
-0.9,0.9,0.122458,0.984231,0,0.17689,-0.0436225,0.969115,0.24272,-0.171426,-0.246609,0.953833
-0.9,1,0.0488838,0.997048,0,0.0767866,0.068929,0.440668,-0.89502,-0.0338374,0.89767,0.439367
-0.8,-1,0.00550098,0.997502,0,0.0706383,0.0229996,0.945509,-0.324783,-0.0667892,0.325597,0.943147
-0.8,-0.9,-0.00413887,0.99865,0,-0.0519435,0.00705979,0.990721,0.135729,0.0514615,-0.135913,0.989383
-0.8,-0.8,0.0295099,0.935976,0,0.352063,-0.144948,0.911315,0.38535,-0.320841,-0.411709,0.85297
-0.8,-0.7,0.0594439,0.846789,0,0.531928,0.0134188,0.999682,-0.0213617,-0.531759,0.0252267,0.84652
-0.8,-0.6,0.0355044,0.920987,0,0.389592,0.111172,0.958422,-0.262809,-0.373394,0.285355,0.882694
-0.8,-0.5,0.0109205,0.981888,0,0.189461,0.0313166,0.986244,-0.1623,-0.186855,0.165294,0.968382
-0.8,-0.4,-0.000179428,0.998393,0,0.0566694,0.00334141,0.99826,-0.0588685,-0.0565708,0.0589633,0.996656
-0.8,-0.3,-0.00248226,0.999943,0,-0.0106548,5.59514e-05,0.999986,0.00525098,0.0106547,-0.00525128,0.999929
-0.8,-0.2,-0.000699654,0.999403,0,-0.0345486,0.000778331,0.999746,0.0225152,0.0345398,-0.0225286,0.999149
-0.8,-0.1,0.000551333,0.999205,0,-0.0398551,-3.40276e-05,1,-0.000853103,0.0398551,0.000853781,0.999205
-0.8,0,-0.000442431,0.999195,0,-0.0401056,-0.000638304,0.999873,-0.0159028,0.0401005,0.0159156,0.999069
-0.8,0.1,-0.00201667,0.999366,0,-0.0355981,-0.000443376,0.999922,-0.0124471,0.0355954,0.012455,0.999289
-0.8,0.2,-0.00231713,0.999665,0,-0.0258808,0.00024694,0.999954,0.00953826,0.0258796,-0.00954145,0.99962
-0.8,0.3,0.000285957,0.999944,0,-0.0105623,0.000392193,0.99931,0.0371293,0.010555,-0.0371314,0.999255
-0.8,0.4,0.00272491,0.999956,0,0.00938996,1.13251e-05,0.999999,-0.00120604,-0.00938995,0.00120609,0.999955
-0.8,0.5,-0.0010221,0.999599,0,0.0283156,0.00159022,0.998422,-0.0561381,-0.0282709,0.0561606,0.998021
-0.8,0.6,-0.00397356,0.999944,0,0.010563,-0.000198482,0.999823,0.0187893,-0.0105611,-0.0187903,0.999768
-0.8,0.7,0.00667094,0.995387,0,-0.095941,0.0199397,0.978164,0.206874,0.0938461,-0.207833,0.973652
-0.8,0.8,0.0425902,0.944887,0,-0.327396,0.145334,0.896072,0.419444,0.29337,-0.443909,0.846687
-0.8,0.9,0.0909251,0.837966,0,-0.545722,0.0893529,0.986505,0.137203,0.538357,-0.163733,0.826658
-0.8,1,0.0332371,0.9559,0,-0.293691,-0.245658,0.548043,-0.799563,0.160955,0.83645,0.523874
-0.7,-1,0.00966833,0.999997,0,-0.00246479,-0.0015021,0.792846,-0.60942,0.0019542,0.609422,0.792843
-0.7,-0.9,-0.00621513,0.999661,0,0.0260277,-0.00839378,0.946571,0.322385,-0.0246371,-0.322494,0.946251
-0.7,-0.8,0.0554384,0.997498,0,0.0706931,-0.0424286,0.799865,0.598679,-0.0565449,-0.60018,0.797863
-0.7,-0.7,0.0989209,0.999303,0,0.0373322,0.00241836,0.9979,-0.0647342,-0.0372538,0.0647794,0.997204
-0.7,-0.6,0.0614131,0.999992,0,0.0039834,0.00178553,0.893911,-0.44824,-0.0035608,0.448244,0.893904
-0.7,-0.5,0.0222818,0.999891,0,-0.0147652,-0.00402727,0.962084,-0.272725,0.0142054,0.272754,0.961979
-0.7,-0.4,0.00265414,0.999801,0,-0.0199309,-0.00236367,0.992943,-0.118569,0.0197903,0.118593,0.992746
