x,y,z,tau1_x,tau1_y,tau1_z,tau2_x,tau2_y,tau2_z,normal_x,normal_y,normal_z
-1.11124,-1.11697,-1.39094,0.996816,0,-0.0797327,-0.0066618,0.996503,-0.0832857,0.0794539,0.0835517,0.993331
-1.21709,-0.766187,-1.37784,0.987852,0,-0.155395,0.0100958,0.997887,0.0641792,0.155067,-0.0649684,0.985765
-1.77859,-0.697501,-1.15555,0.831064,0,-0.556177,0.00666799,0.999928,0.00996361,0.556137,-0.011989,0.831004
-1.62932,-0.589155,-1.24279,0.893255,0,-0.449549,-0.00569222,0.99992,-0.0113105,0.449513,0.0126621,0.893184
-1.32004,-0.465784,-1.35789,0.973502,0,-0.228681,-0.00607846,0.999647,-0.0258762,0.2286,0.0265805,0.973158
-1.01445,-0.322953,-1.39891,0.999947,0,-0.0103218,-0.000274554,0.999646,-0.0265979,0.0103182,0.0265993,0.999593
-0.830777,-0.159625,-1.39204,0.992667,0,0.120882,0.00144783,0.999928,-0.0118894,-0.120873,0.0119772,0.992596
-0.814905,0.00596204,-1.39055,0.991221,0,0.132212,-0.000563039,0.999991,0.00422122,-0.132211,-0.0042586,0.991212
-0.892576,0.158077,-1.39744,0.997051,0,0.0767361,-0.0008342,0.999941,0.010839,-0.0767316,-0.010871,0.996993
-0.966694,0.297354,-1.39975,0.999717,0,0.0237911,-0.00019781,0.999965,0.00831206,-0.0237903,-0.00831442,0.999682
-1.0443,0.439306,-1.39838,0.999499,0,-0.0316443,0.000242635,0.999971,0.00766372,0.0316434,-0.00766756,0.99947
-1.11165,0.536386,-1.39475,0.996813,0,-0.0797774,-0.00199687,0.999687,-0.0249507,0.0797524,0.0250305,0.9965
-0.505018,0.758172,-1.3102,0.935347,0,0.353733,-0.0110886,0.999509,0.0293208,-0.353559,-0.0313475,0.934887
0.19498,0.988612,-0.70017,0.514741,0,0.857346,-0.0805101,0.995581,0.0483374,-0.853557,-0.0939062,0.512467
