x,y,z,tau1_x,tau1_y,tau1_z,tau2_x,tau2_y,tau2_z,normal_x,normal_y,normal_z
-0.35,-0.35,1,1,0,9.5162e-16,1.13198e-29,1,-1.18952e-14,-9.5162e-16,1.18952e-14,1
-0.35,-0.286364,1,1,0,2.79087e-15,1.25878e-29,1,-4.51036e-15,-2.79087e-15,4.51036e-15,1
-0.35,-0.222727,1,1,0,3.18446e-15,-3.29336e-30,1,1.0342e-15,-3.18446e-15,-1.0342e-15,1
-0.35,-0.159091,1,1,0,2.62142e-15,-1.24214e-29,1,4.73844e-15,-2.62142e-15,-4.73844e-15,1
-0.35,-0.0954545,1,1,0,1.5908e-15,-1.0503e-29,1,6.60235e-15,-1.5908e-15,-6.60235e-15,1
-0.35,-0.0318182,1,1,0,5.81625e-16,-3.85382e-30,1,6.62595e-15,-5.81625e-16,-6.62595e-15,1
-0.35,0.0318182,1,1,0,8.29361e-17,-3.98858e-31,1,4.80922e-15,-8.29361e-17,-4.80922e-15,1
-0.35,0.0954545,1,1,0,5.8377e-16,-6.72601e-31,1,1.15217e-15,-5.8377e-16,-1.15217e-15,1
-0.35,0.159091,1,1,0,2.57316e-15,1.11809e-29,1,-4.34521e-15,-2.57316e-15,4.34521e-15,1
-0.35,0.222727,1,1,0,6.54015e-15,7.64079e-29,1,-1.16829e-14,-6.54015e-15,1.16829e-14,1
-0.35,0.286364,1,1,0,1.29738e-14,2.70645e-28,1,-2.08609e-14,-1.29738e-14,2.08609e-14,1
-0.35,0.35,1,1,0,2.23631e-14,7.12918e-28,1,-3.18793e-14,-2.23631e-14,3.18793e-14,1
-0.286364,-0.35,1,1,0,2.80767e-15,2.76397e-29,1,-9.84437e-15,-2.80767e-15,9.84437e-15,1
-0.286364,-0.286364,1,1,0,3.69485e-15,1.41579e-29,1,-3.83179e-15,-3.69485e-15,3.83179e-15,1
-0.286364,-0.222727,1,1,0,3.64884e-15,-2.68596e-30,1,7.36114e-16,-3.64884e-15,-7.36114e-16,1
