x,y,z,tau1_x,tau1_y,tau1_z,tau2_x,tau2_y,tau2_z,normal_x,normal_y,normal_z
-0.35,-0.35,0.86,1,0,9.5162e-16,1.13198e-29,1,-1.18952e-14,-9.5162e-16,1.18952e-14,1
-0.35,-0.25,0.86,1,0,3.16143e-15,3.53036e-30,1,-1.1167e-15,-3.16143e-15,1.1167e-15,1
-0.35,-0.15,0.86,1,0,2.49141e-15,-1.27495e-29,1,5.11738e-15,-2.49141e-15,-5.11738e-15,1
-0.35,-0.05,0.86,1,0,8.39256e-16,-5.71281e-30,1,6.80699e-15,-8.39256e-16,-6.80699e-15,1
-0.35,0.05,0.86,1,0,1.02653e-16,-4.05698e-31,1,3.95214e-15,-1.02653e-16,-3.95214e-15,1
-0.35,0.15,0.86,1,0,2.17929e-15,7.51244e-30,1,-3.44719e-15,-2.17929e-15,3.44719e-15,1
-0.35,0.25,0.86,1,0,8.96687e-15,1.38009e-28,1,-1.5391e-14,-8.96687e-15,1.5391e-14,1
-0.35,0.35,0.86,1,0,2.23631e-14,7.12918e-28,1,-3.18793e-14,-2.23631e-14,3.18793e-14,1
-0.25,-0.35,0.86,1,0,3.51517e-15,3.22125e-29,1,-9.16385e-15,-3.51517e-15,9.16385e-15,1
-0.25,-0.25,0.86,1,0,3.98214e-15,4.59724e-30,1,-1.15446e-15,-3.98214e-15,1.15446e-15,1
-0.25,-0.15,0.86,1,0,2.99783e-15,-1.09999e-29,1,3.66929e-15,-2.99783e-15,-3.66929e-15,1
-0.25,-0.05,0.86,1,0,1.46638e-15,-7.78269e-30,1,5.3074e-15,-1.46638e-15,-5.3074e-15,1
-0.25,0.05,0.86,1,0,2.91992e-16,-1.09785e-30,1,3.75988e-15,-2.91992e-16,-3.75988e-15,1
-0.25,0.15,0.86,1,0,3.78819e-16,3.68696e-31,1,-9.73277e-16,-3.78819e-16,9.73277e-16,1
-0.25,0.25,0.86,1,0,2.63104e-15,2.33954e-29,1,-8.89207e-15,-2.63104e-15,8.89207e-15,1
-0.25,0.35,0.86,1,0,7.95282e-15,1.59029e-28,1,-1.99965e-14,-7.95282e-15,1.99965e-14,1
-0.15,-0.35,0.86,1,0,4.13663e-15,3.42522e-29,1,-8.2802e-15,-4.13663e-15,8.2802e-15,1
-0.15,-0.25,0.86,1,0,4.11854e-15,6.9845e-30,1,-1.69587e-15,-4.11854e-15,1.69587e-15,1
-0.15,-0.15,0.86,1,0,3.16791e-15,-7.35187e-30,1,2.32073e-15,-3.16791e-15,-2.32073e-15,1
-0.15,-0.05,0.86,1,0,1.70057e-15,-6.41044e-30,1,3.76959e-15,-1.70057e-15,-3.76959e-15,1
-0.15,0.05,0.86,1,0,1.32322e-16,-3.50748e-31,1,2.65071e-15,-1.32322e-16,-2.65071e-15,1
-0.15,0.15,0.86,1,0,-1.121e-15,-1.16124e-30,1,-1.0359e-15,1.121e-15,1.0359e-15,1
-0.15,0.25,0.86,1,0,-1.64358e-15,-1.19821e-29,1,-7.29025e-15,1.64358e-15,7.29025e-15,1
-0.15,0.35,0.86,1,0,-1.01959e-15,-1.6428e-29,1,-1.61123e-14,1.01959e-15,1.61123e-14,1
-0.05,-0.35,0.86,1,0,2.81602e-15,2.07351e-29,1,-7.36326e-15,-2.81602e-15,7.36326e-15,1
-0.05,-0.25,0.86,1,0,3.57063e-15,7.22062e-30,1,-2.02223e-15,-3.57063e-15,2.02223e-15,1
-0.05,-0.15,0.86,1,0,3.00168e-15,-3.4015e-30,1,1.1332e-15,-3.00168e-15,-1.1332e-15,1
-0.05,-0.05,0.86,1,0,1.5418e-15,-3.24245e-30,1,2.10302e-15,-1.5418e-15,-2.10302e-15,1
-0.05,0.05,0.86,1,0,-3.76356e-16,3.33919e-31,1,8.87242e-16,3.76356e-16,-8.87242e-16,1
-0.05,0.15,0.86,1,0,-2.32016e-15,-5.83323e-30,1,-2.51415e-15,2.32016e-15,2.51415e-15,1
-0.05,0.25,0.86,1,0,-3.85698e-15,-3.1246e-29,1,-8.10114e-15,3.85698e-15,8.10114e-15,1
-0.05,0.35,0.86,1,0,-4.55418e-15,-7.22919e-29,1,-1.58737e-14,4.55418e-15,1.58737e-14,1
0.05,-0.35,0.86,1,0,-4.46679e-16,-2.02434e-30,1,-4.53198e-15,4.46679e-16,4.53198e-15,1
0.05,-0.25,0.86,1,0,2.3384e-15,3.3085e-30,1,-1.41486e-15,-2.3384e-15,1.41486e-15,1
0.05,-0.15,0.86,1,0,2.49911e-15,-4.20328e-31,1,1.68191e-16,-2.49911e-15,-1.68191e-16,1
0.05,-0.05,0.86,1,0,9.90093e-16,-2.15016e-31,1,2.17168e-16,-9.90093e-16,-2.17168e-16,1
0.05,0.05,0.86,1,0,-1.23404e-15,-1.56468e-30,1,-1.26793e-15,1.23404e-15,1.26793e-15,1
0.05,0.15,0.86,1,0,-3.21867e-15,-1.37988e-29,1,-4.2871e-15,3.21867e-15,4.2871e-15,1
0.05,0.25,0.86,1,0,-4.00918e-15,-3.54425e-29,1,-8.84035e-15,4.00918e-15,8.84035e-15,1
0.05,0.35,0.86,1,0,-2.65094e-15,-3.95724e-29,1,-1.49277e-14,2.65094e-15,1.49277e-14,1
0.15,-0.35,0.86,1,0,-5.65146e-15,1.1838e-29,1,2.09467e-15,5.65146e-15,-2.09467e-15,1
0.15,-0.25,0.86,1,0,4.21851e-16,-3.56429e-31,1,8.44919e-16,-4.21851e-16,-8.44919e-16,1
0.15,-0.15,0.86,1,0,1.66022e-15,8.51382e-31,1,-5.12811e-16,-1.66022e-15,5.12811e-16,1
0.15,-0.05,0.86,1,0,4.54379e-17,8.98996e-32,1,-1.97852e-15,-4.54379e-17,1.97852e-15,1
0.15,0.05,0.86,1,0,-2.44074e-15,-8.66998e-30,1,-3.5522e-15,2.44074e-15,3.5522e-15,1
0.15,0.15,0.86,1,0,-3.81653e-15,-1.99751e-29,1,-5.23385e-15,3.81653e-15,5.23385e-15,1
0.15,0.25,0.86,1,0,-2.10017e-15,-1.47505e-29,1,-7.02348e-15,2.10017e-15,7.02348e-15,1
0.15,0.35,0.86,1,0,4.69013e-15,4.1841e-29,1,-8.92109e-15,-4.69013e-15,8.92109e-15,1
0.25,-0.35,0.86,1,0,-1.27983e-14,1.84267e-28,1,1.43978e-14,1.27983e-14,-1.43978e-14,1
0.25,-0.25,0.86,1,0,-2.17901e-15,1.19318e-29,1,5.47579e-15,2.17901e-15,-5.47579e-15,1
0.25,-0.15,0.86,1,0,4.85011e-16,4.11442e-31,1,-8.48316e-16,-4.85011e-16,8.48316e-16,1
0.25,-0.05,0.86,1,0,-1.29216e-15,-5.91108e-30,1,-4.57456e-15,1.29216e-15,4.57456e-15,1
0.25,0.05,0.86,1,0,-3.99644e-15,-2.27915e-29,1,-5.70295e-15,3.99644e-15,5.70295e-15,1
0.25,0.15,0.86,1,0,-4.11373e-15,-1.74154e-29,1,-4.23348e-15,4.11373e-15,4.23348e-15,1
0.25,0.25,0.86,1,0,1.87006e-15,3.10715e-31,1,-1.66153e-16,-1.87006e-15,1.66153e-16,1
0.25,0.35,0.86,1,0,1.7469e-14,-1.13532e-28,1,6.49904e-15,-1.7469e-14,-6.49904e-15,1
0.35,-0.35,0.86,1,0,-2.18873e-14,7.4982e-28,1,3.42583e-14,2.18873e-14,-3.42583e-14,1
0.35,-0.25,0.86,1,0,-5.46418e-15,7.21078e-29,1,1.31964e-14,5.46418e-15,-1.31964e-14,1
0.35,-0.15,0.86,1,0,-1.02653e-15,-7.97441e-31,1,-7.76832e-16,1.02653e-15,7.76832e-16,1
0.35,-0.05,0.86,1,0,-3.02271e-15,-2.31585e-29,1,-7.66151e-15,3.02271e-15,7.66151e-15,1
0.35,0.05,0.86,1,0,-5.90115e-15,-4.40084e-29,1,-7.45759e-15,5.90115e-15,7.45759e-15,1
0.35,0.15,0.86,1,0,-4.11028e-15,-6.78512e-31,1,-1.65077e-16,4.11028e-15,1.65077e-16,1
0.35,0.25,0.86,1,0,7.9015e-15,-1.12328e-28,1,1.4216e-14,-7.9015e-15,-1.4216e-14,1
0.35,0.35,0.86,1,0,3.56857e-14,-1.27347e-27,1,3.56857e-14,-3.56857e-14,-3.56857e-14,1
