x,y,z,tau1_x,tau1_y,tau1_z,tau2_x,tau2_y,tau2_z,normal_x,normal_y,normal_z
-1,-1,0.00235764,0.999922,0,-0.0124833,-0.000155822,0.999922,-0.0124814,0.0124824,0.0124824,0.999844
-1,-0.9,0.00117163,0.999981,0,-0.00620396,-6.97012e-05,0.999937,-0.0112347,0.00620357,0.011235,0.999918
-1,-0.8,0.00011046,1,0,-0.000584914,-5.84151e-06,0.99995,-0.00998695,0.000584885,0.00998696,0.99995
-1,-0.7,-0.000825864,0.99999,0,0.00437313,3.82151e-05,0.999962,-0.00873852,-0.00437296,0.00873861,0.999952
-1,-0.6,-0.00163734,0.999962,0,0.00866985,6.49381e-05,0.999972,-0.00748982,-0.00866961,0.0074901,0.999934
-1,-0.5,-0.00232398,0.999924,0,0.0123052,7.68036e-05,0.999981,-0.00624109,-0.0123049,0.00624157,0.999905
-1,-0.4,-0.00288578,0.999883,0,0.0152792,7.62902e-05,0.999988,-0.0049925,-0.015279,0.00499308,0.999871
-1,-0.3,-0.00332273,0.999845,0,0.017592,6.58766e-05,0.999993,-0.00374411,-0.0175919,0.00374469,0.999838
-1,-0.2,-0.00363484,0.999815,0,0.0192439,4.80403e-05,0.999997,-0.00249593,-0.0192438,0.00249639,0.999812
-1,-0.1,-0.0038221,0.999795,0,0.0202349,2.52567e-05,0.999999,-0.00124792,-0.0202349,0.00124818,0.999794
-1,0,-0.00388452,0.999789,0,0.0205652,-9.10412e-18,1,4.42601e-16,-0.0205652,-4.42695e-16,0.999789
-1,0.1,-0.0038221,0.999795,0,0.0202349,-2.52567e-05,0.999999,0.00124792,-0.0202349,-0.00124818,0.999794
-1,0.2,-0.00363484,0.999815,0,0.0192439,-4.80403e-05,0.999997,0.00249593,-0.0192438,-0.00249639,0.999812
-1,0.3,-0.00332273,0.999845,0,0.017592,-6.58766e-05,0.999993,0.00374411,-0.0175919,-0.00374469,0.999838
-1,0.4,-0.00288578,0.999883,0,0.0152792,-7.62902e-05,0.999988,0.0049925,-0.015279,-0.00499308,0.999871
-1,0.5,-0.00232398,0.999924,0,0.0123052,-7.68036e-05,0.999981,0.00624109,-0.0123049,-0.00624157,0.999905
-1,0.6,-0.00163734,0.999962,0,0.00866985,-6.49381e-05,0.999972,0.00748982,-0.00866961,-0.0074901,0.999934
-1,0.7,-0.000825864,0.99999,0,0.00437313,-3.82151e-05,0.999962,0.00873852,-0.00437296,-0.00873861,0.999952
-1,0.8,0.00011046,1,0,-0.000584914,5.84151e-06,0.99995,0.00998695,0.000584885,-0.00998696,0.99995
-1,0.9,0.00117163,0.999981,0,-0.00620396,6.97012e-05,0.999937,0.0112347,0.00620357,-0.011235,0.999918
-1,1,0.00235764,0.999922,0,-0.0124833,0.000155822,0.999922,0.0124814,0.0124824,-0.0124824,0.999844
-0.9,-1,0.00117163,0.999937,0,-0.0112352,-6.96982e-05,0.999981,-0.00620318,0.011235,0.00620357,0.999918
-0.9,-0.9,0.00058224,0.999984,0,-0.00558358,-3.11759e-05,0.999984,-0.00558341,0.0055835,0.0055835,0.999969
-0.9,-0.8,5.4893e-05,1,0,-0.000526423,-2.61274e-06,0.999988,-0.0049632,0.000526416,0.0049632,0.999988
-0.9,-0.7,-0.000410413,0.999992,0,0.00393582,1.70924e-05,0.999991,-0.00434275,-0.00393579,0.00434278,0.999983
-0.9,-0.6,-0.000813678,0.99997,0,0.00780292,2.90449e-05,0.999993,-0.00372219,-0.00780287,0.00372231,0.999963
-0.9,-0.5,-0.0011549,0.999939,0,0.0110748,3.43522e-05,0.999995,-0.00310164,-0.0110748,0.00310183,0.999934
-0.9,-0.4,-0.00143409,0.999905,0,0.0137516,3.4123e-05,0.999997,-0.00248115,-0.0137515,0.00248139,0.999902
-0.9,-0.3,-0.00165123,0.999875,0,0.0158333,2.94655e-05,0.999998,-0.00186075,-0.0158332,0.00186099,0.999873
-0.9,-0.2,-0.00180633,0.99985,0,0.0173201,2.14878e-05,0.999999,-0.00124044,-0.0173201,0.00124063,0.999849
-0.9,-0.1,-0.00189939,0.999834,0,0.0182121,1.12971e-05,1,-0.000620202,-0.0182121,0.000620305,0.999834
-0.9,0,-0.00193041,0.999829,0,0.0185095,-2.13768e-18,1,1.15471e-16,-0.0185095,-1.15491e-16,0.999829
-0.9,0.1,-0.00189939,0.999834,0,0.0182121,-1.12971e-05,1,0.000620202,-0.0182121,-0.000620305,0.999834
-0.9,0.2,-0.00180633,0.99985,0,0.0173201,-2.14878e-05,0.999999,0.00124044,-0.0173201,-0.00124063,0.999849
-0.9,0.3,-0.00165123,0.999875,0,0.0158333,-2.94655e-05,0.999998,0.00186075,-0.0158332,-0.00186099,0.999873
-0.9,0.4,-0.00143409,0.999905,0,0.0137516,-3.4123e-05,0.999997,0.00248115,-0.0137515,-0.00248139,0.999902
-0.9,0.5,-0.0011549,0.999939,0,0.0110748,-3.43522e-05,0.999995,0.00310164,-0.0110748,-0.00310183,0.999934
-0.9,0.6,-0.000813678,0.99997,0,0.00780292,-2.90449e-05,0.999993,0.00372219,-0.00780287,-0.00372231,0.999963
-0.9,0.7,-0.000410413,0.999992,0,0.00393582,-1.70924e-05,0.999991,0.00434275,-0.00393579,-0.00434278,0.999983
