x,y,z,tau1_x,tau1_y,tau1_z,tau2_x,tau2_y,tau2_z,normal_x,normal_y,normal_z
-1,-1,-0.000275799,0.996816,0,-0.0797327,-0.0066618,0.996503,-0.0832857,0.0794539,0.0835517,0.993331
-1,-0.857143,0.00222656,0.987852,0,-0.155395,0.0100958,0.997887,0.0641792,0.155067,-0.0649684,0.985765
-1,-0.714286,0.00785733,0.831064,0,-0.556177,0.00666799,0.999928,0.00996361,0.556137,-0.011989,0.831004
-1,-0.571429,0.00766296,0.893255,0,-0.449549,-0.00569222,0.99992,-0.0113105,0.449513,0.0126621,0.893184
-1,-0.428571,0.00453462,0.973502,0,-0.228681,-0.00607846,0.999647,-0.0258762,0.2286,0.0265805,0.973158
-1,-0.285714,0.00051814,0.999947,0,-0.0103218,-0.000274554,0.999646,-0.0265979,0.0103182,0.0265993,0.999593
-1,-0.142857,-0.00240918,0.992667,0,0.120882,0.00144783,0.999928,-0.0118894,-0.120873,0.0119772,0.992596
-1,0,-0.00284806,0.991221,0,0.132212,-0.000563039,0.999991,0.00422122,-0.132211,-0.0042586,0.991212
-1,0.142857,-0.0016462,0.997051,0,0.0767361,-0.0008342,0.999941,0.010839,-0.0767316,-0.010871,0.996993
-1,0.285714,-0.000190166,0.999717,0,0.0237911,-0.00019781,0.999965,0.00831206,-0.0237903,-0.00831442,0.999682
-1,0.428571,0.00087815,0.999499,0,-0.0316443,0.000242635,0.999971,0.00766372,0.0316434,-0.00766756,0.99947
-1,0.571429,0.000350347,0.996813,0,-0.0797774,-0.00199687,0.999687,-0.0249507,0.0797524,0.0250305,0.9965
-1,0.714286,-0.0013538,0.935347,0,0.353733,-0.0110886,0.999509,0.0293208,-0.353559,-0.0313475,0.934887
-1,0.857143,0.0172832,0.514741,0,0.857346,-0.0805101,0.995581,0.0483374,-0.853557,-0.0939062,0.512467
-1,1,0.00129236,0.72228,0,0.691601,0.278325,0.915449,-0.290671,-0.633125,0.402435,0.66121
-0.857143,-1,0.00135835,0.997648,0,0.0685508,-0.00109458,0.999873,0.0159299,-0.068542,-0.0159675,0.99752
-0.857143,-0.857143,-4.81042e-06,0.996549,0,0.083008,-0.00550777,0.997796,0.0661233,-0.0828251,-0.0663523,0.994353
-0.857143,-0.714286,0.0229012,0.85881,0,0.512293,-0.0174722,0.999418,0.0292905,-0.511995,-0.0341059,0.858311
-0.857143,-0.571429,0.00707547,0.953219,0,0.302281,0.0373526,0.992336,-0.117788,-0.299964,0.123569,0.945913
-0.857143,-0.428571,-0.00287898,0.997598,0,0.0692685,0.00133172,0.999815,-0.0191792,-0.0692557,0.0192254,0.997414
-0.857143,-0.285714,-0.00144536,0.999873,0,-0.0159442,0.000458918,0.999586,0.0287791,0.0159376,-0.0287828,0.999459
-0.857143,-0.142857,0.00233553,0.99964,0,-0.0268432,0.000364652,0.999908,0.0135797,0.0268407,-0.0135845,0.999547
-0.857143,0,0.00180634,0.999459,0,-0.0329032,-0.000504057,0.999883,-0.0153111,0.0328993,0.0153194,0.999341
-0.857143,0.142857,-0.000424384,0.999453,0,-0.0330632,-0.000338061,0.999948,-0.0102191,0.0330614,0.0102247,0.999401
-0.857143,0.285714,0.00042807,0.999956,0,-0.00941697,0.000215765,0.999737,0.0229113,0.0094145,-0.0229123,0.999693
