x,y,z,tau1_x,tau1_y,tau1_z,tau2_x,tau2_y,tau2_z,normal_x,normal_y,normal_z
-1,-1,0.000619075,0.999984,0,-0.00573823,-4.03621e-05,0.999975,-0.00703379,0.00573808,0.0070339,0.999959
-0.9,-1,4.1252e-05,1,0,-0.000382373,-1.75249e-06,0.999989,-0.00458319,0.000382369,0.00458319,0.999989
-0.8,-1,-0.000309769,0.999996,0,0.00287129,7.17288e-06,0.999997,-0.00249812,-0.00287128,0.00249813,0.999993
-0.7,-1,-0.000470574,0.99999,0,0.0043618,3.39756e-06,1,-0.000778926,-0.0043618,0.000778934,0.99999
-0.6,-1,-0.000477753,0.99999,0,0.00442834,-2.5436e-06,1,0.000574386,-0.00442834,-0.000574392,0.99999
-0.5,-1,-0.000367891,0.999994,0,0.00341003,-5.32596e-06,0.999999,0.00156184,-0.00341002,-0.00156185,0.999993
-0.4,-1,-0.000177576,0.999999,0,0.00164598,-3.59391e-06,0.999998,0.00218345,-0.00164598,-0.00218345,0.999996
-0.3,-1,5.66052e-05,1,0,-0.000524685,1.2798e-06,0.999997,0.00243917,0.000524683,-0.00243917,0.999997
-0.2,-1,0.000298065,0.999996,0,-0.00276281,6.43461e-06,0.999997,0.002329,0.0027628,-0.00232901,0.999993
-0.1,-1,0.000510215,0.999989,0,-0.00472923,8.76317e-06,0.999998,0.00185296,0.00472922,-0.00185298,0.999987
0,-1,0.00065647,0.999981,0,-0.00608483,6.15231e-06,0.999999,0.00101107,0.00608483,-0.00101109,0.999981
0.1,-1,0.000700241,0.999979,0,-0.00649053,-1.2764e-06,1,-0.000196651,0.00649053,0.000196655,0.999979
0.2,-1,0.000604942,0.999984,0,-0.00560724,-9.92632e-06,0.999998,-0.00177024,0.00560723,0.00177027,0.999983
0.3,-1,0.000333985,0.999995,0,-0.00309576,-1.14846e-05,0.999993,-0.00370975,0.00309574,0.00370977,0.999988
0.4,-1,-0.000149216,0.999999,0,0.00138311,8.31955e-06,0.999982,-0.00601508,-0.00138309,0.00601509,0.999981
