x,y,z,tau1_x,tau1_y,tau1_z,tau2_x,tau2_y,tau2_z,normal_x,normal_y,normal_z
-0.999825,-0.999825,0.0163555,0.999922,0,-0.0124833,-0.000155822,0.999922,-0.0124814,0.0124824,0.0124824,0.999844
-0.999948,-0.856993,0.0147007,0.999993,0,-0.00371489,-3.97499e-05,0.999943,-0.0107001,0.00371468,0.0107002,0.999936
-1.00005,-0.714161,0.0132996,0.999993,0,0.00370532,3.30402e-05,0.99996,-0.00891689,-0.00370517,0.00891696,0.999953
-1.00014,-0.571329,0.0121527,0.999952,0,0.00977601,6.97359e-05,0.999975,-0.00713303,-0.00977576,0.00713337,0.999927
-1.0002,-0.428497,0.0112603,0.999895,0,0.0144969,7.75555e-05,0.999986,-0.00534922,-0.0144967,0.00534978,0.999881
-1.00025,-0.285664,0.0106227,0.99984,0,0.0178685,6.37253e-05,0.999994,-0.00356579,-0.0178683,0.00356636,0.999834
-1.00028,-0.142832,0.0102401,0.999802,0,0.0198911,3.54681e-05,0.999998,-0.00178277,-0.019891,0.00178312,0.999801
-1.00029,-6.19772e-18,0.0101125,0.999789,0,0.0205652,-9.10412e-18,1,4.42601e-16,-0.0205652,-4.42695e-16,0.999789
-1.00028,0.142832,0.0102401,0.999802,0,0.0198911,-3.54681e-05,0.999998,0.00178277,-0.019891,-0.00178312,0.999801
-1.00025,0.285664,0.0106227,0.99984,0,0.0178685,-6.37253e-05,0.999994,0.00356579,-0.0178683,-0.00356636,0.999834
-1.0002,0.428497,0.0112603,0.999895,0,0.0144969,-7.75555e-05,0.999986,0.00534922,-0.0144967,-0.00534978,0.999881
-1.00014,0.571329,0.0121527,0.999952,0,0.00977601,-6.97359e-05,0.999975,0.00713303,-0.00977576,-0.00713337,0.999927
-1.00005,0.714161,0.0132996,0.999993,0,0.00370532,-3.30402e-05,0.99996,0.00891689,-0.00370517,-0.00891696,0.999953
-0.999948,0.856993,0.0147007,0.999993,0,-0.00371489,3.97499e-05,0.999943,0.0107001,0.00371468,-0.0107002,0.999936
-0.999825,0.999825,0.0163555,0.999922,0,-0.0124833,0.000155822,0.999922,0.0124814,0.0124824,-0.0124824,0.999844
-0.856993,-0.999948,0.0147007,0.999943,0,-0.0107002,-3.97479e-05,0.999993,-0.00371447,0.0107002,0.00371468,0.999936
-0.857098,-0.857098,0.0142086,0.999995,0,-0.0031842,-1.01391e-05,0.999995,-0.00318417,0.00318418,0.00318418,0.99999
-0.857187,-0.714249,0.0137917,0.999995,0,0.003176,8.42747e-06,0.999996,-0.00265348,-0.00317598,0.00265349,0.999991
-0.85726,-0.571399,0.0134501,0.999965,0,0.00837954,1.77875e-05,0.999998,-0.00212266,-0.00837952,0.00212273,0.999963
-0.857317,-0.428549,0.0131842,0.999923,0,0.0124263,1.97824e-05,0.999999,-0.00159186,-0.0124263,0.00159198,0.999922
-0.857357,-0.285699,0.0129941,0.999883,0,0.0153165,1.62551e-05,0.999999,-0.00106116,-0.0153165,0.00106128,0.999882
-0.857382,-0.14285,0.01288,0.999855,0,0.0170504,9.04737e-06,1,-0.000530548,-0.0170504,0.000530625,0.999854
-0.85739,-5.07493e-20,0.0128419,0.999845,0,0.0176283,-6.39018e-20,1,3.62439e-18,-0.0176283,-3.62495e-18,0.999845
-0.857382,0.14285,0.01288,0.999855,0,0.0170504,-9.04737e-06,1,0.000530548,-0.0170504,-0.000530625,0.999854
-0.857357,0.285699,0.0129941,0.999883,0,0.0153165,-1.62551e-05,0.999999,0.00106116,-0.0153165,-0.00106128,0.999882
-0.857317,0.428549,0.0131842,0.999923,0,0.0124263,-1.97824e-05,0.999999,0.00159186,-0.0124263,-0.00159198,0.999922
-0.85726,0.571399,0.0134501,0.999965,0,0.00837954,-1.77875e-05,0.999998,0.00212266,-0.00837952,-0.00212273,0.999963
-0.857187,0.714249,0.0137917,0.999995,0,0.003176,-8.42747e-06,0.999996,0.00265348,-0.00317598,-0.00265349,0.999991
-0.857098,0.857098,0.0142086,0.999995,0,-0.0031842,1.01391e-05,0.999995,0.00318417,0.00318418,-0.00318418,0.99999
-0.856993,0.999948,0.0147007,0.999943,0,-0.0107002,3.97479e-05,0.999993,0.00371447,0.0107002,-0.00371468,0.999936
-0.714161,-1.00005,0.0132996,0.99996,0,-0.00891702,3.30391e-05,0.999993,0.00370503,0.00891696,-0.00370517,0.999953
-0.714249,-0.857187,0.0137917,0.999996,0,-0.0026535,8.42748e-06,0.999995,0.00317597,0.00265349,-0.00317598,0.999991
-0.714323,-0.714323,0.0142076,0.999996,0,0.00264667,-7.00482e-06,0.999996,0.00264665,-0.00264666,-0.00264666,0.999993
-0.714383,-0.571458,0.0145476,0.999976,0,0.00698302,-1.47851e-05,0.999998,0.00211723,-0.00698301,-0.00211729,0.999973
-0.714431,-0.428594,0.0148119,0.999946,0,0.0103555,-1.64437e-05,0.999999,0.00158783,-0.0103555,-0.00158792,0.999945
-0.714464,-0.285729,0.0150005,0.999919,0,0.0127642,-1.3512e-05,0.999999,0.0010585,-0.0127642,-0.00105858,0.999918
-0.714485,-0.142865,0.0151137,0.999899,0,0.0142093,-7.52072e-06,1,0.000529228,-0.0142093,-0.000529282,0.999899
-0.714491,3.68497e-18,0.0151514,0.999892,0,0.014691,3.86685e-18,1,-2.63184e-16,-0.014691,2.63212e-16,0.999892
-0.714485,0.142865,0.0151137,0.999899,0,0.0142093,7.52072e-06,1,-0.000529228,-0.0142093,0.000529282,0.999899
-0.714464,0.285729,0.0150005,0.999919,0,0.0127642,1.3512e-05,0.999999,-0.0010585,-0.0127642,0.00105858,0.999918
-0.714431,0.428594,0.0148119,0.999946,0,0.0103555,1.64437e-05,0.999999,-0.00158783,-0.0103555,0.00158792,0.999945
-0.714383,0.571458,0.0145476,0.999976,0,0.00698302,1.47851e-05,0.999998,-0.00211723,-0.00698301,0.00211729,0.999973
-0.714323,0.714323,0.0142076,0.999996,0,0.00264667,7.00482e-06,0.999996,-0.00264665,-0.00264666,0.00264666,0.999993
-0.714249,0.857187,0.0137917,0.999996,0,-0.0026535,-8.42748e-06,0.999995,-0.00317597,0.00265349,0.00317598,0.999991
-0.714161,1.00005,0.0132996,0.99996,0,-0.00891702,-3.30391e-05,0.999993,-0.00370503,0.00891696,0.00370517,0.999953
-0.571329,-1.00014,0.0121527,0.999975,0,-0.00713372,6.97375e-05,0.999952,0.00977551,0.00713337,-0.00977576,0.999927
-0.571399,-0.85726,0.0134501,0.999998,0,-0.0021228,1.77881e-05,0.999965,0.0083795,0.00212273,-0.00837952,0.999963
-0.571458,-0.714383,0.0145476,0.999998,0,0.00211734,-1.47854e-05,0.999976,0.00698299,-0.00211729,-0.00698301,0.999973
-0.571507,-0.571507,0.0154454,0.999984,0,0.00558647,-3.12081e-05,0.999984,0.00558629,-0.00558638,-0.00558638,0.999969
-0.571545,-0.42863,0.0161435,0.999966,0,0.00828455,-3.47101e-05,0.999991,0.00418959,-0.00828448,-0.00418974,0.999957
-0.571572,-0.285753,0.0166421,0.999948,0,0.0102116,-2.85224e-05,0.999996,0.00279298,-0.0102116,-0.00279312,0.999944
-0.571588,-0.142877,0.0169413,0.999935,0,0.0113678,-1.58757e-05,0.999999,0.00139646,-0.0113678,-0.00139655,0.999934
-0.571593,5.41591e-18,0.017041,0.999931,0,0.0117532,4.54675e-18,1,-3.86824e-16,-0.0117532,3.8685e-16,0.999931
-0.571588,0.142877,0.0169413,0.999935,0,0.0113678,1.58757e-05,0.999999,-0.00139646,-0.0113678,0.00139655,0.999934
-0.571572,0.285753,0.0166421,0.999948,0,0.0102116,2.85224e-05,0.999996,-0.00279298,-0.0102116,0.00279312,0.999944
-0.571545,0.42863,0.0161435,0.999966,0,0.00828455,3.47101e-05,0.999991,-0.00418959,-0.00828448,0.00418974,0.999957
