x,y,z,tau1_x,tau1_y,tau1_z,tau2_x,tau2_y,tau2_z,normal_x,normal_y,normal_z
-1.5,-1.5,3.4756e-05,0.999986,0,-0.00536269,-0.000407308,0.997111,-0.0759511,0.0053472,0.0759522,0.997097
-1.45714,-1.5,-0.000577625,0.996941,0,0.0781557,-0.00227012,0.999578,0.0289573,-0.0781227,-0.0290462,0.996521
-1.41429,-1.5,0.000951868,0.99698,0,0.0776544,-0.00184059,0.999719,0.0236307,-0.0776326,-0.0237023,0.9967
-1.37143,-1.5,0.000560285,0.999979,0,0.00651404,0.000226496,0.999395,-0.0347697,-0.0065101,0.0347704,0.999374
-1.32857,-1.5,-0.00123046,0.99888,0,-0.0473119,-0.00188416,0.999207,-0.0397796,0.0472744,0.0398242,0.998088
-1.28571,-1.5,-0.00231219,0.999911,0,-0.0133649,-6.76554e-05,0.999987,-0.00506172,0.0133647,0.00506217,0.999898
-1.24286,-1.5,-0.00119147,0.996816,0,0.0797352,-0.00498805,0.998041,0.0623586,-0.079579,-0.0625577,0.994864
-1.2,-1.5,0.00355052,0.982012,0,0.188819,-0.0300099,0.987289,0.156076,-0.186419,-0.158935,0.96953
-1.15714,-1.5,0.0133326,0.962192,0,0.272371,-0.0750924,0.961244,0.265275,-0.261815,-0.275699,0.924902
-1.11429,-1.5,0.0295735,0.954629,0,0.297799,-0.120899,0.913884,0.387556,-0.272154,-0.405975,0.87242
-1.07143,-1.5,0.0533164,0.972032,0,0.234849,-0.119941,0.859749,0.496432,-0.201911,-0.510716,0.835704
-1.02857,-1.5,0.0761781,0.993684,0,0.112211,-0.039904,0.934633,0.353369,-0.104876,-0.355615,0.92873
-0.985714,-1.5,0.0798923,0.998812,0,0.0487249,0.0132286,0.962439,-0.271174,-0.0468947,0.271496,0.961296
-0.942857,-1.5,0.0492949,0.988014,0,0.154364,0.109563,0.704431,-0.701265,-0.108739,0.709773,0.695988
-0.9,-1.5,0.00815358,0.950332,0,0.311238,0.174617,0.827788,-0.533176,-0.257639,0.561041,0.786673
-0.857143,-1.5,-0.00425616,0.946012,0,0.324132,-0.0112155,0.999401,0.0327336,-0.323938,-0.0346017,0.945445
-0.814286,-1.5,0.00180261,0.995244,0,0.0974142,-0.0129844,0.991077,0.132657,-0.0965449,-0.133291,0.986363
-0.771429,-1.5,0.00307114,0.927804,0,-0.373067,-0.0151433,0.999176,-0.0376609,0.372759,0.0405914,0.92704
-0.728571,-1.5,0.000872481,0.762344,0,-0.647172,-0.0158799,0.999699,-0.0187059,0.646977,0.0245374,0.762115
