Ex_Re,Ex_Im,Ey_Re,Ey_Im,Ez_Re,Ez_Im,Hx_Re,Hx_Im,Hy_Re,Hy_Im,Hz_Re,Hz_Im
0.685596,-0.173084,-0.685596,0.173084,0,0,0.0483582,-0.0122084,0.0483582,-0.0122084,-0.967164,0.244168
0.607308,-0.362183,-0.607308,0.362183,0,0,0.0428362,-0.0255465,0.0428362,-0.0255465,-0.856724,0.510929
0.0118214,-0.707008,-0.0118214,0.707008,0,0,0.000833817,-0.0498685,0.000833817,-0.0498685,-0.0166763,0.99737
0.413756,0.573416,-0.413756,-0.573416,0,0,0.0291841,0.0404456,0.0291841,0.0404456,-0.583682,-0.808913
-0.370058,-0.602542,0.370058,0.602542,0,0,-0.0261019,-0.0425001,-0.0261019,-0.0425001,0.522037,0.850001
-0.0981705,0.700259,0.0981705,-0.700259,0,0,-0.00692441,0.0493925,-0.00692441,0.0493925,0.138488,-0.987849
0.613243,0.352041,-0.613243,-0.352041,0,0,0.0432548,0.0248311,0.0432548,0.0248311,-0.865097,-0.496621
-0.688897,0.159438,0.688897,-0.159438,0,0,-0.0485911,0.0112459,-0.0485911,0.0112459,0.971821,-0.224918
-0.431767,-0.55998,0.431767,0.55998,0,0,-0.0304545,-0.0394979,-0.0304545,-0.0394979,0.609089,0.789959
0.649037,-0.280626,-0.649037,0.280626,0,0,0.0457795,-0.0197939,0.0457795,-0.0197939,-0.915591,0.395877
-0.549433,0.445111,0.549433,-0.445111,0,0,-0.038754,0.0313957,-0.038754,0.0313957,0.77508,-0.627914
0.701882,-0.0858041,-0.701882,0.0858041,0,0,0.0495069,-0.00605215,0.0495069,-0.00605215,-0.990138,0.121043
-0.405977,-0.578949,0.405977,0.578949,0,0,-0.0286354,-0.0408359,-0.0286354,-0.0408359,0.572709,0.816719
-0.688576,-0.160822,0.688576,0.160822,0,0,-0.0485684,-0.0113435,-0.0485684,-0.0113435,0.971368,0.22687
-0.574991,-0.411564,0.574991,0.411564,0,0,-0.0405568,-0.0290295,-0.0405568,-0.0290295,0.811135,0.58059
0.656186,-0.263478,-0.656186,0.263478,0,0,0.0462838,-0.0185843,0.0462838,-0.0185843,-0.925675,0.371686
-0.529997,-0.468085,0.529997,0.468085,0,0,-0.0373831,-0.0330162,-0.0373831,-0.0330162,0.747662,0.660323
0.678206,-0.200092,-0.678206,0.200092,0,0,0.047837,-0.0141134,0.047837,-0.0141134,-0.956739,0.282268
-0.142659,-0.692566,0.142659,0.692566,0,0,-0.0100624,-0.0488499,-0.0100624,-0.0488499,0.201248,0.976997
-0.597218,0.37859,0.597218,-0.37859,0,0,-0.0421245,0.0267037,-0.0421245,0.0267037,0.842491,-0.534073
-0.240454,0.664968,0.240454,-0.664968,0,0,-0.0169603,0.0469032,-0.0169603,0.0469032,0.339206,-0.938064
0.42451,0.565501,-0.42451,-0.565501,0,0,0.0299426,0.0398874,0.0299426,0.0398874,-0.598852,-0.797748
0.105993,-0.699118,-0.105993,0.699118,0,0,0.00747617,-0.049312,0.00747617,-0.049312,-0.149523,0.986239
-0.530606,-0.467394,0.530606,0.467394,0,0,-0.0374261,-0.0329674,-0.0374261,-0.0329674,0.748521,0.659349
0.171968,0.685877,-0.171968,-0.685877,0,0,0.0121297,0.048378,0.0121297,0.048378,-0.242594,-0.96756
-0.469167,0.529039,0.469167,-0.529039,0,0,-0.0330925,0.0373155,-0.0330925,0.0373155,0.66185,-0.746311
