-0.00767585+-0.0312632i,0.00843309+0.0366923i,0.00039632+0.00373392i
-0.00402453+-0.0354689i,0.00305893+0.0361372i,5.20826e-05+0.00346912i
0.000257628+-0.0387439i,-0.00113169+0.0347985i,-6.07263e-05+0.00328921i
0.00470752+-0.0409463i,-0.00415231+0.0330706i,-1.63019e-05+0.00324219i
0.00888212+-0.0420891i,-0.00609847+0.0312456i,0.000121081+0.00333504i
0.0124109+-0.0422928i,-0.00710291+0.0295155i,0.000307409+0.00354696i
0.0150224+-0.0417308i,-0.00730442+0.0279849i,0.000521319+0.00384158i
0.0165507+-0.0405803i,-0.00682963+0.0266874i,0.000761075+0.004176i
0.0169295+-0.0389847i,-0.00578528+0.0256027i,0.00103854+0.00450601i
0.0161807+-0.0370307i,-0.00425817+0.0246708i,0.00137192+0.00478826i
0.0144039+-0.0347396i,-0.00232036+0.023803i,0.00177848+0.00498038i
0.0117679+-0.0320729i,-3.73917e-05+0.0228917i,0.00226774+0.00504049i
0.00850685+-0.0289502i,0.0025219+0.0218173i,0.00283552+0.00492739i
0.00491625+-0.0252769i,0.00527524+0.0204564i,0.00345917+0.00460246i
0.00134715+-0.0209798i,0.00811751+0.0186899i,0.00409447+0.00403377i
-0.00180763+-0.0160471i,0.010913+0.0164143i,0.00467507+0.0032028i
-0.00413914+-0.0105669i,0.0134911+0.0135545i,0.00511534+0.00211287i
-0.00526302+-0.00475793i,0.0156458+0.0100807i,0.00531774+0.000798217i
-0.00487477+0.00101635i,0.0171432+0.00602694i,0.00518516+-0.000668563i
-0.0028145+0.00626039i,0.0177363+0.00151056i,0.00463779+-0.00217341i
0.000901087+-0.0306645i,-0.0025157+0.040335i,-0.000901402+0.00356252i
0.00511403+-0.0338002i,-0.00800772+0.0383026i,-0.00117158+0.00317855i
0.00975888+-0.0359914i,-0.0120739+0.0357487i,-0.00123285+0.00293472i
0.0143748+-0.0371861i,-0.0148115+0.0330835i,-0.00116919+0.00286282i
0.0185448+-0.0374781i,-0.0163818+0.0305961i,-0.00104611+0.00295694i
0.0219379+-0.037052i,-0.0169648+0.028464i,-0.000903318+0.00318852i
0.0243245+-0.0361259i,-0.016729+0.0267711i,-0.000754788+0.00351867i
0.0255732+-0.034902i,-0.0158154+0.0255277i,-0.000593438+0.00390631i
0.0256379+-0.0335313i,-0.0143321+0.0246884i,-0.000397889+0.00431199i
0.0245424+-0.0320917i,-0.0123566+0.0241666i,-0.000139774+0.00469826i
0.0223684+-0.0305811i,-0.00994364+0.0238456i,0.000209256+0.00502811i
0.0192501+-0.0289225i,-0.00713627+0.0235867i,0.000671069+0.00526277i
0.0153743+-0.0269792i,-0.00397866+0.0232353i,0.00125514+0.00536016i
0.0109851+-0.0245816i,-0.000529475+0.0226281i,0.00195319+0.00527525i
0.00638799+-0.0215607i,0.00312526+0.0216009i,0.00273477+0.004963i
0.00194933+-0.0177896i,0.00686109+0.0200001i,0.00354439+0.00438426i
-0.0019164+-0.0132275i,0.0105074+0.0176976i,0.00430145+0.00351465i
-0.00477504+-0.00796194i,0.013845+0.0146095i,0.00490409+0.00235528i
-0.00622014+-0.00223941i,0.0166112+0.0107182i,0.00523843+0.000943649i
-0.00593751+0.00352419i,0.0185142+0.00609503i,0.00519338+-0.000638009i
0.00802067+-0.0277591i,-0.0131635+0.040585i,-0.00192992+0.00297239i
0.0124033+-0.0298827i,-0.0183916+0.0372285i,-0.00209345+0.00250561i
0.0170687+-0.0311032i,-0.0220515+0.0336397i,-0.00208235+0.00222209i
0.0215778+-0.0314374i,-0.0243165+0.0302226i,-0.00198573+0.00213705i
0.0255521+-0.031037i,-0.0254042+0.0272488i,-0.00186766+0.00223273i
0.0287059+-0.0301295i,-0.0255323+0.0248731i,-0.00176271+0.00247436i
0.0308527+-0.0289606i,-0.0248904+0.0231554i,-0.00167826+0.00282216i
0.0318941+-0.0277471i,-0.0236261+0.0220832i,-0.00160028+0.00323844i
0.0318009+-0.0266439i,-0.0218419+0.0215898i,-0.0015005+0.00368999i
0.0305951+-0.0257249i,-0.0195997+0.0215688i,-0.0013433+0.0041471i
0.0283364+-0.0249764i,-0.0169303+0.021884i,-0.0010921+0.00458062i
0.0251186+-0.024301i,-0.013847+0.0223752i,-0.000715034+0.00495824i
