-0.0504567+-0.0538298i,-0.068679+0.0222242i,-0.0163669+-0.00541894i
-0.0348364+-0.0645538i,-0.0669572+0.00191166i,-0.0130802+-0.00884807i
-0.0181663+-0.0696458i,-0.0597887+-0.0155404i,-0.00934184+-0.0108896i
-0.00219376+-0.0696661i,-0.0489177+-0.029193i,-0.00561872+-0.0117021i
0.0118603+-0.0655724i,-0.0360351+-0.0388275i,-0.00223113+-0.0115505i
0.0233095+-0.0584768i,-0.0225852+-0.0447636i,0.000640496+-0.0107371i
0.0319337+-0.0494628i,-0.00967771+-0.0476603i,0.00292903+-0.00955243i
0.0378729+-0.0394724i,0.00191621+-0.0483342i,0.00464573+-0.00824577i
0.0415121+-0.0292548i,0.011716+-0.0476148i,0.00584573+-0.00701172i
0.0433762+-0.0193652i,0.019458+-0.0462419i,0.00659879+-0.00598766i
0.0440436+-0.0101939i,0.0250196+-0.0447971i,0.00696798+-0.00525693i
0.0440771+-0.00201393i,0.0283566+-0.0436654i,0.00699688+-0.00485355i
0.0439716+0.00496939i,0.0294632+-0.043015i,0.00670513+-0.00476627i
0.0441119+0.0105761i,0.0283618+-0.042793i,0.00609193+-0.00494114i
0.0447371+0.0146257i,0.02512+-0.0427355i,0.00514671+-0.00528341i
0.045912+0.0169345i,0.0198934+-0.0423953i,0.00386591+-0.00566127i
0.0475079+0.0173398i,0.0129842+-0.041194i,0.00227378+-0.00591437i
0.0492027+0.0157497i,0.00490175+-0.0385055i,0.000443593+-0.00587057i
0.0505101+0.0122128i,-0.00359655+-0.033773i,-0.00148614+-0.00537305i
0.0508495+0.00699131i,-0.0115062+-0.0266543i,-0.00330777+-0.00431708i
-0.0334621+-0.0610954i,-0.0697765+0.00365339i,-0.0134322+-0.00949378i
-0.0159951+-0.0673845i,-0.0635986+-0.0153319i,-0.00945629+-0.0118108i
0.00123259+-0.0679827i,-0.0528499+-0.0304121i,-0.00542491+-0.0127103i
0.016656+-0.0638183i,-0.0394028+-0.0410494i,-0.00173959+-0.0124644i
0.0293112+-0.0560962i,-0.02493+-0.0473873i,0.00136493+-0.0114085i
0.0387916+-0.0460575i,-0.0107537+-0.0500356i,0.00379684+-0.00987693i
0.0451416+-0.0348167i,0.00219832+-0.04986i,0.00556893+-0.00816251i
0.0487268+-0.0232732i,0.0133607+-0.0478055i,0.00675766+-0.00649678i
0.0501093+-0.012088i,0.0224548+-0.0447673i,0.00746661+-0.00504638i
0.0499418+-0.00170476i,0.029397+-0.0415066i,0.00779814+-0.0039181i
0.0488871+0.00760059i,0.0342116+-0.0386028i,0.00783427+-0.00316757i
0.0475579+0.0156595i,0.036962+-0.0364306i,0.00762637+-0.00280747i
0.0464738+0.022351i,0.0377082+-0.0351521i,0.00719279+-0.00281303i
0.0460267+0.0275541i,0.0364939+-0.034718i,0.00652365+-0.00312446i
0.04645+0.031118i,0.0333622+-0.0348773i,0.00559224+-0.00364723i
0.047791+0.0328592i,0.0283983+-0.0351972i,0.00437201+-0.00425284i
0.0498897+0.0325874i,0.0217909+-0.0351027i,0.00285805+-0.00478343i
0.0523726+0.0301606i,0.0138995+-0.0339421i,0.00108987+-0.00506396i
0.0546751+0.0255644i,0.00531128+-0.0310854i,-0.000829041+-0.00492484i
0.0561051+0.0190009i,-0.0031355+-0.0260539i,-0.00272187+-0.00423563i
-0.0169753+-0.0626604i,-0.0658541+-0.0127025i,-0.00978137+-0.0121301i
0.000932605+-0.0646333i,-0.0561712+-0.0294377i,-0.00551495+-0.0133112i
0.0174771+-0.061179i,-0.0429273+-0.0415878i,-0.00153985+-0.013155i
0.0313396+-0.0534977i,-0.0280084+-0.0489902i,0.0018281+-0.0120142i
0.0418387+-0.0429443i,-0.0129843+-0.0520952i,0.00444626+-0.0102628i
0.0488422+-0.0308032i,0.000996937+-0.0517326i,0.00630739+-0.00823976i
0.0526325+-0.0181505i,0.0132137+-0.0489017i,0.00749354+-0.00621873i
0.0537631+-0.0057939i,0.0233085+-0.0446077i,0.00813232+-0.00439903i
0.0529307+0.00572558i,0.0311925+-0.039752i,0.00836108+-0.00291033i
0.0508751+0.0160909i,0.0369422+-0.0350693i,0.00830137+-0.00182423i
0.0483075+0.0251447i,0.040708+-0.0310988i,0.00804316+-0.00116707i
0.0458615+0.0328184i,0.0426446+-0.0281775i,0.00763763+-0.000930321i
0.04406+0.0390666i,0.0428688+-0.0264428i,0.00709719+-0.00107679i
0.0432873+0.0438153i,0.0414456+-0.0258405i,0.00640155+-0.00154243i
0.0437638+0.0469319i,0.0384043+-0.0261334i,0.00550943+-0.00223509i
0.0455181+0.0482218i,0.0337778+-0.0269169i,0.00437553+-0.0030327i
0.0483631+0.0474559i,0.0276632+-0.0276466i,0.00297162+-0.00378464i
0.0518836+0.0444313i,0.0202913+-0.0276877i,0.00130984+-0.00431989i
0.0554503+0.0390577i,0.0120905+-0.0263942i,-0.000536108+-0.00446563i
0.0582757+0.0314598i,0.00372636+-0.0232188i,-0.00241793+-0.00407744i
-0.00248148+-0.059642i,-0.0583855+-0.0257826i,-0.00597399+-0.013379i
0.0147285+-0.0577998i,-0.0462501+-0.0397574i,-0.00174971+-0.0135224i
0.0296825+-0.0510194i,-0.0315748+-0.0488089i,0.00190965+-0.0124841i
0.0413352+-0.0406737i,-0.0161697+-0.0530968i,0.00478095+-0.0106645i
0.0492808+-0.0281783i,-0.00144624+-0.0533082i,0.00680941+-0.00844779i
0.0536323+-0.0147898i,0.0116468+-0.0504199i,0.00806093+-0.00615617i
0.0548679+-0.00149577i,0.0225945+-0.0454966i,0.00867172+-0.00403009i
0.0536818+0.0110185i,0.0312303+-0.0395459i,0.0088047+-0.00222878i
0.0508604+0.0223455i,0.0376282+-0.0334297i,0.00861639+-0.000842115i
0.0471911+0.0322961i,0.0419953+-0.0278213i,0.00823521+9.31661e-05i
0.0434015+0.0408244i,0.0445803+-0.0231946i,0.00774966+0.000577939i
0.0401224+0.0479497i,0.0456076+-0.0198307i,0.00720438+0.000639264i
0.0378633+0.0536884i,0.0452372+-0.0178308i,0.00660237+0.0003243i
0.036992+0.0580006i,0.0435536+-0.0171286i,0.00591224+-0.000300604i
0.0377121+0.0607606i,0.0405793+-0.0175004i,0.00508013+-0.00114714i
0.0400358+0.0617537i,0.0363126+-0.0185763i,0.00404607+-0.00210126i
0.043756+0.0607063i,0.0307839+-0.0198594i,0.00276444+-0.00302178i
0.0484274+0.0573489i,0.0241222+-0.0207611i,0.00122681+-0.00374557i
0.0533727+0.0515099i,0.0166207+-0.0206623i,-0.000516223+-0.00410258i
0.0577291+0.0432278i,0.00878405+-0.0190036i,-0.00234+-0.00394296i
0.00917895+-0.0533533i,-0.0488586+-0.035166i,-0.00243413+-0.0134505i
0.0248745+-0.0484252i,-0.0352873+-0.0462254i,0.00150354+-0.0127314i
0.0376794+-0.0391774i,-0.0201177+-0.052313i,0.00468437+-0.0110271i
0.0468173+-0.0270635i,-0.00502249+-0.0538422i,0.00697422+-0.00875634i
0.0521287+-0.013486i,0.00877451+-0.0516646i,0.00839461+-0.00629169i
0.0539267+0.000378131i,0.0205262+-0.046835i,0.00906892+-0.00392405i
0.0528354+0.0136608i,0.0299069+-0.0404267i,0.00917111+-0.00185346i
0.0496412+0.0258119i,0.0369123+-0.0334058i,0.00888413+-0.000197234i
0.0451776+0.0365562i,0.0417454+-0.0265629i,0.00837089+0.000992731i
0.0402449+0.0458226i,0.0447097+-0.020489i,0.00775677+0.00171065i
0.0355614+0.053661i,0.0461228+-0.0155793i,0.00712181+0.00198012i
0.0317369+0.0601621i,0.0462555+-0.0120509i,0.00649974+0.0018426i
0.0292567+0.065388i,0.0452974+-0.00996293i,0.00588222+0.00135208i
0.0284666+0.0693204i,0.043347+-0.00923336i,0.00522695+0.000575253i
0.0295531+0.0718308i,0.040426+-0.00965027i,0.00446951+-0.000404378i
0.0325153+0.0726794i,0.0365132+-0.0108806i,0.00353912+-0.00148107i
0.0371337+0.0715464i,0.0315948+-0.0124831i,0.00237809+-0.00252362i
0.0429454+0.0680969i,0.0257264+-0.0139327i,0.000963848+-0.00337817i
0.0492415+0.0620798i,0.0190944+-0.0146663i,-0.000669445+-0.00388069i
0.0551055+0.0534474i,0.0120653+-0.014154i,-0.00241493+-0.00388138i
