Ex_Re,Ex_Im,Ey_Re,Ey_Im,Ez_Re,Ez_Im,Hx_Re,Hx_Im,Hy_Re,Hy_Im,Hz_Re,Hz_Im
2.504559298692016e-07,0.0,-9.168630039955466e-18,0.0,-1.271331627279748e-17,0.0,7.30067674619598e-18,0.0,7.766515524983093e-08,0.0,1.0015782461584493e-17,0.0
1.0383775452336269e-07,0.0,-5.244836354700453e-18,0.0,-1.5386658426961434e-17,0.0,-4.0977951826978414e-18,0.0,8.672216598934834e-07,0.0,-1.7869640916628403e-17,0.0
7.741342602985837e-07,0.0,1.5037046218021947e-17,0.0,-3.1053991996116535e-17,0.0,3.229683790838698e-17,0.0,1.394291800480278e-07,0.0,-3.785573191908405e-18,0.0
-4.170929521610432e-07,0.0,-2.5145823240877698e-17,0.0,-3.74062061271534e-17,0.0,-4.914262111268206e-17,0.0,-2.736868297448456e-07,0.0,-1.6107113285098236e-18,0.0
-1.043706291926947e-06,0.0,-1.163525946165946e-17,0.0,1.9578251699106922e-17,0.0,-5.974594445304997e-18,0.0,9.36345403500983e-08,0.0,-5.6518594880141896e-18,0.0
1.6079202977918918e-07,0.0,-5.0045267852102355e-17,0.0,2.0366047944536042e-17,0.0,-1.4864619656057175e-17,0.0,6.895147832272203e-07,0.0,-1.3505880417498297e-17,0.0
4.4808389422808825e-07,0.0,3.025941490680672e-18,0.0,-1.5791536492349358e-17,0.0,1.9501030663054256e-18,0.0,1.269363950046572e-07,0.0,1.2968556205320507e-17,0.0
-1.2552926130109632e-06,0.0,-4.138408812294633e-18,0.0,2.410470871391433e-17,0.0,2.125384105172569e-17,0.0,4.998465084106327e-08,0.0,1.0843978656264645e-17,0.0
-3.225506395322437e-07,0.0,-6.376330346684063e-17,0.0,1.2553333931915704e-17,0.0,1.3703597875191573e-17,0.0,-1.3216749021252417e-07,0.0,-3.765967306846786e-17,0.0
-1.3801587951820435e-06,0.0,-3.093679915100915e-17,0.0,1.1630654261218448e-17,0.0,4.509895337747078e-17,0.0,2.422497492487728e-08,0.0,1.962118372227572e-17,0.0
1.046617845636489e-06,0.0,1.704572013760464e-17,0.0,4.445017679914897e-18,0.0,-6.66834801503187e-18,0.0,2.3626607713313144e-07,0.0,-3.8842309523479927e-17,0.0
-3.7370310971996913e-07,0.0,-1.0226417728272589e-17,0.0,-1.3175986715528525e-17,0.0,7.98459203862235e-18,0.0,-1.1436635183493926e-08,0.0,-1.2305851666625645e-17,0.0
4.761605514717224e-07,0.0,7.535644336348142e-17,0.0,-3.3437819864158736e-18,0.0,2.702854579462885e-19,0.0,1.8141809710179348e-07,0.0,-5.965839287214269e-18,0.0
-1.6335752578786258e-06,0.0,7.322849205312897e-18,0.0,1.628682284325342e-17,0.0,6.5034249609131e-18,0.0,-2.97283126708179e-07,0.0,2.4096227753948896e-17,0.0
