type,x,y,z,test_index
int,-0.8949487625690296,-0.8951270038785453,0.10293085607329712,0
int,-0.4753570387095384,-0.8970137906587308,0.10742248616358498,2
int,-0.06006429190577376,-0.9014927466515015,0.12492838549005042,4
int,0.3499610728561537,-0.9035103860637476,0.1586019784703701,6
int,0.7634969005694227,-0.8960692719044545,0.18215802583913782,8
int,-0.6849890263036165,-0.790871815305102,0.1049760733736386,10
int,-0.2677677777176985,-0.795342762148599,0.1181117640437864,12
int,0.14266393450813294,-0.8012977147564152,0.15449296166285087,14
int,0.5507756459113157,-0.7977933506583236,0.20046927871843523,16
int,-0.8950356536821145,-0.684916148631223,0.10346002049112275,18
int,-0.4760413340698333,-0.6883256917021102,0.11154516706782236,20
int,-0.06303364264276094,-0.6963376754749622,0.1428837619582928,22
int,0.34300573105120946,-0.699703775704942,0.20345039752804844,24
int,0.7539662455969306,-0.6865465722144863,0.24644120195867275,26
int,-0.685199643296535,-0.5813014726304172,0.10681298728016973,28
int,-0.2689948009200994,-0.5887954452982449,0.12876165425938382,30
int,0.13889890452937653,-0.598490305331015,0.1896041943114265,32
int,0.5441555560352022,-0.5925636432133153,0.2678294757688541,34
int,-0.8950753560540928,-0.4747906841090408,0.10413122175429645,36
int,-0.4763512666459422,-0.4801292665270979,0.11674627981025545,38
int,-0.06428039286616637,-0.4924821614383132,0.16550469226155376,40
int,0.34033495095357746,-0.4973830980115173,0.261044224737559,42
int,0.7499316770096164,-0.47728510447037004,0.3303459282258251,44
int,-0.6851921620557857,-0.3718574584676406,0.10888539553019255,46
int,-0.26892234563100886,-0.38272654206210804,0.14071935026492344,48
int,0.13941059079624676,-0.39639198568632417,0.2295406047887592,50
int,0.5447216676091995,-0.3881230231076894,0.3464047837234633,52
int,-0.8950226166119424,-0.26466225957046396,0.10479627584540549,54
int,-0.47593228976274216,-0.2719071555716739,0.12187518549232729,56
int,-0.062345608437983986,-0.28840394423732785,0.18789405423364597,58
int,0.3449879878038995,-0.295002128089443,0.3194842779486555,60
int,0.7553686947138722,-0.26815979177937116,0.41729926963681946,62
int,-0.6848742471990154,-0.16224409204990187,0.11062861334336348,64
int,-0.26703719781867363,-0.17591594062197194,0.15075401346982806,66
int,0.14556065202397173,-0.19283287858346887,0.2636096670841673,68
int,0.5553413064628316,-0.18333175302324162,0.4153350504712715,70
int,-0.8948697697085258,-0.054405024486727335,0.10524541254362103,72
int,-0.4747286509471684,-0.06293345721320805,0.12532762040983098,74
int,-0.05711299228650589,-0.0821492444736575,0.2030513463202615,76
int,0.35750249912421744,-0.09023607764091918,0.35992642846580897,78
int,0.7728777353980126,-0.05880025420043425,0.4791712549779461,80
int,-0.6843075441885224,0.04785783295380207,0.11143764906278099,82
int,-0.26372363538195054,0.032897555881791204,0.15540837646453912,84
int,0.15610021403219707,0.014462646022474955,0.2796013961286808,86
int,0.575426082844887,0.024140294058297252,0.44848754580709577,88
int,-0.8946649231875956,0.15608195511020675,0.10531103095395752,90
int,-0.4731192325818484,0.14736629923301117,0.12583134625577705,92
int,-0.05020982727381075,0.12775799454546144,0.20526994063765178,94
int,0.37433434669758675,0.11941750105639254,0.3659102338214725,96
int,0.7985368245584424,0.15153017929846954,0.4885105062824801,98
int,-0.6837022520829001,0.25861373811521393,0.11100006852264914,100
int,-0.26019026474290313,0.24434933066127928,0.15289106377276543,102
int,0.16731873284266457,0.2267375738542632,0.2709369260477684,104
int,0.5971757655117902,0.23635961555256846,0.43044943188828466,106
int,-0.8944886006226385,0.36681434089505427,0.10496716502936795,108
int,-0.471732250653338,0.3590806724053035,0.12318976073167356,110
int,-0.044219960256420415,0.3415423990617864,0.19365592790824282,112
int,0.3887690254551632,0.33442278617060167,0.3347702733360524,114
int,0.8195073145889732,0.3630053029817063,0.4404678426011208,116
int,-0.6832929707324715,0.4699329152658852,0.10948712000479188,118
int,-0.25777820280960506,0.45809238510970995,0.14418461768418503,120
int,0.17508627961311315,0.4433021520804873,0.24124442047925754,122
int,0.6110547348742118,0.4520989756153362,0.36986229046444763,124
int,-0.8944033072857794,0.577712597110099,0.1043457884262398,126
int,-0.47105759964945876,0.5717583242767923,0.118403426492681,128
int,-0.04119907438589443,0.558051950697635,0.17272522932057596,130
int,0.39594381144466173,0.552644123398607,0.27972892086130574,132
int,0.8285138964616737,0.5749207112019054,0.35791684677989344,134
int,-0.6831939568630805,0.681525355864005,0.10744766336472666,136
int,-0.2571674039299956,0.6729932375178973,0.13242855733819967,138
int,0.1772942185720735,0.6620602877301305,0.20178223345964832,140
int,0.6144973458940163,0.6687694573560165,0.29156209162086805,142
int,-0.8944183385792496,0.788650910049398,0.1036563165133489,144
int,-0.47117254937156217,0.784676819065297,0.11306919936169925,146
int,-0.04157957678747724,0.7753784698909204,0.14950982981723476,148
int,0.3952886105788877,0.7715566299549508,0.2201792184984881,150
int,0.8270111652614824,0.786772099033247,0.27065301863986013,152
int,-0.6833531754824947,0.8930704746183215,0.10549217961262167,154
int,-0.25808547438002116,0.8877477922746481,0.12111069770204991,156
int,0.17458286886831756,0.8807160221425391,0.1643504353114536,158
int,0.6096841808904231,0.8849131607980183,0.21922571173236932,160
ext,-0.8945249216414968,-0.8943466803319811,-0.10161725219168243,0
ext,-0.47201138234309326,-0.8924598935517956,-0.09704948195275138,2
ext,-0.04519886598896319,-0.8879809375590249,-0.07863282709258096,4
ext,0.38688103240700383,-0.8859632981467788,-0.041821905917565835,6
ext,0.8154504678516296,-0.8934044123060718,-0.015666245954606098,8
ext,-0.6834320263279625,-0.7880755531159507,-0.09954892218826403,10
ext,-0.2585480117559858,-0.7836046062724537,-0.0858929632371997,12
ext,0.17312553917607768,-0.7776496536646375,-0.04638903600842962,14
ext,0.6071190909307896,-0.7811540177627291,0.004537489707876638,16
ext,-0.8944380305284119,-0.683504904000356,-0.10108427391942527,18
ext,-0.47132708698279835,-0.6800953609294688,-0.09278484705278167,20
ext,-0.042229515251976005,-0.6720833771566168,-0.05915493343777151,22
ext,0.39383637421194806,-0.668717276926637,0.0077547160476470894,24
ext,0.8249811228241216,-0.6818744804170926,0.05467108981552714,26
ext,-0.6832214093350439,-0.5765932642116881,-0.097673287331674,28
ext,-0.2573209885535849,-0.5690992915438604,-0.0745029535130122,30
ext,0.1768905691548341,-0.5594044315110903,-0.007549666993572152,32
ext,0.6137391808069032,-0.56533109362879,0.07741617647621421,34
ext,-0.8943983281564335,-0.47257773694359084,-0.1004057226807363,36
ext,-0.47101715440668945,-0.4672391545255337,-0.08732750439525475,38
ext,-0.04098276502857058,-0.45488625961431844,-0.034206313554180856,40
ext,0.39650715430958006,-0.4499853230411143,0.07015459264943878,42
ext,0.8290156914114358,-0.4700833165822616,0.14183977432612216,44
ext,-0.6832288905757933,-0.36498464679551734,-0.09553971830263946,46
ext,-0.25739344384267543,-0.3541155632010499,-0.06149146411679557,48
ext,0.17637888288796386,-0.3404501195768338,0.036293172369178825,50
ext,0.6131730692329058,-0.34871908215546854,0.15771866289330025,52
ext,-0.894451067598584,-0.2616535299032203,-0.09973083242698402,54
ext,-0.4714361312898895,-0.2544086339020104,-0.08187540576844493,56
ext,-0.04291754945675296,-0.23791184523635647,-0.00937179583536335,58
ext,0.391854117459258,-0.2313136613842413,0.13083629295910287,60
ext,0.82357867370718,-0.25815599769431313,0.2247167158828845,62
ext,-0.6835468054325636,-0.15354538163430875,-0.09373206652488635,64
