x,y,z,tau1_x,tau1_y,tau1_z,tau2_x,tau2_y,tau2_z,normal_x,normal_y,normal_z
-1.5,-1.5,3.4756e-05,0.999986,-0.000408506,-0.00536285,0,1.00001,-0.0761744,0.00536277,0.0761733,1
-1.45714,-1.5,-0.000577625,0.996901,-0.00229204,0.0786358,0,1.00307,0.0292369,-0.0783955,-0.0291476,1
-1.41429,-1.5,0.000951868,0.996942,-0.00185788,0.0781254,2.1684e-19,1.00303,0.0238528,-0.0778896,-0.0237808,1
-1.37143,-1.5,0.000560285,0.999979,0.000226647,0.00651431,0,1.00002,-0.0347929,-0.00651417,0.0347922,1
-1.32857,-1.5,-0.00123046,0.998873,-0.001892,-0.047418,-2.1684e-19,1.00112,-0.0399452,0.0473649,0.0399005,1
-1.28571,-1.5,-0.00231219,0.999911,-6.76744e-05,-0.0133673,0,1.00009,-0.00506314,0.0133661,0.00506269,1
-1.24286,-1.5,-0.00119147,0.996762,-0.00504582,0.0802443,8.67362e-19,1.00318,0.0630807,-0.0799898,-0.0628807,1
-1.2,-1.5,0.00355052,0.98014,-0.0320801,0.195694,0,1.01777,0.166842,-0.192278,-0.16393,1
-1.15714,-1.5,0.0133326,0.952116,-0.0873378,0.292997,-1.38778e-17,1.03506,0.308534,-0.283074,-0.298084,1
-1.11429,-1.5,0.0295735,0.934421,-0.150269,0.32292,0,1.03516,0.481704,-0.311953,-0.465344,1
-1.07143,-1.5,0.0533164,0.95764,-0.150162,0.245716,0,1.01701,0.621514,-0.241607,-0.611121,1
-1.02857,-1.5,0.0761781,0.992582,-0.043473,0.113535,0,1.0054,0.384973,-0.112925,-0.382904,1
-0.985714,-1.5,0.0798923,0.998712,0.0137927,0.0488362,-1.73472e-18,1.00109,-0.282736,-0.0487828,0.282427,1
-0.942857,-1.5,0.0492949,0.974824,0.159206,0.156114,2.77556e-17,0.999215,-1.01901,-0.156236,1.01981,1
-0.9,-1.5,0.00815358,0.91172,0.238536,0.334467,0,1.02126,-0.728344,-0.327504,0.713182,1
-0.857143,-1.5,-0.00425616,0.932139,-0.0132434,0.361859,0,1.05612,0.0386523,-0.34263,-0.0365983,1
-0.814286,-1.5,0.00180261,0.995064,-0.0132888,0.0983387,0,1.00469,0.135767,-0.0978797,-0.135133,1
-0.771429,-1.5,0.00307114,0.901486,-0.0189328,-0.432394,3.46945e-18,1.07535,-0.0470853,0.402096,0.043786,1
-0.728571,-1.5,0.000872481,0.312407,-0.0305691,-0.949456,3.46945e-18,1.11842,-0.0360093,0.848924,0.0321965,1
-0.685714,-1.5,0.000525958,-0.0112294,0.0109133,-0.999877,0,0.994278,0.0108522,1.00563,-0.0109146,1
-0.642857,-1.5,0.00136995,0.13447,0.0231426,-0.990647,-3.46945e-18,1.06016,0.0247665,0.934431,-0.0233611,1
-0.6,-1.5,0.00209027,0.538666,0.00433294,-0.842508,0,1.15384,0.00593411,0.730175,-0.0051429,1
-0.557143,-1.5,0.0016846,0.849048,-0.0112207,-0.528197,0,1.10218,-0.0234141,0.479231,0.0212435,1
-0.514286,-1.5,0.000513766,0.9715,-0.00723686,-0.236929,0,1.0262,-0.0313448,0.230879,0.0305444,1
-0.471429,-1.5,-0.000689118,0.999705,-0.000552146,-0.0242817,0,1.00029,-0.0227458,0.0242746,0.0227391,1
