x,y,z,tau1_x,tau1_y,tau1_z,tau2_x,tau2_y,tau2_z,normal_x,normal_y,normal_z
-1.52248,-1.81931,-4.19183,0.999986,-0.000408506,-0.00536285,0,1.00001,-0.0761744,0.00536277,0.0761733,1
-1.06835,-1.33064,-4.19177,0.996051,-0.00358404,0.0887113,4.33681e-19,1.00389,0.0405583,-0.0883676,-0.0404011,1
-1.30039,-1.62382,-4.1911,0.99983,0.000543804,0.0184099,0,1.00017,-0.0295436,-0.0184068,0.0295386,1
-1.50942,-1.63969,-4.19354,0.998935,-0.00153674,-0.0461137,0,1.00106,-0.0333603,0.046065,0.033325,1
-1.04711,-1.33195,-4.19368,0.998763,-0.0019916,0.0496779,0,1.00123,0.0401394,-0.049617,-0.0400902,1
-0.324034,-0.740989,-4.18726,0.976568,-0.0383436,0.211764,0,1.02051,0.184782,-0.207508,-0.181068,1
0.165779,0.133181,-4.17013,0.93856,-0.125287,0.321573,0,1.03817,0.404478,-0.309751,-0.389608,1
-0.0586472,1.06174,-4.13855,0.95764,-0.150162,0.245716,0,1.01701,0.621514,-0.241607,-0.611121,1
-0.71618,-0.865828,-4.11066,0.997468,-0.0106369,0.07031,0,1.0024,0.15165,-0.0701416,-0.151287,1
-0.397771,-5.57469,-4.13646,0.983031,0.127861,0.131538,0,1.00033,-0.972366,-0.131495,0.972048,1
0.599435,-3.35104,-4.19079,0.914072,0.163822,0.370991,0,1.04569,-0.461756,-0.35478,0.441579,1
0.00285752,-0.766649,-4.19201,0.978841,-0.0352623,0.201561,0,1.01872,0.178222,-0.197857,-0.174946,1
-2.77056,-1.72303,-4.18909,0.849447,-0.0280351,-0.526928,0,1.10151,-0.0586057,0.478368,0.0532047,1
-4.77819,-1.51596,-4.19141,0.0569019,-0.00380051,-0.998373,-4.33681e-19,1.02723,-0.00391035,0.971909,0.0038067,1
-4.55986,-1.40207,-4.19049,0.13447,0.0231426,-0.990647,-3.46945e-18,1.06016,0.0247665,0.934431,-0.0233611,1
-3.2008,-1.53458,-4.18981,0.698321,-0.00590381,-0.71576,8.67362e-19,1.14554,-0.00944879,0.624821,0.0082483,1
-1.63006,-1.62686,-4.19116,0.961758,-0.00828532,-0.273777,0,1.03423,-0.031299,0.264715,0.030263,1
-0.368604,-1.5728,-4.1928,0.999766,0.000375364,0.0216136,-5.42101e-20,1.00023,-0.0173711,-0.0216085,0.0173671,1
0.105073,-1.3724,-4.19258,0.992663,-0.00367898,0.120862,0,1.00717,0.0306577,-0.120002,-0.0304396,1
-0.464756,-1.34083,-4.18966,0.999532,0.00116016,-0.0305546,0,1.00047,0.0379878,0.0305404,-0.0379701,1
-0.975354,-1.81943,-4.19093,0.985489,-0.0128972,-0.169248,0,1.01375,-0.0772507,0.166953,0.0762033,1
-0.850964,-1.68742,-4.19559,0.988106,-0.00686856,-0.153622,0,1.01144,-0.0452223,0.151884,0.0447109,1
-0.540793,-1.04525,-4.19354,0.995626,0.0100767,-0.0928865,0,1.00422,0.108942,0.0924964,-0.108484,1
-0.715373,-0.653339,-4.18368,0.988172,0.0303604,-0.150316,-3.46945e-18,1.01053,0.204104,0.148749,-0.201977,1
-2.1408,-0.567704,-4.17026,0.822794,0.123388,-0.554784,0,1.10207,0.245108,0.503401,-0.222406,1
-4.12723,-1.05397,-4.15936,0.0162039,0.105792,-0.994256,-1.38778e-17,1.00239,0.106657,0.991884,-0.106403,1
-3.00182,-2.17348,-4.16053,0.520237,-0.135473,-0.843208,0,1.14254,-0.183565,0.738014,0.160664,1
2.65651,-2.29511,-4.17339,0.726859,0.127988,0.674756,2.77556e-17,1.12983,-0.214307,-0.597217,0.18968,1
8.63955,-0.823739,-4.17543,-0.830862,-0.0886291,0.549376,0,0.273333,0.0440961,-2.00991,-0.161327,1
11.2706,-0.7269,-4.16182,-0.910687,-0.0749233,0.406245,0,0.15488,0.0285643,-2.62297,-0.184429,1
9.16665,-3.00397,-4.16485,-0.83802,0.184265,0.513585,0,0.243816,-0.0874771,-2.10644,0.358783,1
4.7628,-2.58227,-4.19016,-0.0780863,0.249224,0.965293,0,0.927039,-0.239347,-1.04126,0.258184,1
3.92631,-1.19132,-4.19368,0.355944,-0.0686284,0.931984,0,1.1268,0.0829738,-0.82711,-0.0736369,1
3.07935,-1.03639,-4.18677,0.714566,-0.0769018,0.695329,0,1.13903,0.125974,-0.610455,-0.110598,1
2.12237,-1.90077,-4.1852,0.9197,0.0373667,0.390841,6.93889e-18,1.06335,-0.101663,-0.367554,0.095606,1
1.30959,-2.37444,-4.19598,0.986389,0.0335774,0.160962,0,1.01199,-0.211105,-0.159055,0.208604,1
0.826979,-1.64026,-4.20486,0.999569,0.000981435,0.0293307,0,1.00043,-0.0334754,-0.0293181,0.0334611,1
0.849395,0.276349,-4.19421,0.999763,-0.0085021,0.0200634,0,1.00017,0.423831,-0.0200601,-0.423761,1
1.41121,1.41967,-4.15749,0.985305,-0.0976196,0.140156,0,1.00485,0.69989,-0.139478,-0.696509,1
2.1596,0.565007,-4.11865,0.937092,-0.154264,0.313147,0,1.0321,0.508437,-0.303407,-0.492623,1
2.67915,-2.08311,-4.10657,0.893607,0.0618416,0.444569,0,1.0771,-0.14983,-0.412746,0.139105,1
2.77233,-3.79871,-4.12978,0.864156,0.241962,0.441236,-2.77556e-17,1.04964,-0.575595,-0.420369,0.548375,1
2.58336,-3.72999,-4.16503,0.90515,0.199648,0.375293,2.77556e-17,1.04051,-0.553531,-0.360682,0.53198,1
2.28631,-1.87693,-4.18624,0.958098,0.0256533,0.28529,-3.46945e-18,1.03661,-0.0932123,-0.275213,0.08992,1
2.10379,0.868146,-4.17011,0.967436,-0.124502,0.220381,0,1.01527,0.573567,-0.217066,-0.564939,1
2.89002,1.2771,-4.12934,0.875555,-0.266822,0.402752,0,1.03264,0.684119,-0.390023,-0.662497,1
5.93503,-0.900099,-4.10176,-0.188823,-0.139119,0.972107,0,0.882269,0.126262,-1.10183,-0.143111,1
9.51547,-3.21832,-4.11148,-0.797023,0.22907,0.558821,0,0.28785,-0.117995,-1.94136,0.409917,1
5.90338,-4.17412,-4.14542,-0.105759,0.5348,0.838334,0,0.787121,-0.502129,-1.06506,0.637932,1
2.2138,-3.56198,-4.18193,0.981433,0.0846615,0.172111,0,1.01074,-0.497183,-0.170282,0.4919,1
-1.49486,-1.61647,-4.19192,0.999999,5.1971e-05,0.001226,0,1,-0.0423906,-0.001226,0.0423906,1
-1.586,-1.27988,-4.19092,0.999381,0.00133208,-0.0351422,0,1.00062,0.0379286,0.0351206,-0.0379053,1
-1.44996,-1.66887,-4.19134,0.99985,-0.000948279,-0.0172759,1.0842e-19,1.00015,-0.0548984,0.0172733,0.0548902,1
-1.24086,-1.481,-4.19408,0.999838,0.000181388,0.0180069,-2.71051e-20,1.00016,-0.0100749,-0.018004,0.0100732,1
-1.20909,-1.09735,-4.19193,0.999939,-0.00089408,0.0109772,0,1.00006,0.0814536,-0.0109766,-0.0814487,1
-1.44848,-0.690135,-4.18399,0.998088,0.0108668,-0.0608464,1.73472e-18,1.00178,0.178912,0.0607381,-0.178594,1
-2.04012,-0.259346,-4.16994,0.973275,0.0621972,-0.221058,0,1.02113,0.287307,0.216483,-0.281362,1
-3.05343,0.0778337,-4.14962,0.839367,0.18493,-0.51114,0,1.08104,0.39112,0.47282,-0.361798,1
-3.87743,-1.16903,-4.1341,0.613255,0.0507249,-0.788255,6.93889e-18,1.15242,0.0741593,0.683999,-0.0643509,1
-2.92268,-3.93919,-4.15071,0.817537,-0.295009,-0.494573,0,1.0504,-0.626556,0.470841,0.596491,1
-1.37752,-3.02454,-4.18647,0.992076,-0.0444556,-0.117515,0,1.00581,-0.380493,0.116837,0.378297,1
-1.65231,-1.30742,-4.19463,0.979618,0.00629155,-0.200772,-8.67362e-19,1.01917,0.0319375,0.196996,-0.0313368,1
0.405773,-1.15873,-4.19079,0.956848,-0.0193699,0.289944,0,1.03785,0.0693343,-0.27937,-0.0668058,1
2.36576,-1.41455,-4.18848,0.534943,-0.00488336,0.844874,0,1.15367,0.00666822,-0.732334,-0.00577999,1
2.10684,-1.56113,-4.18939,0.655572,0.0220325,0.754811,0,1.1507,-0.0335883,-0.65596,0.0291895,1
1.0023,-1.55017,-4.19126,0.914994,0.0107175,0.403324,0,1.06739,-0.0283638,-0.377859,0.0265729,1
0.0627916,-1.48926,-4.19246,0.990084,0.00169177,0.140466,2.1684e-19,1.00963,-0.0121599,-0.139127,0.012044,1
-0.527844,-1.41827,-4.19269,0.999866,8.01238e-05,-0.0163815,0,1.00013,0.00489176,0.0163793,-0.0048911,1
-0.671785,-1.3372,-4.19181,0.997854,0.00158631,-0.0654624,2.1684e-19,1.00213,0.024284,0.0653232,-0.0242324,1
-0.342102,-1.39572,-4.19029,0.999999,1.31506e-05,-0.00128031,0,1,0.0102715,0.00128031,-0.0102715,1
0.0519056,-1.71914,-4.19218,0.996913,0.00523981,0.0783443,0,1.00303,-0.0670847,-0.0781075,0.0668819,1
0.187906,-1.57551,-4.19593,0.995339,0.0031441,0.0963859,4.33681e-19,1.00459,-0.0327695,-0.0959458,0.0326199,1
0.0264752,-1.07655,-4.19412,0.999074,-0.00370432,0.0428687,0,1.00091,0.0864893,-0.0428298,-0.0864107,1
-0.0813041,-0.847839,-4.18679,0.999997,-0.000354214,0.00251265,0,1,0.140973,-0.00251264,-0.140972,1
0.431871,-0.908876,-4.17834,0.993723,-0.0140301,0.110987,0,1.00597,0.127166,-0.110329,-0.126411,1
1.61677,-0.793384,-4.17022,0.913003,-0.0620781,0.403201,6.93889e-18,1.06557,0.164058,-0.37839,-0.153963,1
2.45924,-0.30393,-4.15764,0.758519,-0.170289,0.629008,-2.77556e-17,1.11376,0.301523,-0.564761,-0.270726,1
2.35917,0.344368,-4.1364,0.784297,-0.242843,0.570882,2.77556e-17,1.08474,0.46143,-0.526283,-0.425382,1
1.88824,0.932096,-4.10543,0.87776,-0.235863,0.417021,-2.77556e-17,1.04429,0.590639,-0.399335,-0.565589,1
1.51051,-0.728381,-4.07919,0.950412,-0.0519633,0.306623,-6.93889e-18,1.04075,0.176376,-0.294617,-0.16947,1
1.22043,-5.25805,-4.09944,0.958233,0.192612,0.211402,-2.77556e-17,1.0028,-0.913667,-0.210812,0.911117,1
