x,y,z,tau1_x,tau1_y,tau1_z,tau2_x,tau2_y,tau2_z,normal_x,normal_y,normal_z
-1.49961,-1.49452,0.072028,0.999986,0,-0.00536269,-0.000407308,0.997111,-0.0759511,0.0053472,0.0759522,0.997097
-1.44513,-1.5029,0.0719566,0.996118,0,0.0880246,-0.00353962,0.999191,0.0400557,-0.0879534,-0.0402118,0.995313
-1.37888,-1.49787,0.072917,0.999831,0,0.0184037,0.00054329,0.999564,-0.0295157,-0.0183957,0.0295207,0.999395
-1.31301,-1.4976,0.0704049,0.998941,0,-0.0460162,-0.00153102,0.999446,-0.033236,0.0459907,0.0332713,0.998388
-1.25868,-1.50289,0.0702373,0.998771,0,0.049556,-0.00198268,0.999199,0.0399597,-0.0495164,-0.0400089,0.997972
-1.20832,-1.5126,0.0742176,0.979142,0,0.203179,-0.0354687,0.984645,0.170927,-0.20006,-0.174569,0.964107
-1.15267,-1.52518,0.0863699,0.955225,0,0.295881,-0.103201,0.9372,0.333174,-0.2773,-0.348791,0.895237
-1.08601,-1.53688,0.113657,0.972032,0,0.234849,-0.119941,0.859749,0.496432,-0.201911,-0.510716,0.835704
-1.0152,-1.51077,0.152426,0.997549,0,0.0699697,-0.0104413,0.988803,0.14886,-0.0691863,-0.149226,0.98638
-0.955757,-1.4499,0.106949,0.991465,0,0.130373,0.0904703,0.720036,-0.688014,-0.093873,0.693936,0.713891
-0.910044,-1.47226,0.0638997,0.942445,0,0.334361,0.128468,0.923241,-0.362106,-0.308696,0.38422,0.870104
-0.840343,-1.51221,0.0696579,0.980983,0,0.194094,-0.0328303,0.985591,0.16593,-0.191297,-0.169147,0.966848
-0.734184,-1.49654,0.0678312,0.902097,0,-0.431534,-0.020688,0.99885,-0.0432471,0.431038,0.0479406,0.901059
-0.653759,-1.4998,0.0522291,0.717107,0,-0.696963,-0.00190257,0.999996,-0.00195756,0.69696,0.0027298,0.717105
-0.593568,-1.50123,0.0541177,0.730655,0,-0.682747,0.011652,0.999854,0.0124697,0.682647,-0.0170664,0.730549
-0.543374,-1.49949,0.0632885,0.848066,0,-0.52989,-0.00370655,0.999976,-0.00593217,0.529877,0.00699494,0.848046
-0.501939,-1.49789,0.070469,0.966703,0,-0.255901,-0.00748328,0.999572,-0.0282692,0.255792,0.0292429,0.96629
-0.460743,-1.49875,0.0712391,0.999767,0,0.0216035,0.000375045,0.999849,-0.0173564,-0.0216002,0.0173604,0.999616
-0.406558,-1.50218,0.0709418,0.992877,0,0.119147,-0.00359931,0.999544,0.0299938,-0.119093,-0.0302089,0.992423
-0.334532,-1.50274,0.0743186,0.999534,0,-0.0305262,0.00115771,0.999281,0.0379075,0.0305042,-0.0379251,0.998815
-0.263654,-1.49459,0.0719456,0.986348,0,-0.164674,-0.0123425,0.997187,-0.0739283,0.16421,0.0749516,0.983574
-0.203454,-1.49681,0.0675921,0.988661,0,-0.150162,-0.00663128,0.999024,-0.0436601,0.150016,0.0441608,0.987697
-0.14645,-1.50775,0.0698012,0.995749,0,-0.0921032,0.00989171,0.994216,0.106942,0.0915705,-0.107398,0.98999
-0.0814194,-1.51415,0.0782184,0.989117,0,-0.14713,0.028824,0.980622,0.193776,0.144279,-0.195908,0.96995
0.00123096,-1.51407,0.0848567,0.893209,0,-0.449642,0.0876117,0.980834,0.17404,0.441024,-0.194848,0.876089
0.0813145,-1.50544,0.0836212,0.709982,0,-0.70422,0.0530484,0.997159,0.0534825,0.702219,-0.0753294,0.707965
0.134358,-1.49074,0.08895,0.804605,0,-0.59381,-0.0761292,0.991748,-0.103154,0.58891,0.128205,0.797965
0.116521,-1.48839,0.079657,0.858545,0,0.512738,0.0824132,0.986998,-0.137995,-0.506071,0.160732,0.847383
0.149808,-1.50518,0.0485149,0.445447,0,0.895308,-0.0641737,0.997428,0.0319287,-0.893005,-0.0716778,0.444301
