filename,auxpts,lam,beta,max_error,mean_error,median_error,min_error,std_error,n_points
E_tangential_error1_auxpts2_lambda060_beta000.csv,2,0.06,0.0,0.222906,0.08200499164444444,0.0711037,0.000198592,0.05745958515897805,225
E_tangential_error1_auxpts2_lambda060_beta052.csv,2,0.06,0.052,0.495187,0.23415498,0.23249,0.0476021,0.09877028141377107,225
E_tangential_error1_auxpts2_lambda060_beta104.csv,2,0.06,0.104,0.815831,0.3837528871111111,0.378237,0.0871818,0.16263362825422936,225
E_tangential_error1_auxpts2_lambda060_beta157.csv,2,0.06,0.157,0.921307,0.4391921688888889,0.431672,0.100379,0.18813441663202232,225
E_tangential_error1_auxpts3_lambda060_beta000.csv,3,0.06,0.0,0.0869853,0.010870974055785125,0.0076919,0.00031782,0.012002079657063748,484
E_tangential_error1_auxpts3_lambda060_beta052.csv,3,0.06,0.052,0.135989,0.04309604144628099,0.041867150000000006,0.00252899,0.02436838798884608,484
E_tangential_error1_auxpts3_lambda060_beta104.csv,3,0.06,0.104,0.176925,0.0732587167768595,0.0729706,0.00235674,0.038800294825723315,484
E_tangential_error1_auxpts3_lambda060_beta157.csv,3,0.06,0.157,0.192289,0.08450159270661158,0.08346804999999999,0.00255113,0.04431857901076739,484
E_tangential_error1_auxpts4_lambda060_beta000.csv,4,0.06,0.0,0.0452923,0.003178540670570749,0.00182213,4.06622e-06,0.004932712940566621,841
E_tangential_error1_auxpts4_lambda060_beta052.csv,4,0.06,0.052,0.0546985,0.013489044290130797,0.0104102,0.000675931,0.01011113352801098,841
E_tangential_error1_auxpts4_lambda060_beta104.csv,4,0.06,0.104,0.0712036,0.022694009916765755,0.0178238,0.00168805,0.016554381155126096,841
E_tangential_error1_auxpts4_lambda060_beta157.csv,4,0.06,0.157,0.080115,0.026124447693222353,0.0204055,0.00203607,0.019018236327816785,841
E_tangential_error1_auxpts5_lambda060_beta000.csv,5,0.06,0.0,0.031944,0.0014646321172299384,0.000397055,7.50709e-06,0.0035565169844444014,1296
E_tangential_error1_auxpts5_lambda060_beta052.csv,5,0.06,0.052,0.0354578,0.005571191372067901,0.0032721850000000004,4.40145e-05,0.005607533175122091,1296
E_tangential_error1_auxpts5_lambda060_beta104.csv,5,0.06,0.104,0.0451305,0.00924103451689815,0.00566236,4.66563e-05,0.00862692410626746,1296
E_tangential_error1_auxpts5_lambda060_beta157.csv,5,0.06,0.157,0.0488789,0.010630967671296296,0.00672991,0.00018867,0.009820933194331239,1296
E_tangential_error1_auxpts2_lambda066_beta000.csv,2,0.066,0.0,0.410284,0.13234376306508874,0.128602,0.00028524,0.0947380891502793,169
E_tangential_error1_auxpts2_lambda066_beta052.csv,2,0.066,0.052,0.463347,0.21709263254437872,0.204098,0.0081131,0.10333393048981707,169
E_tangential_error1_auxpts2_lambda066_beta104.csv,2,0.066,0.104,0.664736,0.30775340059171596,0.281118,0.0143525,0.16053718553278487,169
E_tangential_error1_auxpts2_lambda066_beta157.csv,2,0.066,0.157,0.766442,0.34355653372781064,0.30809,0.0256297,0.18379792303700845,169
E_tangential_error1_auxpts3_lambda066_beta000.csv,3,0.066,0.0,0.0877825,0.019259096530000002,0.01476775,0.000772712,0.015512003621595325,400
E_tangential_error1_auxpts3_lambda066_beta052.csv,3,0.066,0.052,0.134827,0.058816573100000005,0.05897395,0.00626419,0.02916531806232892,400
E_tangential_error1_auxpts3_lambda066_beta104.csv,3,0.066,0.104,0.228722,0.09706022955000002,0.09877605,0.00460553,0.0482164242474225,400
E_tangential_error1_auxpts3_lambda066_beta157.csv,3,0.066,0.157,0.262094,0.11143322172499999,0.11164299999999999,0.00719961,0.05536130952401431,400
E_tangential_error1_auxpts4_lambda066_beta000.csv,4,0.066,0.0,0.0462417,0.00507935752662722,0.00336659,0.000111501,0.005833059731713588,676
E_tangential_error1_auxpts4_lambda066_beta052.csv,4,0.066,0.052,0.0617512,0.017184117196745563,0.0145557,0.000470443,0.010904703980988832,676
E_tangential_error1_auxpts4_lambda066_beta104.csv,4,0.066,0.104,0.0809095,0.028359353905325443,0.0239467,0.00101286,0.018006889235149485,676
E_tangential_error1_auxpts4_lambda066_beta157.csv,4,0.066,0.157,0.0929709,0.0325736472928994,0.027591749999999998,0.0022386,0.02067232898255349,676
E_tangential_error1_auxpts5_lambda066_beta000.csv,5,0.066,0.0,0.0313366,0.0019137928860058593,0.000516173,4.67935e-06,0.0040708800411265065,1024
E_tangential_error1_auxpts5_lambda066_beta052.csv,5,0.066,0.052,0.0386469,0.006030637294921874,0.003910545,0.000172972,0.005729940455840982,1024
E_tangential_error1_auxpts5_lambda066_beta104.csv,5,0.066,0.104,0.0429154,0.009728379667285156,0.00638582,7.60552e-05,0.00862696613601519,1024
E_tangential_error1_auxpts5_lambda066_beta157.csv,5,0.066,0.157,0.0467916,0.011153755943359375,0.00742202,0.000140264,0.009775200212535584,1024
E_tangential_error1_auxpts2_lambda073_beta000.csv,2,0.073,0.0,0.284235,0.1296750784722222,0.1196305,0.0124053,0.07217441693308407,144
E_tangential_error1_auxpts2_lambda073_beta052.csv,2,0.073,0.052,0.402237,0.15834039374999997,0.1542645,0.0116647,0.0877902820887554,144
E_tangential_error1_auxpts2_lambda073_beta104.csv,2,0.073,0.104,0.445089,0.21404826805555555,0.2048885,0.0562922,0.09295176122347755,144
E_tangential_error1_auxpts2_lambda073_beta157.csv,2,0.073,0.157,0.505914,0.23507192638888888,0.23917549999999999,0.0209199,0.10071248565187166,144
E_tangential_error1_auxpts3_lambda073_beta000.csv,3,0.073,0.0,0.0902493,0.022911868117283952,0.01787205,0.00266051,0.015912163395198974,324
E_tangential_error1_auxpts3_lambda073_beta052.csv,3,0.073,0.052,0.161142,0.060447547932098764,0.0549047,0.00261956,0.031506584964435834,324
E_tangential_error1_auxpts3_lambda073_beta104.csv,3,0.073,0.104,0.271462,0.0999637549382716,0.09268599999999999,0.0171754,0.0491032468312575,324
E_tangential_error1_auxpts3_lambda073_beta157.csv,3,0.073,0.157,0.309478,0.11487428086419754,0.1051925,0.0283598,0.05564795714499955,324
E_tangential_error1_auxpts4_lambda073_beta000.csv,4,0.073,0.0,0.0423039,0.006040533819444444,0.0041944,0.000166301,0.006280539322053295,576
E_tangential_error1_auxpts4_lambda073_beta052.csv,4,0.073,0.052,0.0590869,0.01774254640625,0.01617315,0.00103948,0.01109424215176107,576
E_tangential_error1_auxpts4_lambda073_beta104.csv,4,0.073,0.104,0.0824964,0.02913585095486111,0.0259449,0.00130348,0.017816536463161614,576
E_tangential_error1_auxpts4_lambda073_beta157.csv,4,0.073,0.157,0.0952611,0.033404562015625,0.02976995,0.000265553,0.02041916127338414,576
E_tangential_error1_auxpts5_lambda073_beta000.csv,5,0.073,0.0,0.0313599,0.002714247354827586,0.00101919,2.48537e-06,0.004710242079521712,841
E_tangential_error1_auxpts5_lambda073_beta052.csv,5,0.073,0.052,0.0421532,0.007398031615933413,0.00513434,0.000425605,0.006047943965113571,841
E_tangential_error1_auxpts5_lambda073_beta104.csv,5,0.073,0.104,0.0477479,0.01175062502021403,0.0082751,0.000877522,0.008876195314617913,841
E_tangential_error1_auxpts5_lambda073_beta157.csv,5,0.073,0.157,0.0470145,0.013408127395957195,0.00946485,0.00132237,0.010043903070249958,841
E_tangential_error1_auxpts2_lambda080_beta000.csv,2,0.08,0.0,0.447966,0.1398615533305785,0.115522,0.000542696,0.11292056436423306,121
E_tangential_error1_auxpts2_lambda080_beta052.csv,2,0.08,0.052,0.646261,0.2435704479338843,0.218877,0.0387844,0.1360459174911043,121
E_tangential_error1_auxpts2_lambda080_beta104.csv,2,0.08,0.104,0.76788,0.355745226446281,0.330054,0.0241857,0.20619553163391005,121
E_tangential_error1_auxpts2_lambda080_beta157.csv,2,0.08,0.157,0.823177,0.39936178677685946,0.399784,0.0358029,0.23505160137033707,121
E_tangential_error1_auxpts3_lambda080_beta000.csv,3,0.08,0.0,0.0938159,0.03117059240234375,0.02710545,0.000433066,0.019882491583896666,256
E_tangential_error1_auxpts3_lambda080_beta052.csv,3,0.08,0.052,0.156124,0.06023298265625,0.05499945,0.00297578,0.032030383890194414,256
E_tangential_error1_auxpts3_lambda080_beta104.csv,3,0.08,0.104,0.251977,0.093564786328125,0.0871961,0.011699,0.049946112773887524,256
E_tangential_error1_auxpts3_lambda080_beta157.csv,3,0.08,0.157,0.283771,0.1066135515625,0.1009235,0.0198889,0.05647966149654226,256
E_tangential_error1_auxpts4_lambda080_beta000.csv,4,0.08,0.0,0.0483829,0.007141366192975207,0.00323372,3.04354e-05,0.009609929649646557,484
E_tangential_error1_auxpts4_lambda080_beta052.csv,4,0.08,0.052,0.0787016,0.017979440440082647,0.01404975,0.000609466,0.013888926283396857,484
E_tangential_error1_auxpts4_lambda080_beta104.csv,4,0.08,0.104,0.0942737,0.028577954648760333,0.0227556,0.00277915,0.021178171191758917,484
E_tangential_error1_auxpts4_lambda080_beta157.csv,4,0.08,0.157,0.104685,0.03257061336776859,0.02479985,0.00357181,0.024094836873340506,484
E_tangential_error1_auxpts5_lambda080_beta000.csv,5,0.08,0.0,0.0359251,0.0048315789553497945,0.00247693,7.61899e-06,0.006092758682880831,729
E_tangential_error1_auxpts5_lambda080_beta052.csv,5,0.08,0.052,0.0482369,0.011356937478737996,0.00969983,0.000207452,0.00757354848694158,729
E_tangential_error1_auxpts5_lambda080_beta104.csv,5,0.08,0.104,0.0553172,0.01740640322770919,0.0147528,0.000488423,0.011734823411025242,729
E_tangential_error1_auxpts5_lambda080_beta157.csv,5,0.08,0.157,0.0563128,0.019700421835390947,0.0160725,0.000180187,0.013454999365677496,729
