-11.8498+6.23428i,-1.67867+-1.0234i,-1.23279+0.0514288i,-1.17132+-0.00408646i,-0.67445+-0.00662126i,-0.234649+0.123873i,-0.526022+-0.0100871i,-0.70828+0.0284576i,-0.619517+0.0137336i,-0.349959+-0.0236008i,0.37092+-0.0103431i,0.60499+0.0153124i,0.665266+-0.0207885i,0.591427+-0.0354995i,0.359894+-0.0257653i,0.76173+-0.0019208i,1.1981+0.0245746i,1.371+-0.0332938i,1.22227+-0.0113117i,0.714457+-0.00915541i,0.431085+-0.0450493i,0.609464+0.0561545i,0.648642+-0.0146835i,0.634419+0.0103999i,0.363099+-0.00894155i,4.97095+-3.19896i,-1.3571+-0.304537i,-1.32983+0.00619385i,-1.20723+0.0107798i,-0.690868+0.000638523i,-0.66031+-0.436727i,-0.517702+-0.0999291i,-0.671994+-0.0112684i,-0.562444+0.0320354i,-0.335242+0.0193348i,0.462639+-0.0927583i,0.652367+0.0539592i,0.673454+0.0219719i,0.567142+0.0180644i,0.340447+0.00430654i,0.753693+0.00765693i,1.16792+0.0514926i,1.35669+-0.0189066i,1.18954+-0.0512683i,0.696581+-0.0152881i,0.33436+0.0347403i,0.563529+0.0295731i,0.666795+-0.00986302i,0.594878+-0.0617172i,0.349875+-0.0226777i,-10.6516+6.23813i,-0.0554476+-0.0381145i,-0.527308+0.0884356i,-0.68606+0.00777585i,-0.564883+0.00326156i,0.806967+0.265711i,0.335073+0.0263831i,-0.0434838+-0.00598527i,-0.245584+-0.0131308i,-0.275708+-0.00436021i,1.27693+-0.00725506i,1.24427+-0.00610377i,1.03465+-0.00399139i,0.661524+0.0152965i,0.251569+0.0256805i,1.56179+-0.000166228i,1.69278+-0.00402771i,1.55251+0.00695405i,1.08458+0.0151734i,0.488866+0.0252273i,1.25317+-0.0180012i,1.23869+-0.00331724i,1.03395+-0.0185057i,0.636807+0.019458i,0.228214+0.0102127i,6.16343+-3.19884i,-0.091487+-0.231955i,-0.519874+0.0495467i,-0.71394+-0.00777585i,-0.537899+-0.00109962i,0.723902+0.0277303i,0.454326+-0.00730904i,-0.0259307+0.0393119i,-0.272673+0.00459006i,-0.29854+-0.0155363i,1.30371+-0.0257686i,1.23009+0.0410212i,0.995586+-0.0245639i,0.659034+-0.0214242i,0.249686+-0.0154872i,1.52706+-0.0311437i,1.68556+-0.00805543i,1.55981+-0.0169942i,1.12304+0.0143118i,0.512263+0.0184729i,1.20288+0.00213325i,1.24962+-0.0308811i,1.04216+-0.00616221i,0.668853+0.0167291i,0.249623+0.028021i
-0.172729+0.343115i,1.22551+-1.1475i,-1.24849+-0.998036i,-0.553778+0.00971681i,-0.450759+0.0315688i,-0.268444+0.0882202i,-0.41854+0.0739443i,-0.44108+0.0399397i,-0.366534+0.0802068i,-0.273809+-0.00102964i,0.194044+-0.0193525i,0.350284+-0.0415895i,0.408747+-0.0176003i,0.351994+-0.0165797i,0.208158+-0.0437911i,0.415536+-0.00658119i,0.721709+-0.0163279i,0.816122+0.00186659i,0.710559+0.0220921i,0.431228+-0.0106885i,0.191535+-0.0243692i,0.353526+-0.0373412i,0.398873+-0.0341054i,0.395213+0.000870569i,0.211938+-0.0217855i,-0.4+-6.93889e-17i,-0.69282+1.55366e-15i,-0.8+-5.55112e-17i,-0.69282+1.73472e-18i,-0.4+-3.46945e-18i,-0.23629+0.00185272i,-0.264784+-0.0728718i,-0.298659+0.0357748i,-0.322599+0.0490386i,-0.207155+0.00693023i,0.219645+-0.00845987i,0.346884+0.0264346i,0.358153+-0.00930956i,0.303624+-0.00486004i,0.188888+-0.0155287i,0.406648+-0.010051i,0.692055+0.00668009i,0.809417+-0.0255466i,0.684667+-0.0309471i,0.40838+-0.0163243i,0.168532+-0.0225091i,0.347238+-0.0122191i,0.412217+-0.0178623i,0.337188+-0.0229485i,0.203409+-0.0124577i,1.52468+-0.422314i,2.79361+-1.14926i,0.329699+-0.559116i,-0.168626+0.0696375i,-0.341195+-0.00402771i,1.55724+0.0147229i,1.0467+0.00708512i,0.530733+-0.0181994i,0.0325519+-0.0201102i,-0.184381+-0.0398653i,1.93378+-0.0178456i,1.67236+0.00588759i,1.17567+0.0281764i,0.617738+0.0208924i,0.148395+0.0117869i,2.07997+0.00777585i,1.9033+0.019536i,1.44221+0.00995752i,0.840731+0.00389664i,0.26407+0.0235377i,1.93659+-0.019249i,1.6724+0.00596047i,1.1795+0.0230158i,0.5949+0.0267523i,0.115383+0.017345i,1.46603+8.32667e-17i,0.866025+-3.21965e-15i,0.266025+-4.85723e-17i,-0.173205+6.93889e-18i,-0.333975+-1.73472e-18i,1.49156+-0.0533269i,1.13493+-0.0171072i,0.583334+0.0691747i,0.0512891+0.0168273i,-0.198498+-0.00529855i,1.95278+-0.000438672i,1.62993+0.00110161i,1.1709+-0.027146i,0.63006+-0.0179195i,0.134167+-0.0145455i,2.09017+0.0134682i,1.90295+0.0019046i,1.47516+0.00567395i,0.876646+0.015998i,0.285979+0.0123944i,1.92813+-0.0239887i,1.66393+0.00380635i,1.17239+0.0120149i,0.612235+0.010258i,0.132681+0.00868694i
-0.0257625+0.0266988i,-0.0941439+-0.326257i,8.42965+-4.86505i,-0.325388+-0.68807i,0.150288+0.0574059i,-0.0484033+-0.0468901i,-0.0751413+0.0199212i,-0.0813116+0.00464227i,-0.00921016+0.0504236i,-0.00562114+0.100018i,0.0266275+-0.0339129i,0.0234343+-0.0200569i,0.0481873+0.00272599i,0.0372342+-0.0342254i,-0.0420709+-0.0311302i,0.0276026+-0.0121185i,0.0187809+0.0119734i,0.00927933+0.0453282i,0.0446948+0.0226097i,-0.00167414+-0.0385472i,0.00235839+-0.0254825i,0.0152817+-0.0174797i,0.0481873+0.00272599i,0.0398933+-0.0382041i,-0.0261685+-0.0215098i,-0.0902021+-0.0160245i,0.213633+0.419529i,0.00295121+-0.000320326i,-0.220694+-0.42385i,0.0664979+0.0164956i,-0.0311966+-0.0874131i,-0.111862+-0.0465741i,0.0105324+0.0158658i,0.11165+0.0211648i,0.000403801+0.0601242i,0.0420353+-0.0146019i,0.0187152+-0.00591612i,-0.0161356+0.00306i,-0.00610429+0.00913353i,-0.0275438+-0.016663i,0.0230697+0.00716708i,0.00503598+0.00245205i,-0.006994+-0.00606903i,-0.00252866+0.00266249i,-0.00407183+-0.0193962i,0.0140118+-0.00486729i,0.0024098+-0.000761771i,-0.0012412+0.000235385i,-0.000786001+0.00117605i,-0.00918125+-0.00555432i,2.03343+0.043075i,1.67072+-0.751216i,9.46715+-4.84296i,0.469327+-0.713154i,-0.0220396+0.101921i,2.05285+-0.0329815i,1.56482+-0.0374299i,0.942425+-0.0315426i,0.364356+0.0442034i,-0.111293+0.0287242i,2.05562+0.0240696i,1.60482+0.0346637i,0.998248+0.0372828i,0.415724+0.0199882i,-0.0253008+-0.0270208i,2.03584+0.0207191i,1.57139+0.00698376i,0.967626+-0.00676871i,0.377641+0.0108638i,-0.0224906+0.00409714i,2.05461+0.003169i,1.61034+0.0272325i,0.998248+0.0372828i,0.410205+0.0274195i,-0.0242944+-0.00612016i,2.02596+-0.0339749i,1.6014+-0.0380611i,1+2.46519e-32i,0.398603+0.0380611i,-0.0259577+0.0339749i,2.0887+-0.0356258i,1.60046+-0.0816334i,1+1.67261e-18i,0.399541+0.0816334i,-0.0886963+0.0356258i,2.04065+0.0294971i,1.5891+0.0146755i,1+-1.97699e-18i,0.4109+-0.0146755i,-0.0406508+-0.0294971i,2.02761+0.00959672i,1.59375+-0.00388005i,1+1.68519e-34i,0.406247+0.00388005i,-0.0276069+-0.00959672i,2.03949+0.0053631i,1.60014+-0.000187017i,1+1.97699e-18i,0.399861+0.000187017i,-0.0394887+-0.0053631i
0.425571+-0.046443i,0.742724+0.0414087i,0.391542+-0.965637i,2.61582+-1.2189i,0.541206+0.0530631i,0.251154+-0.0212613i,0.31225+-0.0543729i,0.338244+0.0648272i,0.277527+0.108938i,0.220362+0.0753639i,-0.17935+0.0155237i,-0.302376+0.00911698i,-0.361312+-0.0414837i,-0.367009+-0.0252427i,-0.199893+0.0284532i,-0.382233+0.000671042i,-0.666302+0.0275386i,-0.751922+0.0100429i,-0.684984+-0.0297931i,-0.422156+0.0376931i,-0.190933+-0.0337503i,-0.320652+-0.0427009i,-0.398262+-0.0532147i,-0.36655+-0.0456704i,-0.218378+0.0475472i,0.425966+-0.0308251i,0.6393+-0.011472i,0.896212+0.193539i,10.5127+-5.51358i,0.253496+-0.499895i,0.206026+-0.00314554i,0.36082+-0.0405532i,0.29169+-0.0794794i,0.182911+0.103115i,0.307818+0.09673i,-0.196882+0.00242362i,-0.3319+0.0234284i,-0.353945+0.0104828i,-0.327483+-0.0501544i,-0.255457+0.00436604i,-0.4+6.28837e-18i,-0.69282+2.14672e-17i,-0.8+2.94903e-17i,-0.69282+-7.37257e-18i,-0.4+-1.56125e-17i,-0.197831+0.0164084i,-0.351849+-0.00277044i,-0.424299+-0.00352007i,-0.362931+0.0330034i,-0.16343+0.021264i,2.07325+0.00402771i,1.92037+0.0966087i,1.5297+-0.559116i,2.79361+-1.14926i,0.333191+-0.654269i,1.92666+0.021333i,1.65607+-0.0226828i,1.13073+-0.0181994i,0.543444+0.0144867i,0.200967+0.0529361i,1.60381+0.0192934i,1.116+0.0263705i,0.575668+0.0281764i,0.111437+0.00244389i,-0.203582+0.000833265i,1.45255+0.0163818i,0.840731+0.00389664i,0.242207+0.00995752i,-0.172858+0.0176314i,-0.347915+-0.00777585i,1.63682+0.0137354i,1.13884+0.0205106i,0.579501+0.0230158i,0.111393+0.002371i,-0.206389+0.0022366i,2.07853+0.0069762i,1.91579+0.0269712i,1.48319+-0.467681i,10.6754+-5.54055i,0.28077+-0.401758i,1.93141+0.0100544i,1.67638+-0.0166531i,1.14866+-0.0595261i,0.594859+0.0160838i,0.263587+0.0594684i,1.6065+0.0130951i,1.10821+0.0163234i,0.563361+0.0241665i,0.10274+-7.91184e-05i,-0.208637+-0.00560887i,1.46603+-1.30104e-18i,0.866025+-1.04083e-17i,0.266025+-1.0842e-18i,-0.173205+6.93889e-18i,-0.333975+-1.12757e-17i,1.61395+-0.0111422i,1.1335+-0.0137695i,0.564943+-0.0191228i,0.0694787+-0.00155687i,-0.1756+0.0137513i
0.67175+0.0620252i,1.23471+0.0602755i,1.56627+-0.00134889i,0.822276+-0.669588i,-11.2096+5.39678i,0.335093+0.0240653i,0.605553+0.0365255i,0.751641+-0.00495711i,0.732663+0.0423416i,0.578891+-0.0564458i,-0.302963+-0.00755095i,-0.580627+-0.04237i,-0.737233+-0.0181314i,-0.572723+-0.0442219i,-0.388935+-0.0349536i,-0.635723+-0.00679017i,-1.16166+-0.0322248i,-1.41246+-0.0353701i,-1.16045+0.00121726i,-0.649201+-0.0519956i,-0.340731+-0.0405702i,-0.634404+-0.0288532i,-0.718695+0.0364259i,-0.621345+0.00126545i,-0.29068+0.00507675i,0.699967+-0.00046799i,1.19971+0.0248846i,1.49388+-0.0314399i,0.770976+-0.514849i,11.6265+-6.81859i,0.387897+-0.0506605i,0.556208+-0.0677081i,0.603966+0.0646803i,0.698089+0.14185i,0.859308+0.114809i,-0.296369+-0.00939088i,-0.553225+-0.0307514i,-0.694667+-0.0651484i,-0.678278+-0.00865425i,-0.386749+0.111705i,-0.700164+-0.0158959i,-1.21504+-0.0123759i,-1.40249+0.00856704i,-1.18733+0.0121008i,-0.706122+-0.0271145i,-0.401607+0.00353488i,-0.655675+0.0292092i,-0.695367+0.0740257i,-0.510944+0.0105021i,-0.320805+-0.124504i,1.51588+0.00135695i,1.68606+-0.00777585i,1.55115+0.0884356i,1.13604+0.19384i,-10.6516+6.23813i,1.26634+-5.06037e-05i,1.25627+-0.00284638i,0.995747+-0.00598527i,0.584811+0.0130194i,0.273076+0.0265302i,0.751927+0.0129264i,0.354365+0.0165019i,-0.00457665+-0.00399139i,-0.240422+-0.0137576i,-0.258163+0.00349107i,0.488866+0.0252273i,-0.103901+0.0223293i,-0.525951+0.00695405i,-0.692779+0.00402771i,-0.506133+0.026805i,0.775282+0.0283941i,0.379082+0.0123405i,-0.00527552+-0.0185057i,-0.234848+-0.0165441i,-0.234408+0.0142372i,1.54189+-0.00219925i,1.67212+-0.0155517i,1.57794+0.0990935i,1.11703+-0.46391i,11.8269+-6.39767i,1.30069+0.0149834i,1.2698+-0.0204931i,0.998879+-0.0198291i,0.585682+0.0179464i,0.279007+0.0210077i,0.757411+0.0201874i,0.349171+0.0200428i,0.0040102+0.016184i,-0.236062+-0.0380377i,-0.323308+0.0169053i,0.506132+0.00923646i,-0.0884796+0.0071559i,-0.528939+-0.00849709i,-0.707221+-0.00402771i,-0.545314+-0.0155718i,0.76599+-0.0176806i,0.356406+-0.0209818i,-0.0435366+-0.0223293i,-0.267995+0.0400658i,-0.245988+-0.0216324i
-0.179455+0.207711i,-0.564498+0.00772383i,-0.705183+0.0608977i,-0.588784+0.00192854i,-0.328171+-0.00110846i,-11.8493+6.23406i,-1.52031+-0.7167i,-1.32781+0.0348827i,-1.18161+0.0148356i,-0.669689+-0.00396546i,0.0288962+0.54543i,-0.683138+0.0951679i,-0.738452+-0.0342899i,-0.653029+0.0240208i,-0.350296+-0.0223641i,0.28387+0.0367363i,0.588419+-0.0576544i,0.709142+-0.0312405i,0.578143+-0.0536311i,0.359863+-0.0338662i,0.704225+-0.0101031i,1.22193+-0.0173143i,1.4147+-0.0113058i,1.22852+-0.0189665i,0.718571+-0.0225737i,0.0281474+0.53412i,-0.629623+0.064286i,-0.699673+0.0412491i,-0.650527+-0.027948i,-0.355698+-0.0177856i,10.6347+-6.39792i,-1.5142+-0.609074i,-1.27402+0.0123877i,-1.21445+0.0215596i,-0.688916+0.00127705i,-0.417677+-0.0471527i,-0.640307+-0.0169672i,-0.693731+-0.057905i,-0.532253+0.0225216i,-0.327721+0.0255313i,0.438827+-0.079497i,0.649912+0.0410586i,0.679506+0.0203574i,0.573008+0.0248061i,0.341018+0.00850565i,0.723257+0.00382847i,1.18396+0.0257463i,1.37117+-0.00945328i,1.19477+-0.0256342i,0.6947+-0.00764406i,0.792691+0.0265302i,0.284811+0.0130194i,-0.0345591+-0.0124129i,-0.243729+-0.00284638i,-0.292504+-5.06037e-05i,-10.6516+6.23813i,-0.0639606+0.19384i,-0.560834+0.00261816i,-0.71394+-0.00777585i,-0.562576+0.00135695i,0.790172+-0.0156781i,0.268056+0.00856447i,-0.00109136+-0.0365167i,-0.250459+-0.0401557i,-0.268243+-0.0062756i,1.32444+0.0142372i,1.26515+-0.0165441i,1.036+0.0240696i,0.679082+0.0123405i,0.255666+0.0283941i,1.57233+0.026805i,1.70722+0.00402771i,1.53468+0.0216714i,1.0961+0.0223293i,0.488866+0.0252273i,0.798622+0.0210077i,0.285682+0.0179464i,-0.0403514+-0.0198291i,-0.230196+-0.0204931i,-0.258151+0.0149834i,11.8269+-6.39767i,-0.082974+-0.46391i,-0.500518+0.0990935i,-0.727881+-0.0155517i,-0.536567+-0.00219925i,0.711297+-0.183468i,0.416744+-0.0173014i,-0.00531992+0.0244678i,-0.269978+0.0195289i,-0.307878+-0.0131403i,1.31286+-0.0216324i,1.23201+0.0400658i,0.995694+-0.0223293i,0.656406+-0.0209818i,0.246374+-0.0176806i,1.53315+-0.0155718i,1.69278+-0.00402771i,1.54952+-0.00849709i,1.11152+0.0071559i,0.506132+0.00923646i
-0.205122+0.0360644i,-0.441274+0.0864647i,-0.36796+0.0744685i,-0.357412+-0.0573549i,-0.202704+-0.0229357i,-0.333211+0.034983i,1.22481+-1.14593i,-1.30586+-1.1104i,-0.611283+0.00153455i,-0.429178+-0.0068735i,-0.186347+0.0231426i,-0.450736+0.0911619i,-0.462698+0.0292919i,-0.364732+0.0743508i,-0.250718+-0.00839609i,0.202993+0.00685613i,0.352976+-0.0485534i,0.421784+-0.0135062i,0.358806+-0.0195394i,0.206136+-0.0364329i,0.405861+0.00912239i,0.72647+-0.0136721i,0.823106+0.00878578i,0.726083+0.026381i,0.420149+-0.0114799i,-0.134224+-0.0246023i,-0.434127+0.0760994i,-0.505174+-0.0376246i,-0.369915+-0.0589355i,-0.184192+-0.00944322i,-0.675398+-0.53121i,9.11584+-5.53898i,-0.698891+0.193869i,-0.75385+-0.009881i,-0.385638+-0.0275347i,-0.139355+-0.0729363i,-0.313517+-0.0470511i,-0.375978+-0.00154405i,-0.320146+-0.0301367i,-0.178711+-0.00133118i,0.226787+0.0102494i,0.34614+0.0183115i,0.374786+0.00594338i,0.333343+0.0110305i,0.193542+0.00137867i,0.4+9.32414e-18i,0.69282+6.83047e-18i,0.8+-2.38524e-17i,0.69282+-2.25514e-17i,0.4+-7.80626e-18i,1.70097+0.0529361i,1.06306+0.0144867i,0.530633+-0.000450471i,0.097221+-0.0226828i,-0.173343+0.021333i,1.53319+-0.654269i,2.79361+-1.14926i,0.319789+-0.2891i,-0.15809+0.0966087i,-0.326754+0.00402771i,1.6733+0.0455797i,1.06072+0.0134265i,0.530876+-0.0437858i,0.0229349+-0.0197276i,-0.182368+-0.0287068i,1.89361+0.0022366i,1.67024+0.002371i,1.17085+0.0346637i,0.619227+0.0205106i,0.136822+0.0137354i,2.05209+-0.00777585i,1.9056+0.0176314i,1.43693+0.00668166i,0.840731+0.00389664i,0.25255+0.0163818i,1.76359+0.0594684i,1.11447+0.0160838i,0.548662+-0.0595261i,0.117537+-0.0166531i,-0.168593+0.0100544i,1.48077+-0.401758i,10.6754+-5.54055i,0.28319+-0.467681i,-0.162668+0.0269712i,-0.321468+0.0069762i,1.6159+-0.0202666i,1.15077+-0.00994313i,0.583518+0.0364695i,0.0819423+0.0156078i,-0.193881+0.0203029i,1.9244+0.0137513i,1.62832+-0.00155687i,1.16494+-0.0191228i,0.613886+-0.0137695i,0.113953+-0.0111422i,2.06603+1.56125e-17i,1.90526+-7.80626e-18i,1.46603+1.30104e-18i,0.866025+8.23994e-18i,0.266025+1.73472e-18i
0.00563085+0.104514i,0.0367209+0.0664953i,-0.0813116+0.00464227i,-0.12086+0.0292588i,-0.00632055+-0.00411975i,0.130472+0.054454i,-0.307777+-0.745786i,8.42965+-4.86505i,-0.104694+-0.26422i,0.03511+0.0288347i,-0.0175266+0.0396265i,-0.0319519+0.0379032i,-0.0813116+0.00464227i,-0.0523176+0.042252i,-0.0060208+0.0405109i,-0.0219107+-0.0170521i,0.0128719+-0.016718i,0.0481873+0.00272599i,0.0406793+-0.0393802i,-0.0102661+-0.0118895i,-0.0123552+-0.0245322i,0.0137449+0.00952133i,0.00927933+0.0453282i,0.0472235+0.0199472i,0.00537848+-0.00495187i,0.0311966+0.0874131i,0.111862+0.0465741i,-0.0105324+-0.0158658i,-0.11165+-0.0211648i,-0.000403801+-0.0601242i,0.0902021+0.0160245i,-0.213633+-0.419529i,-0.00295121+0.000320326i,0.220694+0.42385i,-0.0664979+-0.0164956i,0.00445666+0.0124876i,-0.0254833+-0.01061i,0.00351079+0.0052886i,0.0254349+0.00482154i,-5.76858e-05+-0.00858918i,-0.0140118+0.00486729i,-0.0024098+0.000761771i,0.0012412+-0.000235385i,0.000786001+-0.00117605i,0.00918125+0.00555432i,-0.0230697+-0.00716708i,-0.00503598+-0.00245205i,0.006994+0.00606903i,0.00252866+-0.00266249i,0.00407183+0.0193962i,1.96717+0.0287242i,1.56436+0.0442034i,0.942425+-0.0315426i,0.364815+-0.0374299i,-0.0256152+-0.0329815i,2.05642+0.101921i,1.66933+-0.713154i,9.46715+-4.84296i,0.470724+-0.751216i,-0.0450287+0.043075i,2.01536+-0.00598527i,1.56471+-0.0181994i,0.942425+-0.0315426i,0.364464+0.0249729i,-0.0738087+0.00172794i,2.05417+-0.00612016i,1.6102+0.0274195i,0.998248+0.0372828i,0.410344+0.0272325i,-0.0238471+0.003169i,2.05597+0.00409714i,1.57764+0.0108638i,0.967626+-0.00676871i,0.371394+0.00698376i,-0.0426233+0.0207191i,1.98976+0.0356258i,1.59954+0.0816334i,1+-1.67261e-18i,0.400459+-0.0816334i,0.0102354+-0.0356258i,2.0525+0.0339749i,1.5986+0.0380611i,1+-2.46519e-32i,0.401397+-0.0380611i,-0.0525033+-0.0339749i,2.04541+-0.00445322i,1.60024+-0.0431724i,1+1.67261e-18i,0.399757+0.0431724i,-0.0454137+0.00445322i,2.03897+-0.0053631i,1.59986+0.000187017i,1+-1.97699e-18i,0.400139+-0.000187017i,-0.0389722+0.0053631i,2.05085+-0.00959672i,1.60625+0.00388005i,1+2.40741e-34i,0.393753+-0.00388005i,-0.0508541+0.00959672i
0.151098+-0.00757169i,0.288197+0.071981i,0.403685+0.0825948i,0.350346+0.0595054i,0.106928+0.019801i,0.39729+-0.00610104i,0.80023+0.049591i,0.331349+-1.07819i,2.60529+-1.24587i,0.552854+0.325035i,0.221306+-0.0158126i,0.315154+-0.0449847i,0.307911+0.0351566i,0.343619+0.0667397i,0.089837+0.0363426i,-0.18194+-0.00794975i,-0.30088+0.000629846i,-0.348633+-0.0373266i,-0.372526+-0.00592991i,-0.168475+-0.0248233i,-0.366389+-0.0228394i,-0.651928+0.0164467i,-0.755309+0.00926558i,-0.689745+-0.0324489i,-0.386519+0.022084i,0.207748+0.00208597i,0.334702+0.0324547i,0.50388+0.0763239i,0.499561+-0.0967504i,0.135004+-0.0908123i,0.4+-3.46945e-18i,0.69282+1.30104e-18i,0.8+-5.55112e-17i,0.69282+-4.3715e-16i,0.4+-4.51028e-17i,0.172567+-0.000571667i,0.350011+-0.00815916i,0.327393+-0.0540512i,0.224301+0.0776575i,0.203796+0.082355i,-0.208448+-0.0387735i,-0.352634+-0.0237898i,-0.404331+-0.0056425i,-0.332983+-0.010952i,-0.214139+-0.0517025i,-0.387493+-0.0373703i,-0.671076+-0.0377501i,-0.808547+-0.0388773i,-0.718343+0.0144856i,-0.348383+-0.00988745i,1.91562+-0.0398653i,1.5914+-0.0201102i,1.13063+-0.000450471i,0.527082+0.00708512i,0.0572436+0.0147229i,2.0588+-0.00402771i,1.90983+0.0696375i,1.51979+-0.2891i,2.79361+-1.14926i,0.324678+-0.422314i,1.92464+0.0101744i,1.66568+-0.0230654i,1.13088+-0.0437858i,0.529426+0.0081453i,0.0849117+0.0220793i,1.61538+0.017345i,1.11452+0.0267523i,0.57085+0.0346637i,0.113558+0.00596047i,-0.163412+-0.019249i,1.46407+0.0235377i,0.840731+0.00389664i,0.236933+0.00668166i,-0.175165+0.019536i,-0.320034+0.00777585i,1.9015+-0.00529855i,1.61013+0.0168273i,1.18333+0.0691747i,0.615314+-0.0171072i,-0.00843784+-0.0533269i,2.06603+-1.73472e-18i,1.90526+6.93889e-18i,1.46603+-3.46945e-17i,0.866025+-4.44089e-16i,0.266025+-1.38778e-17i,1.92872+-0.00482056i,1.672+-0.0164789i,1.14867+-0.0614892i,0.592597+0.0150603i,0.191342+0.0402597i,1.63268+0.00868694i,1.13185+0.010258i,0.572387+0.0120149i,0.105083+0.00380635i,-0.171872+-0.0239887i,1.48598+0.0123944i,0.876646+0.015998i,0.27516+0.00567395i,-0.175512+0.0019046i,-0.309829+0.0134682i
0.302436+0.00346631i,0.558515+0.0326099i,0.69891+0.0781362i,0.534118+-0.0762852i,0.418518+0.340855i,0.666989+0.0593694i,1.25207+0.0430159i,1.46832+-0.0558508i,0.778737+-1.07051i,-10.8691+5.76131i,0.341951+0.0216926i,0.61992+0.00777886i,0.68848+-0.0377732i,0.759846+-0.11818i,0.210167+0.00313604i,-0.308117+-0.00187935i,-0.56783+-0.0215545i,-0.696062+-0.0323105i,-0.543792+0.00457536i,-0.385497+-0.084843i,-0.655813+-0.00766441i,-1.18754+0.00194657i,-1.37286+0.01783i,-1.21299+0.0567517i,-0.591696+-0.0438134i,0.309314+0.0517724i,0.636722+0.0774851i,0.808835+-0.0466634i,0.520171+-0.192132i,-0.0884795+-0.0967826i,0.696394+-0.000233995i,1.19985+0.0124423i,1.43976+-0.01572i,0.985488+-0.257425i,6.15966+-3.40929i,0.387897+-0.0506605i,0.565156+-0.080081i,0.573788+0.0446615i,0.674981+0.205482i,0.859308+0.114809i,-0.3111+-0.0261223i,-0.581955+-0.0357295i,-0.709312+-0.0355574i,-0.64349+-0.00268984i,-0.428846+0.075136i,-0.707508+-0.0317917i,-1.23009+-0.0247518i,-1.41933+0.0171341i,-1.17467+0.0242016i,-0.719423+-0.054229i,1.28314+-0.00436021i,1.25442+-0.0131308i,1.00467+-0.0124129i,0.635073+0.0263831i,0.287352+0.265711i,1.51358+0.00326156i,1.71394+0.00777585i,1.51763+0.00261816i,1.14455+-0.0381145i,-10.6516+6.23813i,1.25888+0.00186478i,1.26115+0.0241785i,1.03814+-0.0365167i,0.651829+0.0308381i,0.289871+0.307919i,0.74783+0.0102127i,0.336807+0.019458i,-0.00322549+0.0240696i,-0.261305+-0.00331724i,-0.305673+-0.0180012i,0.488866+0.0252273i,-0.115421+0.0151734i,-0.543777+0.0216714i,-0.707221+-0.00402771i,-0.516669+-0.000166228i,1.26031+-0.0155363i,1.22733+0.00459006i,1.0133+0.0393119i,0.754326+-0.00730904i,0.204287+0.0277303i,1.54056+-0.00109962i,1.68606+-0.00777585i,1.55859+0.0495467i,1.10851+-0.231955i,6.16343+-3.19884i,1.2971+0.0159049i,1.27264+-0.00478289i,1.02464+-0.0383842i,0.546159+0.00743802i,0.274158+-0.0602223i,0.769238+0.028021i,0.368853+0.0167291i,0.00293422+-0.00616221i,-0.250377+-0.0308811i,-0.355962+0.00213325i,0.512263+0.0184729i,-0.0769593+0.0143118i,-0.518647+-0.0169942i,-0.714442+-0.00805543i,-0.551397+-0.0311437i
