Ex_Re,Ex_Im,Ey_Re,Ey_Im,Ez_Re,Ez_Im,Hx_Re,Hx_Im,Hy_Re,Hy_Im,Hz_Re,Hz_Im
0,0,0.974055,-0.22631,0,0,0,0,0.974055,-0.22631,0,0
0,0,0.584775,0.811195,0,0,0,0,0.584775,0.811195,0,0
0,0,0.912887,-0.408213,0,0,0,0,0.912887,-0.408213,0,0
0,0,0.860263,-0.50985,0,0,0,0,0.860263,-0.50985,0,0
0,0,0.887757,-0.460312,0,0,0,0,0.887757,-0.460312,0,0
0,0,0.593242,0.805024,0,0,0,0,0.593242,0.805024,0,0
0,0,0.870824,0.491595,0,0,0,0,0.870824,0.491595,0,0
0,0,0.884638,-0.466279,0,0,0,0,0.884638,-0.466279,0,0
0,0,0.945749,-0.324898,0,0,0,0,0.945749,-0.324898,0,0
0,0,0.882778,-0.469791,0,0,0,0,0.882778,-0.469791,0,0
0,0,0.812411,-0.583086,0,0,0,0,0.812411,-0.583086,0,0
0,0,0.996425,-0.0844798,0,0,0,0,0.996425,-0.0844798,0,0
0,0,0.7584,0.651789,0,0,0,0,0.7584,0.651789,0,0
0,0,0.60676,-0.794885,0,0,0,0,0.60676,-0.794885,0,0
0,0,0.939533,0.342457,0,0,0,0,0.939533,0.342457,0,0
0,0,0.850854,-0.525402,0,0,0,0,0.850854,-0.525402,0,0
0,0,0.701982,0.712194,0,0,0,0,0.701982,0.712194,0,0
0,0,0.781978,0.623306,0,0,0,0,0.781978,0.623306,0,0
0,0,0.993652,-0.112502,0,0,0,0,0.993652,-0.112502,0,0
0,0,0.929887,0.367844,0,0,0,0,0.929887,0.367844,0,0
0,0,0.746189,-0.665734,0,0,0,0,0.746189,-0.665734,0,0
0,0,0.824156,0.566363,0,0,0,0,0.824156,0.566363,0,0
0,0,0.657873,0.753129,0,0,0,0,0.657873,0.753129,0,0
0,0,0.775735,0.631059,0,0,0,0,0.775735,0.631059,0,0
0,0,0.990114,-0.140262,0,0,0,0,0.990114,-0.140262,0,0
0,0,0.734662,-0.678433,0,0,0,0,0.734662,-0.678433,0,0
0,0,0.886787,-0.462177,0,0,0,0,0.886787,-0.462177,0,0
0,0,0.80543,-0.592691,0,0,0,0,0.80543,-0.592691,0,0
0,0,0.858756,-0.512385,0,0,0,0,0.858756,-0.512385,0,0
0,0,0.982315,-0.187235,0,0,0,0,0.982315,-0.187235,0,0
0,0,0.915959,0.401272,0,0,0,0,0.915959,0.401272,0,0
0,0,0.87596,-0.482384,0,0,0,0,0.87596,-0.482384,0,0
0,0,0.782103,0.62315,0,0,0,0,0.782103,0.62315,0,0
0,0,0.983612,0.180297,0,0,0,0,0.983612,0.180297,0,0
0,0,0.645208,0.764007,0,0,0,0,0.645208,0.764007,0,0
0,0,0.880133,0.474727,0,0,0,0,0.880133,0.474727,0,0
0,0,0.991864,-0.127305,0,0,0,0,0.991864,-0.127305,0,0
0,0,0.962391,-0.271668,0,0,0,0,0.962391,-0.271668,0,0
0,0,0.903393,0.428814,0,0,0,0,0.903393,0.428814,0,0
0,0,0.930869,0.365353,0,0,0,0,0.930869,0.365353,0,0
0,0,0.916233,0.400646,0,0,0,0,0.916233,0.400646,0,0
0,0,0.542582,-0.840003,0,0,0,0,0.542582,-0.840003,0,0
0,0,0.825034,-0.565083,0,0,0,0,0.825034,-0.565083,0,0
0,0,0.652223,-0.758027,0,0,0,0,0.652223,-0.758027,0,0
0,0,0.957781,-0.287499,0,0,0,0,0.957781,-0.287499,0,0
0,0,0.999717,-0.0237749,0,0,0,0,0.999717,-0.0237749,0,0
0,0,0.64954,-0.760328,0,0,0,0,0.64954,-0.760328,0,0
0,0,0.939896,-0.341461,0,0,0,0,0.939896,-0.341461,0,0
0,0,0.965428,0.260668,0,0,0,0,0.965428,0.260668,0,0
0,0,0.665484,-0.746412,0,0,0,0,0.665484,-0.746412,0,0
0,0,0.88708,-0.461615,0,0,0,0,0.88708,-0.461615,0,0
0,0,0.982588,-0.185795,0,0,0,0,0.982588,-0.185795,0,0
0,0,0.674944,0.737869,0,0,0,0,0.674944,0.737869,0,0
0,0,0.996104,0.0881915,0,0,0,0,0.996104,0.0881915,0,0
0,0,0.980731,0.195365,0,0,0,0,0.980731,0.195365,0,0
0,0,0.58461,-0.811315,0,0,0,0,0.58461,-0.811315,0,0
0,0,0.998434,0.0559424,0,0,0,0,0.998434,0.0559424,0,0
0,0,0.603368,0.797463,0,0,0,0,0.603368,0.797463,0,0
0,0,0.969834,0.243768,0,0,0,0,0.969834,0.243768,0,0
0,0,0.646958,0.762526,0,0,0,0,0.646958,0.762526,0,0
0,0,0.770876,0.636986,0,0,0,0,0.770876,0.636986,0,0
0,0,0.960811,0.277206,0,0,0,0,0.960811,0.277206,0,0
