Ex_Re,Ex_Im,Ey_Re,Ey_Im,Ez_Re,Ez_Im,Hx_Re,Hx_Im,Hy_Re,Hy_Im,Hz_Re,Hz_Im
-0.275426,0.0786751,-0.757852,0.216479,-0.523814,0.149627,0.00100818,-0.000287986,0.00107302,-0.000306507,-0.00208262,0.000594897
0.172726,-0.228505,0.475268,-0.628747,0.328497,-0.434579,-0.000632256,0.000836432,-0.000672918,0.000890225,0.00130606,-0.00172783
-0.209488,-0.195356,-0.576418,-0.537536,-0.39841,-0.371535,0.000766818,0.000715092,0.000816134,0.000761081,-0.00158403,-0.00147718
0.178755,-0.223821,0.491855,-0.615858,0.339962,-0.42567,-0.000654322,0.000819285,-0.000696403,0.000871975,0.00135164,-0.00169241
-0.269229,0.0978,-0.740801,0.269103,-0.512029,0.185999,0.000985499,-0.000357992,0.00104888,-0.000381015,-0.00203576,0.000739509
-0.16033,-0.237367,-0.441159,-0.653132,-0.304922,-0.451433,0.000586881,0.000868871,0.000624624,0.00092475,-0.00121233,-0.00179484
-0.234559,0.164411,-0.645405,0.452389,-0.446092,0.312683,0.000858592,-0.000601819,0.000913809,-0.000640524,-0.00177361,0.00124319
-0.286341,0.00759495,-0.787887,0.020898,-0.544574,0.0144443,0.00104814,-2.78009e-05,0.00111555,-2.95889e-05,-0.00216515,5.74288e-05
0.0353558,0.284252,0.0972838,0.782137,0.0672409,0.540599,-0.000129418,-0.00104049,-0.000137741,-0.0011074,0.000267341,0.00214935
0.218404,0.185334,0.600953,0.509959,0.415368,0.352475,-0.000799457,-0.000678406,-0.000850872,-0.000722036,0.00165145,0.00140139
0.192436,-0.212173,0.5295,-0.583808,0.365981,-0.403518,-0.000704402,0.000776649,-0.000749704,0.000826597,0.00145509,-0.00160434
-0.0550115,-0.28111,-0.151368,-0.773492,-0.104623,-0.534624,0.000201367,0.00102899,0.000214317,0.00109516,-0.000415966,-0.0021256
0.27793,-0.0693105,0.764743,-0.190712,0.528577,-0.131817,-0.00101735,0.000253708,-0.00108278,0.000270024,0.00210155,-0.000524088
-0.190678,-0.213755,-0.524663,-0.58816,-0.362637,-0.406526,0.000697967,0.000782438,0.000742854,0.000832758,-0.0014418,-0.00161629
0.0441417,-0.283021,0.121459,-0.778749,0.0839502,-0.538258,-0.000161579,0.00103598,-0.00017197,0.00110261,0.000333775,-0.00214004
0.285011,0.028597,0.784226,0.0786866,0.542043,0.0543868,-0.00104327,-0.000104678,-0.00111036,-0.00011141,0.0021551,0.000216235
0.284647,-0.032016,0.783225,-0.088094,0.541352,-0.060889,-0.00104194,0.000117193,-0.00110895,0.00012473,0.00215234,-0.000242087
0.18567,0.218118,0.510884,0.600167,0.353114,0.414825,-0.000679636,-0.000798411,-0.000723345,-0.000849759,0.00140394,0.00164929
0.0999191,0.26845,0.274934,0.738657,0.190029,0.510547,-0.000365749,-0.000982646,-0.000389271,-0.00104584,0.000755532,0.00202987
0.0829607,0.274165,0.228272,0.754384,0.157777,0.521417,-0.000303673,-0.00100357,-0.000323203,-0.00106811,0.000627303,0.00207309
0.258802,-0.122763,0.712109,-0.337791,0.492197,-0.233476,-0.00094733,0.000449369,-0.00100825,0.000478269,0.00195691,-0.000928269
-0.148088,-0.245192,-0.407474,-0.674661,-0.281639,-0.466314,0.000542069,0.000897512,0.00057693,0.000955233,-0.00111976,-0.001854
0.126053,0.257215,0.346844,0.707744,0.239733,0.48918,-0.000461412,-0.000941523,-0.000491086,-0.00100207,0.000953146,0.00194492
-0.0497984,0.28208,-0.137024,0.776162,-0.0947083,0.536469,0.000182285,-0.00103254,0.000194008,-0.00109894,-0.000376548,0.00213293
0.281732,0.0517304,0.775205,0.142339,0.535808,0.0983825,-0.00103127,-0.000189356,-0.00109759,-0.000201534,0.0021303,0.000391156
0.259822,0.120589,0.714917,0.331808,0.494138,0.22934,-0.000951064,-0.00044141,-0.00101223,-0.000469798,0.00196463,0.000911827
-0.142595,-0.248426,-0.392361,-0.683561,-0.271193,-0.472465,0.000521963,0.000909352,0.000555532,0.000967834,-0.00107823,-0.00187846
0.23724,-0.160519,0.65278,-0.441679,0.45119,-0.305281,-0.000868404,0.000587572,-0.000924253,0.00062536,0.00179387,-0.00121376
0.27012,-0.0953114,0.743253,-0.262255,0.513723,-0.181266,-0.00098876,0.000348882,-0.00105235,0.00037132,0.0020425,-0.000720691
0.286053,0.0149245,0.787094,0.0410656,0.544025,0.0283838,-0.00104708,-5.46302e-05,-0.00111442,-5.81436e-05,0.00216297,0.00011285
0.284413,-0.0340343,0.782581,-0.0936475,0.540906,-0.0647275,-0.00104108,0.000124581,-0.00110803,0.000132593,0.00215057,-0.000257348
0.142828,0.248293,0.393,0.683193,0.271635,0.472211,-0.000522814,-0.000908863,-0.000556438,-0.000967313,0.00107999,0.00187745
0.249947,0.139913,0.687745,0.384979,0.475358,0.266091,-0.000914918,-0.000512143,-0.000973758,-0.00054508,0.00188996,0.00105794
-0.249981,-0.139852,-0.687839,-0.384812,-0.475422,-0.265975,0.000915043,0.000511921,0.000973891,0.000544844,-0.00189022,-0.00105748
0.283825,-0.0386335,0.780962,-0.106303,0.539787,-0.0734745,-0.00103893,0.000141416,-0.00110574,0.000150511,0.00214613,-0.000292125
-0.151687,0.242982,-0.417377,0.66858,-0.288484,0.46211,0.000555243,-0.000889422,0.000590952,-0.000946622,-0.00114698,0.00183729
-0.0682226,-0.278199,-0.187719,-0.765483,-0.129748,-0.529088,0.000249725,0.00101833,0.000265785,0.00108382,-0.000515861,-0.00210359
-0.25482,0.130828,-0.701153,0.359982,-0.484625,0.248813,0.000932755,-0.000478889,0.000992742,-0.000509688,-0.00192681,0.000989249
0.23836,-0.15885,0.655864,-0.437087,0.453322,-0.302107,-0.000872506,0.000581463,-0.000928619,0.000618858,0.00180235,-0.00120114
-0.137843,0.251094,-0.379285,0.690902,-0.262155,0.477539,0.000504568,-0.000919118,0.000537018,-0.000978228,-0.00104229,0.00189864
0.28636,-0.00684519,0.787939,-0.018835,0.54461,-0.0130184,-0.00104821,2.50565e-05,-0.00111562,2.66679e-05,0.0021653,-5.17595e-05
-0.176039,0.225963,-0.484384,0.621751,-0.334798,0.429744,0.000644383,-0.000827125,0.000685825,-0.00088032,-0.00133111,0.00170861
-0.218817,0.184846,-0.60209,0.508616,-0.416154,0.351546,0.000800969,-0.00067662,0.000852481,-0.000720134,-0.00165458,0.0013977
-0.0968929,-0.269557,-0.266607,-0.741703,-0.184274,-0.512652,0.000354671,0.000986699,0.000377481,0.00105016,-0.00073265,-0.00203824
0.221265,0.181909,0.608825,0.500534,0.420809,0.34596,-0.00080993,-0.000665868,-0.000862018,-0.000708691,0.00167308,0.00137549
0.255095,-0.13029,0.701912,-0.358501,0.485149,-0.247789,-0.000933764,0.000476919,-0.000993816,0.00050759,0.00192889,-0.000985178
0.286429,0.00277676,0.788127,0.00764044,0.54474,0.00528094,-0.00104846,-1.01642e-05,-0.00111589,-1.08179e-05,0.00216581,2.09963e-05
-0.231164,0.169151,-0.636064,0.465431,-0.439636,0.321697,0.000846165,-0.000619169,0.000900584,-0.000658989,-0.00174794,0.00127903
-0.27423,0.0827465,-0.754562,0.227682,-0.52154,0.15737,0.0010038,-0.000302889,0.00106836,-0.000322369,-0.00207358,0.000625683
0.190205,0.214175,0.523362,0.589317,0.361739,0.407326,-0.000696237,-0.000783977,-0.000741013,-0.000834397,0.00143823,0.00161947
-0.226401,0.175476,-0.622956,0.482833,-0.430576,0.333726,0.000828728,-0.000642321,0.000882025,-0.00068363,-0.00171192,0.00132685
0.277053,0.0727387,0.762328,0.200145,0.526908,0.138337,-0.00101414,-0.000266256,-0.00107936,-0.00028338,0.00209492,0.00055001
0.199914,-0.205143,0.550076,-0.564464,0.380203,-0.390147,-0.000731774,0.000750915,-0.000778836,0.000799208,0.00151164,-0.00155118
-0.247641,0.143955,-0.6814,0.396102,-0.470972,0.273778,0.000906477,-0.00052694,0.000964774,-0.000560828,-0.00187252,0.00108851
0.0968267,0.269581,0.266425,0.741768,0.184148,0.512697,-0.000354429,-0.000986786,-0.000377223,-0.00105025,0.000732149,0.00203842
-0.216057,-0.188066,-0.594493,-0.517475,-0.410903,-0.357669,0.000790864,0.000688405,0.000841726,0.000732677,-0.0016337,-0.00142205
-0.281859,-0.0510338,-0.775554,-0.140423,-0.536049,-0.0970577,0.00103173,0.000186807,0.00109808,0.00019882,-0.00213126,-0.000385889
-0.25443,0.131585,-0.70008,0.362064,-0.483883,0.250252,0.000931327,-0.000481659,0.000991223,-0.000512636,-0.00192386,0.000994971
