-0.00847797+-0.0367603i,-0.0077702+-0.0305729i,-0.000400709+-0.00737519i
-0.00310991+-0.036239i,-0.00420357+-0.0348604i,0.000613905+-0.00719421i
0.00107319+-0.0349391i,2.69696e-05+-0.0382139i,0.00143611+-0.00688317i
0.0040857+-0.0332559i,0.00444852+-0.0404867i,0.00206535+-0.00649006i
0.00602376+-0.0314812i,0.00861013+-0.0416914i,0.00250744+-0.00605122i
0.00701978+-0.0298051i,0.0121357+-0.0419501i,0.00277216+-0.00559268i
0.0072112+-0.0283294i,0.0147501+-0.0414385i,0.00287215+-0.00513124i
0.00672237+-0.0270851i,0.0162853+-0.0403361i,0.00282267+-0.00467513i
0.00565721+-0.0260482i,0.0166731+-0.0387879i,0.00264187+-0.0042247i
0.00409978+-0.025155i,0.015934+-0.0368811i,0.00235134+-0.00377332i
0.00212004+-0.0243126i,0.0141656+-0.0346371i,0.001977+-0.00330886i
-0.00021722+-0.0234088i,0.011535+-0.0320163i,0.00154998+-0.00281603i
-0.00284186+-0.022319i,0.00827412+-0.0289366i,0.00110745+-0.00227959i
-0.0056677+-0.0209148i,0.00467683+-0.0253006i,0.000692769+-0.00168857i
-0.00858265+-0.0190735i,0.00109326+-0.021032i,0.000354379+-0.00104127i
-0.011441+-0.0166892i,-0.00208338+-0.0161151i,0.000142889+-0.000350395i
-0.0140595+-0.0136887i,-0.004442+-0.0106341i,0.00010563+0.000352401i
-0.0162185+-0.0100486i,-0.0055941+-0.00480489i,0.000278532+0.00101409i
-0.0176709+-0.0058157i,-0.00522903+0.00101092i,0.000675758+0.00156154i
-0.0181611+-0.00112622i,-0.00317929+0.00631696i,0.00127855+0.00190828i
0.00249913+-0.0403752i,0.000611996+-0.030096i,0.00171867+-0.00695711i
0.00799295+-0.0383806i,0.00477573+-0.033336i,0.00261687+-0.00642322i
0.0120637+-0.0358679i,0.00940219+-0.0356176i,0.00327515+-0.00582579i
0.0148084+-0.0332474i,0.0140193+-0.0368869i,0.00371366+-0.00521659i
0.016388+-0.0308076i,0.0182019+-0.0372396i,0.00395643+-0.00463128i
0.0169809+-0.028725i,0.0216135+-0.0368636i,0.00402802+-0.00409197i
0.0167536+-0.0270822i,0.0240213+-0.0359806i,0.00395196+-0.0036094i
0.0158441+-0.0258877i,0.0252923+-0.034796i,0.00375024+-0.00318472i
