x,y,z,Ex,Ey,Ez,|E|
-3.5,-3.5,-3.5,-1.076445148933974e-15,-2.997168871303236e-15,-3.3051451794972595e-16,3.201717546622147e-15
-3.5,-3.5,-1.75,-1.4020078950840416e-09,-8.875328438098662e-07,-1.224877689492259e-08,8.87618469277644e-07
-3.5,-3.5,0.0,-0.00019064266191422402,0.0029469593706776065,-2.7882405081942246e-07,0.002953119407458687
-3.5,-3.5,1.75,-0.0033578392592737297,0.027629081827515237,1.2167170710128048e-05,0.027832380335909034
-3.5,-3.5,3.5,1.725137894363986e-06,-1.627943056424264e-05,3.16726362009823e-09,1.6370582466183874e-05
-3.5,-1.75,-3.5,-1.8281467983213936e-09,1.5994870818196047e-09,2.110050062347382e-08,2.12398589025996e-08
-3.5,-1.75,-1.75,3.4018311605170236e-06,-3.5141058448959597e-06,3.567520117548536e-06,6.053808299154349e-06
-3.5,-1.75,0.0,-0.0009674923781184813,0.002619747830711682,-6.19804225124774e-08,0.002792690495217379
-3.5,-1.75,1.75,-0.024279555658024376,0.01071382854546139,-4.061889349752694e-05,0.02653836081876866
-3.5,-1.75,3.5,2.1600110498194795e-05,-1.2070296247033647e-05,-1.8174174609652196e-07,2.474449140895108e-05
-3.5,0.0,-3.5,-6.902985425456878e-09,9.136518137828168e-09,3.1985874492292027e-10,1.1455543683458977e-08
-3.5,0.0,-1.75,-5.979314545780163e-07,-7.766262060024822e-07,-1.7111387544315904e-07,9.949624347646343e-07
-3.5,0.0,0.0,-0.0009715282172044662,0.0026128034199618486,-7.661558023065475e-07,0.0027875812768749066
-3.5,0.0,1.75,-0.02405088836751154,0.010313275427303712,-6.536140850428026e-05,0.02616893489272443
-3.5,0.0,3.5,2.078606063143827e-05,-4.654755787049394e-06,3.774708713900426e-07,2.1304214425076688e-05
-3.5,1.75,-3.5,-1.381227001404027e-10,4.7962125292908645e-09,-1.5161623264934766e-08,1.590275298601572e-08
-3.5,1.75,-1.75,1.9090763918469056e-06,-3.405780950293925e-07,2.0005563298047075e-07,1.949509775561094e-06
-3.5,1.75,0.0,-0.000968282250011275,0.002613120349141746,-7.943788215105669e-07,0.0027867488415397774
-3.5,1.75,1.75,-0.024266773221134783,0.010323261501790928,-6.312292053333053e-05,0.026371385915484977
-3.5,1.75,3.5,2.1337814798507408e-05,-5.361146599941423e-06,-3.5179642042731425e-07,2.2003817713362624e-05
-3.5,3.5,-3.5,-7.825080545198717e-14,-6.057482413321255e-14,-1.354491902831277e-13,1.677467764847042e-13
-3.5,3.5,-1.75,2.1865278095919847e-07,-1.3763932359228735e-06,-1.9158765068837895e-08,1.3937842145735447e-06
-3.5,3.5,0.0,-0.0010270236504877326,0.002886547264208399,-1.6455775342679964e-06,0.0030638106003954553
-3.5,3.5,1.75,-0.019739354849046126,0.023228151128590575,-0.00022924943620872024,0.030483465846474978
-3.5,3.5,3.5,1.1166955991921267e-05,-1.4642174859371318e-05,1.807301093151514e-07,1.8415397202078614e-05
-1.75,-3.5,-3.5,4.546029274352039e-09,1.097232797617763e-08,-4.3110748001659105e-09,1.2635019956956995e-08
-1.75,-3.5,-1.75,-1.772901137076366e-08,-3.5802384738645924e-05,6.508627024013475e-08,3.580244828938999e-05
-1.75,-3.5,0.0,-0.0002540207999402666,0.02163617844367005,-1.3527797544688984e-06,0.021637669607495812
-1.75,-3.5,1.75,-0.001848710512822022,0.3032221763017041,0.0001289566422863138,0.30322783935766445
-1.75,-3.5,3.5,1.1176696378850967e-06,-0.0002437498501688037,-6.716248513517193e-07,0.00024375333786981186
-1.75,-1.75,-3.5,-1.0982030372800755e-06,1.0027990220419167e-06,-9.124808146588081e-07,1.7447856678743695e-06
-1.75,-1.75,-1.75,-0.00047324000528449223,-0.0034104784219505433,0.005032911597791186,0.006097992974772352
-1.75,-1.75,0.0,-0.0015996364657162624,0.01960754946256488,0.0012729057365778737,0.019713830722708117
-1.75,-1.75,1.75,-0.017299591738968986,0.19945602034691018,-0.0019962856703729286,0.20021479736383072
