Ex_Re,Ex_Im,Ey_Re,Ey_Im,Ez_Re,Ez_Im,Hx_Re,Hx_Im,Hy_Re,Hy_Im,Hz_Re,Hz_Im
-1.5146857059841045e-17,0.0,2.5045592981401463e-07,0.0,7.174374344055237e-18,0.0,-7.766515527953691e-08,0.0,1.3824629000133505e-17,0.0,-1.6706146310722228e-17,0.0
8.223679719080411e-18,0.0,1.0383775449824387e-07,0.0,1.7602281969576726e-17,0.0,-8.672216598853171e-07,0.0,-1.1053761924008396e-17,0.0,4.384157394676442e-17,0.0
-1.717511180079054e-17,0.0,7.741342602405528e-07,0.0,4.746231345059812e-18,0.0,-1.394291800213446e-07,0.0,-3.489459417730898e-17,0.0,-1.912805563851345e-17,0.0
-4.850158095241612e-17,0.0,-4.1709295205158446e-07,0.0,-4.124487063261918e-17,0.0,2.736868297004468e-07,0.0,-7.310167019298285e-18,0.0,1.4271386967352154e-17,0.0
-2.2272763044651255e-17,0.0,-1.0437062919568109e-06,0.0,1.2887240512593693e-17,0.0,-9.363454045914645e-08,0.0,8.056492370300061e-18,0.0,-1.9009080473621042e-17,0.0
7.77964535016236e-18,0.0,1.6079202976542733e-07,0.0,4.7328153995540337e-17,0.0,-6.895147832056128e-07,0.0,5.499655754352275e-17,0.0,7.998962278795196e-18,0.0
-1.439274109761753e-17,0.0,4.480838942033922e-07,0.0,9.355577188992586e-18,0.0,-1.269363949297721e-07,0.0,-3.7024823900758557e-17,0.0,-2.4682193456920148e-17,0.0
1.079823781681877e-17,0.0,-1.255292612989187e-06,0.0,-5.401595381655884e-18,0.0,-4.9984650780344966e-08,0.0,2.4134630185148112e-17,0.0,1.1963717068077815e-17,0.0
2.9642284000889043e-18,0.0,-3.225506395641252e-07,0.0,-4.4238036173888646e-18,0.0,1.3216749027754098e-07,0.0,2.5267991828688768e-17,0.0,-1.425050441737138e-17,0.0
-5.55596641899351e-17,0.0,-1.3801587950724652e-06,0.0,2.0844719212272957e-17,0.0,-2.4224974897564837e-08,0.0,-3.617509786375141e-18,0.0,6.007258731851967e-17,0.0
-2.0314189375602534e-17,0.0,1.0466178456461217e-06,0.0,-1.592143708038255e-17,0.0,-2.3626607718172784e-07,0.0,6.367642861591976e-18,0.0,1.0204551981391327e-17,0.0
-1.85488120894278e-18,0.0,-3.7370310965351294e-07,0.0,-1.4231228550435262e-17,0.0,1.1436635189950392e-08,0.0,-4.965984279489831e-17,0.0,-2.1678812677999557e-17,0.0
2.585321998879363e-17,0.0,4.7616055143234953e-07,0.0,-1.4061312139747256e-17,0.0,-1.8141809724120467e-07,0.0,-2.732837921712545e-17,0.0,4.6976442868844496e-18,0.0
3.3249908676412286e-18,0.0,-1.6335752578761565e-06,0.0,5.469378213093686e-18,0.0,2.972831267150504e-07,0.0,8.931700516382444e-18,0.0,-6.471218925680281e-18,0.0
1.2797073088113308e-17,0.0,-5.308361582222214e-08,0.0,3.9536754093579976e-17,0.0,-9.515197513565444e-08,0.0,2.175491584889924e-18,0.0,4.614725299707568e-18,0.0
-1.0334195900209788e-17,0.0,2.6146735621620756e-07,0.0,-8.235627619006226e-18,0.0,3.4417124839278857e-07,0.0,2.5458287824436598e-17,0.0,-3.349978897838303e-18,0.0
-2.391899101140545e-17,0.0,-4.100880548822646e-07,0.0,6.743732450609754e-18,0.0,-1.7882435858701346e-08,0.0,-2.385310089843632e-18,0.0,1.903980426673259e-17,0.0
-2.2005912790701248e-17,0.0,2.552109902681488e-07,0.0,1.9711146363131735e-18,0.0,2.0393995677335012e-07,0.0,-1.4522608595686744e-17,0.0,2.878570317836531e-17,0.0
-5.244802660048991e-18,0.0,-3.160803173576358e-07,0.0,1.1851369492715269e-17,0.0,2.9030772935365755e-08,0.0,6.5784091804394026e-18,0.0,-3.0873850861126635e-17,0.0
